Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,25.290001,25.510000,25.020000,25.090000,23.097511,135200
2013-08-05,24.969999,25.510000,24.860001,25.330000,23.318451,111400
2013-08-06,25.160000,25.270000,24.860001,25.250000,23.244810,70500
2013-08-07,25.000000,25.000000,24.459999,24.620001,22.664833,84800
2013-08-08,24.820000,24.990000,24.450001,24.459999,22.517544,151500
2013-08-09,24.459999,24.910000,24.459999,24.680000,22.720076,103600
2013-08-12,24.389999,25.309999,24.330000,25.250000,23.244810,136900
2013-08-13,25.200001,25.360001,24.809999,24.969999,22.987045,146000
2013-08-14,25.170000,25.450001,25.000000,25.270000,23.263220,106000
2013-08-15,24.870001,25.129999,24.670000,24.790001,22.821342,114500
2013-08-16,24.650000,24.980000,24.570000,24.799999,22.830545,79200
2013-08-19,24.719999,25.010000,24.540001,24.590000,22.637222,209300
2013-08-20,24.680000,25.010000,24.660000,24.940001,22.959425,373900
2013-08-21,24.840000,25.080000,24.820000,24.840000,22.867367,47300
2013-08-22,25.000000,25.320000,24.580000,25.120001,23.125134,169200
2013-08-23,25.170000,25.590000,24.879999,25.280001,23.272423,121900
2013-08-26,25.280001,25.450001,24.790001,25.049999,23.060688,100400
2013-08-27,24.670000,25.059999,24.670000,24.750000,22.784515,136800
2013-08-28,24.709999,24.940001,24.580000,24.770000,22.802923,50700
2013-08-29,24.690001,25.260000,24.600000,25.000000,23.014660,41400
2013-08-30,24.900000,25.030001,24.700001,24.850000,22.876574,118500
2013-09-03,25.219999,25.549999,24.670000,25.170000,23.171162,129600
2013-09-04,25.139999,25.850000,25.139999,25.559999,23.530186,176700
2013-09-05,25.709999,25.980000,25.680000,25.719999,23.677485,64100
2013-09-06,25.910000,26.330000,25.129999,25.950001,23.889219,74600
2013-09-09,25.990000,26.570000,25.820000,26.440001,24.340305,105700
2013-09-10,26.660000,26.910000,26.070000,26.650000,24.533627,93600
2013-09-11,26.590000,27.070000,26.590000,26.750000,24.625689,64900
2013-09-12,26.990000,27.200001,26.209999,26.280001,24.193014,102500
2013-09-13,26.420000,26.799999,26.150000,26.799999,24.671717,40100
2013-09-16,27.150000,27.250000,26.750000,26.760000,24.727158,58500
2013-09-17,26.770000,27.129999,26.750000,27.010000,24.958164,40500
2013-09-18,27.090000,27.480000,26.750000,27.219999,25.152216,46400
2013-09-19,27.230000,27.530001,26.750000,27.020000,24.967413,38600
2013-09-20,27.020000,27.459999,26.959999,27.090000,25.032089,157600
2013-09-23,27.040001,27.219999,26.750000,27.129999,25.069050,52200
2013-09-24,27.250000,27.650000,27.049999,27.389999,25.309301,67300
2013-09-25,27.510000,27.719999,27.129999,27.170000,25.106012,64000
2013-09-26,27.180000,27.530001,27.070000,27.379999,25.300060,35600
2013-09-27,27.120001,27.469999,26.940001,27.030001,24.976645,63100
2013-09-30,26.650000,27.139999,26.500000,26.910000,24.865763,238600
2013-10-01,26.980000,27.400000,26.860001,27.290001,25.216894,235500
2013-10-02,27.010000,27.639999,26.959999,27.389999,25.309301,81500
2013-10-03,27.400000,27.559999,26.559999,27.260000,25.189177,94500
2013-10-04,27.190001,27.430000,26.980000,27.299999,25.226139,227500
2013-10-07,27.020000,27.160000,26.389999,26.540001,24.523874,68200
2013-10-08,26.620001,26.830000,26.160000,26.170000,24.181978,52500
2013-10-09,26.209999,26.330000,25.700001,25.760000,23.803125,213300
2013-10-10,26.180000,26.690001,26.070000,26.650000,24.625515,115200
2013-10-11,26.490000,27.190001,26.490000,27.110001,25.050575,75100
2013-10-14,26.980000,27.590000,26.830000,27.350000,25.272341,55400
2013-10-15,27.340000,27.730000,27.129999,27.200001,25.133734,188900
2013-10-16,27.480000,27.799999,27.230000,27.559999,25.466385,59300
2013-10-17,27.480000,27.790001,27.180000,27.600000,25.503349,55400
2013-10-18,27.870001,28.350000,27.530001,27.940001,25.817518,142000
2013-10-21,27.940001,28.540001,27.940001,28.420000,26.261055,122100
2013-10-22,28.540001,28.910000,28.139999,28.350000,26.196377,219100
2013-10-23,28.280001,28.840000,27.709999,27.830000,25.715876,116000
2013-10-24,28.299999,29.549999,27.980000,29.299999,27.074205,241800
2013-10-25,29.600000,29.820000,29.080000,29.750000,27.490026,114000
2013-10-28,29.840000,31.049999,29.760000,30.860001,28.515701,208800
2013-10-29,31.750000,32.759998,30.410000,30.549999,28.229250,268200
2013-10-30,30.660000,31.139999,30.510000,30.790001,28.451021,110000
2013-10-31,30.770000,30.980000,30.260000,30.370001,28.062927,94300
2013-11-01,30.410000,30.790001,29.969999,30.639999,28.312412,150000
2013-11-04,30.780001,31.200001,30.480000,30.990000,28.635826,69100
2013-11-05,30.900000,31.129999,30.700001,30.920000,28.571144,105100
2013-11-06,31.090000,31.090000,30.370001,30.760000,28.423292,27300
2013-11-07,30.959999,30.959999,30.110001,30.450001,28.136847,85600
2013-11-08,30.440001,31.000000,30.440001,30.990000,28.635826,240500
2013-11-11,30.900000,31.000000,30.719999,30.860001,28.515701,168000
2013-11-12,30.820000,30.980000,30.450001,30.900000,28.552664,97300
2013-11-13,30.600000,30.850000,29.879999,30.610001,28.284697,90500
