Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.200000,7.240000,7.090000,7.240000,7.051195,9600
2013-08-05,7.250000,7.250000,7.090000,7.190000,7.002499,1700
2013-08-06,7.090000,7.200000,7.000000,7.150000,6.963543,7600
2013-08-07,7.120000,7.280000,7.120000,7.150000,6.963543,1900
2013-08-08,7.170000,7.300000,7.170000,7.300000,7.134577,141000
2013-08-09,7.340000,7.340000,7.150000,7.200000,7.036843,25100
2013-08-12,7.180000,7.210000,7.080000,7.170000,7.007523,14800
2013-08-13,7.150000,7.230000,7.150000,7.230000,7.066164,5300
2013-08-14,7.170000,7.280000,7.170000,7.190000,7.027069,2200
2013-08-15,7.060000,7.200000,7.060000,7.200000,7.036843,12400
2013-08-16,7.140000,7.210000,7.140000,7.210000,7.046616,12600
2013-08-19,7.170000,7.200000,7.030000,7.030000,6.870695,15500
2013-08-20,7.080000,7.290000,7.080000,7.180000,7.017297,2600
2013-08-21,7.230000,7.310000,7.230000,7.260000,7.095484,18800
2013-08-22,7.270000,8.250000,7.250000,8.040000,7.857809,116100
2013-08-23,8.490000,8.980000,8.200000,8.750000,8.551720,66600
2013-08-26,8.670000,8.700000,8.200000,8.510000,8.317158,35400
2013-08-27,8.500000,8.590000,8.360000,8.510000,8.317158,12500
2013-08-28,8.580000,8.600000,8.500000,8.560000,8.366024,13100
2013-08-29,8.600000,8.700000,8.440000,8.650000,8.453983,90000
2013-08-30,8.600000,8.770000,8.230000,8.750000,8.551720,49200
2013-09-03,8.750000,8.750000,7.950000,8.060000,7.877355,24200
2013-09-04,8.290000,8.310000,8.000000,8.080000,7.896901,6800
2013-09-05,8.100000,8.100000,8.000000,8.070000,7.887127,4000
2013-09-06,8.000000,8.420000,7.950000,8.060000,7.877355,15900
2013-09-09,8.320000,8.500000,8.010000,8.190000,8.004411,11400
2013-09-10,8.150000,8.150000,8.080000,8.090000,7.906675,16900
2013-09-11,8.100000,8.100000,8.050000,8.100000,7.916449,3600
2013-09-12,8.060000,8.100000,8.050000,8.080000,7.896901,4200
2013-09-13,8.090000,8.190000,8.080000,8.190000,8.004411,5300
2013-09-16,8.070000,8.180000,8.040000,8.110000,7.926220,6100
2013-09-17,8.160000,8.160000,8.100000,8.100000,7.916449,1200
2013-09-18,8.100000,8.190000,8.100000,8.190000,8.004411,6100
2013-09-19,8.190000,8.190000,8.050000,8.100000,7.916449,5300
2013-09-20,8.100000,8.170000,8.100000,8.170000,7.984863,8900
2013-09-23,8.100000,8.100000,8.050000,8.100000,7.916449,28700
2013-09-24,8.140000,8.140000,8.050000,8.060000,7.877355,15400
2013-09-25,8.050000,8.070000,8.020000,8.040000,7.857809,31200
2013-09-26,8.090000,8.160000,8.050000,8.050000,7.867581,14600
2013-09-27,8.050000,8.160000,8.000000,8.160000,7.975087,8900
2013-09-30,8.060000,8.160000,8.050000,8.090000,7.906675,8000
2013-10-01,8.160000,8.160000,8.050000,8.060000,7.877355,1200
2013-10-02,8.050000,8.160000,8.020000,8.030000,7.848033,1200
2013-10-03,8.060000,8.190000,8.050000,8.050000,7.867581,2200
2013-10-04,8.050000,8.150000,8.030000,8.050000,7.867581,10900
2013-10-07,8.050000,8.190000,8.050000,8.050000,7.867581,4600
2013-10-08,8.120000,8.220000,8.040000,8.050000,7.867581,36600
2013-10-09,8.190000,8.240000,7.990000,7.990000,7.808940,29000
2013-10-10,8.140000,8.270000,8.050000,8.090000,7.906675,34100
2013-10-11,8.070000,8.400000,8.040000,8.400000,8.209649,18300
2013-10-14,8.270000,8.350000,8.110000,8.190000,8.004411,13700
2013-10-15,8.140000,8.290000,8.050000,8.140000,7.955542,21900
2013-10-16,8.300000,8.360000,8.100000,8.130000,7.945768,12800
2013-10-17,8.160000,8.240000,8.050000,8.100000,7.916449,12800
2013-10-18,8.070000,8.250000,8.070000,8.170000,7.984863,3800
2013-10-21,8.210000,8.210000,8.080000,8.150000,7.965314,8100
2013-10-22,8.230000,8.250000,8.100000,8.130000,7.945768,2500
2013-10-23,8.080000,8.200000,8.050000,8.110000,7.926220,15800
2013-10-24,8.170000,8.800000,8.170000,8.700000,8.502852,37100
2013-10-25,8.770000,9.540000,8.680000,8.680000,8.483308,58100
2013-10-28,8.790000,8.940000,8.790000,8.920000,8.717866,8300
2013-10-29,9.100000,9.100000,8.810000,8.850000,8.649454,8400
2013-10-30,8.850000,9.210000,8.490000,9.100000,8.893787,34000
2013-10-31,9.000000,9.550000,9.000000,9.550000,9.333590,6000
2013-11-01,9.200000,9.470000,9.030000,9.200000,8.991520,9000
2013-11-04,9.440000,9.600000,9.320000,9.350000,9.138124,19200
2013-11-05,9.350000,9.600000,9.210000,9.300000,9.089257,26500
2013-11-06,9.440000,9.800000,9.220000,9.220000,9.011068,11200
2013-11-07,9.370000,9.720000,9.160000,9.690000,9.470416,9800
2013-11-08,9.530000,9.530000,8.950000,9.120000,8.913335,11200
2013-11-11,9.280000,9.590000,9.250000,9.590000,9.372684,4500
2013-11-12,9.470000,9.590000,9.110000,9.510000,9.294496,12000
2013-11-13,9.600000,11.000000,9.580000,10.740000,10.496625,73500
2013-11-14,10.730000,10.970000,10.470000,10.940000,10.692093,20000
2013-11-15,10.870000,11.470000,10.870000,11.420000,11.186780,34600
2013-11-18,11.440000,11.940000,10.500000,10.860000,10.638216,18700
2013-11-19,10.470000,10.560000,10.000000,10.300000,10.089654,38600
2013-11-20,10.120000,10.420000,10.120000,10.340000,10.128836,4000
