Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,32.000000,33.599998,31.840000,32.000000,32.000000,33400
2013-08-05,32.240002,34.000000,31.520000,32.000000,32.000000,11000
2013-08-06,33.279999,33.360001,31.760000,32.480000,32.480000,19400
2013-08-07,32.240002,33.119999,31.600000,32.080002,32.080002,9000
2013-08-08,32.000000,32.400002,31.680000,32.000000,32.000000,19100
2013-08-09,32.000000,33.119999,31.280001,33.119999,33.119999,15700
2013-08-12,32.639999,32.880001,31.600000,31.760000,31.760000,7800
2013-08-13,31.600000,31.680000,30.879999,31.040001,31.040001,7500
2013-08-14,30.799999,30.799999,29.840000,30.080000,30.080000,21500
2013-08-15,29.680000,30.000000,28.480000,28.719999,28.719999,25600
2013-08-16,28.719999,29.040001,26.959999,27.680000,27.680000,29900
2013-08-19,27.360001,28.719999,26.799999,28.000000,28.000000,19300
2013-08-20,28.639999,28.639999,27.120001,27.440001,27.440001,19300
2013-08-21,27.440001,27.440001,26.320000,26.320000,26.320000,14900
2013-08-22,26.400000,27.680000,26.400000,27.360001,27.360001,6300
2013-08-23,27.440001,27.600000,27.200001,27.280001,27.280001,3400
2013-08-26,27.280001,27.280001,26.400000,26.639999,26.639999,16700
2013-08-27,26.480000,27.120001,25.680000,26.160000,26.160000,12200
2013-08-28,26.240000,27.200001,24.879999,26.480000,26.480000,24700
2013-08-29,26.719999,27.920000,25.920000,26.240000,26.240000,16000
2013-08-30,26.320000,27.040001,26.000000,26.400000,26.400000,5800
2013-09-03,26.480000,27.360001,26.400000,27.200001,27.200001,11200
2013-09-04,27.440001,28.480000,27.200001,27.840000,27.840000,13100
2013-09-05,27.920000,28.559999,27.920000,28.320000,28.320000,7900
2013-09-06,28.320000,29.120001,28.160000,28.559999,28.559999,12900
2013-09-09,28.559999,29.760000,28.000000,29.200001,29.200001,20400
2013-09-10,29.440001,30.719999,29.280001,30.000000,30.000000,23100
2013-09-11,29.680000,30.400000,27.600000,29.200001,29.200001,14400
2013-09-12,28.799999,29.440001,28.799999,29.200001,29.200001,13400
2013-09-13,29.200001,29.520000,29.120001,29.280001,29.280001,9300
2013-09-16,29.360001,30.320000,29.360001,30.080000,30.080000,7300
2013-09-17,30.320000,30.719999,30.240000,30.559999,30.559999,11600
2013-09-18,30.639999,34.080002,30.639999,33.279999,33.279999,48700
2013-09-19,33.279999,33.599998,32.799999,33.040001,33.040001,10800
2013-09-20,32.959999,33.599998,31.440001,32.799999,32.799999,11800
2013-09-23,32.639999,32.959999,29.760000,31.760000,31.760000,21000
2013-09-24,31.760000,32.080002,30.559999,31.120001,31.120001,4200
2013-09-25,32.160000,34.000000,32.160000,33.040001,33.040001,25700
2013-09-26,33.040001,33.439999,31.360001,31.680000,31.680000,12300
2013-09-27,31.600000,32.959999,31.440001,32.959999,32.959999,5300
2013-09-30,32.880001,33.360001,30.160000,32.160000,32.160000,9700
2013-10-01,32.000000,32.639999,31.520000,32.400002,32.400002,2700
2013-10-02,32.000000,32.560001,32.000000,32.080002,32.080002,2600
2013-10-03,32.000000,32.320000,31.040001,31.600000,31.600000,6200
2013-10-04,31.600000,31.920000,30.959999,31.840000,31.840000,3500
2013-10-07,31.840000,32.240002,31.120001,31.120001,31.120001,4700
2013-10-08,31.360001,31.680000,30.400000,30.400000,30.400000,12700
2013-10-09,30.240000,30.480000,29.200001,29.520000,29.520000,14200
2013-10-10,29.600000,30.240000,29.280001,29.840000,29.840000,6800
2013-10-11,29.520000,29.760000,28.160000,28.240000,28.240000,19400
2013-10-14,28.160000,28.320000,27.600000,27.680000,27.680000,13300
2013-10-15,27.360001,29.120001,26.799999,26.879999,26.879999,10300
2013-10-16,27.120001,30.000000,27.120001,28.719999,28.719999,33200
2013-10-17,28.400000,29.200001,27.760000,28.400000,28.400000,13500
2013-10-18,28.240000,28.480000,27.520000,27.760000,27.760000,9000
2013-10-21,27.600000,28.240000,26.879999,28.160000,28.160000,9400
2013-10-22,28.000000,28.240000,27.520000,27.680000,27.680000,5400
2013-10-23,27.600000,28.160000,27.600000,28.000000,28.000000,5500
2013-10-24,27.840000,30.080000,27.680000,30.080000,30.080000,28100
2013-10-25,30.160000,30.240000,28.639999,28.799999,28.799999,18800
2013-10-28,28.719999,28.719999,27.840000,28.080000,28.080000,9400
2013-10-29,28.240000,28.240000,26.799999,27.200001,27.200001,8500
2013-10-30,27.680000,29.760000,25.680000,26.240000,26.240000,13600
2013-10-31,26.959999,26.959999,24.959999,25.280001,25.280001,15700
2013-11-01,25.360001,26.160000,24.959999,26.000000,26.000000,15800
2013-11-04,26.240000,27.360001,26.000000,26.160000,26.160000,6600
2013-11-05,26.240000,26.320000,25.680000,26.080000,26.080000,2600
2013-11-06,25.920000,25.920000,24.000000,24.480000,24.480000,26200
2013-11-07,24.799999,25.360001,23.920000,24.160000,24.160000,18800
2013-11-08,24.160000,25.200001,24.160000,25.120001,25.120001,9300
2013-11-11,25.120001,25.360001,24.160000,24.799999,24.799999,10300
2013-11-12,24.480000,24.559999,23.600000,23.680000,23.680000,13400
2013-11-13,23.680000,26.799999,23.600000,26.000000,26.000000,35000
2013-11-14,25.760000,27.280001,25.680000,26.080000,26.080000,17700
2013-11-15,26.080000,27.520000,25.600000,25.840000,25.840000,17700
2013-11-18,25.600000,25.600000,24.639999,24.879999,24.879999,7600
2013-11-19,24.639999,24.639999,22.160000,24.160000,24.160000,76500
2013-11-20,24.559999,24.719999,22.799999,23.440001,23.440001,25800
2013-11-21,23.200001,23.200001,21.680000,22.240000,22.240000,38900
2013-11-22,22.719999,22.719999,21.440001,22.559999,22.559999,23700
2013-11-25,22.799999,23.680000,22.799999,23.680000,23.680000,9100
2013-11-26,23.680000,24.480000,23.680000,24.160000,24.160000,7200
2013-11-27,24.160000,24.400000,23.840000,24.160000,24.160000,5000
2013-11-29,24.080000,25.360001,24.000000,25.120001,25.120001,14700
2013-12-02,25.120001,26.480000,25.120001,25.520000,25.520000,25000
2013-12-03,25.200001,25.520000,24.080000,24.400000,24.400000,13300
2013-12-04,24.480000,24.719999,23.840000,23.920000,23.920000,4900
2013-12-05,24.000000,24.160000,22.879999,23.520000,23.520000,3400
2013-12-06,23.920000,24.080000,22.799999,23.120001,23.120001,7200
2013-12-09,23.120001,23.280001,22.799999,23.120001,23.120001,5000
2013-12-10,23.200001,23.840000,23.040001,23.520000,23.520000,4000
2013-12-11,23.840000,25.120001,23.360001,23.440001,23.440001,14200
2013-12-12,23.600000,24.000000,23.600000,24.000000,24.000000,4400
2013-12-13,24.000000,24.719999,23.600000,23.680000,23.680000,17600
2013-12-16,23.680000,24.559999,23.680000,24.160000,24.160000,27000
2013-12-17,23.920000,23.920000,22.879999,23.600000,23.600000,9400
2013-12-18,23.600000,24.000000,23.120001,23.360001,23.360001,7000
2013-12-19,23.600000,23.680000,22.240000,22.240000,22.240000,15400
2013-12-20,22.240000,22.799999,22.160000,22.400000,22.400000,25100
2013-12-23,22.879999,22.879999,21.840000,22.320000,22.320000,12400
2013-12-24,22.400000,22.559999,22.000000,22.000000,22.000000,3300
2013-12-26,22.000000,22.400000,21.600000,22.000000,22.000000,15000
2013-12-27,22.080000,23.760000,22.080000,22.320000,22.320000,9400
2013-12-30,22.080000,24.000000,21.680000,23.200001,23.200001,34300
2013-12-31,23.120001,24.799999,23.120001,24.559999,24.559999,26500
2014-01-02,24.559999,27.760000,24.480000,26.879999,26.879999,54400
2014-01-03,26.879999,27.360001,26.160000,26.480000,26.480000,15400
2014-01-06,26.480000,27.120001,25.840000,26.799999,26.799999,9000
2014-01-07,27.120001,27.920000,26.559999,27.760000,27.760000,28900
2014-01-08,27.760000,27.760000,26.480000,26.959999,26.959999,7300
2014-01-09,27.600000,27.840000,25.600000,26.160000,26.160000,10800
2014-01-10,26.400000,26.400000,24.799999,26.160000,26.160000,20000
2014-01-13,26.400000,27.040001,24.959999,25.440001,25.440001,8800
2014-01-14,25.600000,26.559999,25.120001,25.600000,25.600000,21600
2014-01-15,25.920000,26.400000,25.600000,26.320000,26.320000,16300
2014-01-16,26.480000,26.639999,26.000000,26.240000,26.240000,21100
2014-01-17,26.400000,26.799999,26.000000,26.080000,26.080000,15800
2014-01-21,26.400000,26.400000,26.160000,26.320000,26.320000,25300
2014-01-22,26.160000,26.400000,26.160000,26.160000,26.160000,45200
2014-01-23,26.160000,26.400000,26.160000,26.320000,26.320000,19500
2014-01-24,26.240000,26.400000,25.760000,26.000000,26.000000,28400
2014-01-27,26.320000,26.400000,24.080000,25.920000,25.920000,35200
2014-01-28,26.320000,26.320000,24.959999,25.040001,25.040001,73900
2014-01-29,25.040001,25.920000,24.400000,24.480000,24.480000,13700
2014-01-30,24.480000,24.639999,22.879999,23.280001,23.280001,36000
2014-01-31,23.280001,23.760000,22.959999,23.440001,23.440001,13800
2014-02-03,23.600000,23.600000,22.799999,22.959999,22.959999,15200
2014-02-04,23.120001,23.280001,22.480000,22.559999,22.559999,15800
2014-02-05,22.799999,22.799999,21.840000,22.480000,22.480000,12200
2014-02-06,22.639999,22.959999,22.080000,22.719999,22.719999,11100
2014-02-07,22.959999,23.840000,21.600000,23.760000,23.760000,18800
2014-02-10,23.680000,24.080000,23.440001,24.000000,24.000000,9400
2014-02-11,24.320000,25.040001,23.840000,24.480000,24.480000,22300
2014-02-12,24.480000,24.879999,24.320000,24.480000,24.480000,22500
2014-02-13,24.400000,25.040001,24.400000,24.799999,24.799999,9900
2014-02-14,24.799999,25.120001,24.080000,24.559999,24.559999,10500
