Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.000000,7.110000,6.950000,7.020000,4.661305,181800
2013-08-05,7.110000,7.110000,6.960000,7.000000,4.648026,89800
2013-08-06,7.010000,7.070000,6.910000,7.040000,4.674586,61000
2013-08-07,7.070000,7.070000,6.970000,6.970000,4.628105,32000
2013-08-08,7.050000,7.050000,6.920000,6.980000,4.634746,88700
2013-08-09,7.000000,7.100000,6.940000,7.080000,4.701146,60000
2013-08-12,7.090000,7.090000,6.960000,7.000000,4.648026,60900
2013-08-13,7.000000,7.050000,6.900000,6.930000,4.601545,77000
2013-08-14,6.980000,6.990000,6.870000,6.910000,4.588265,56800
2013-08-15,6.910000,6.970000,6.830000,6.900000,4.581625,63100
2013-08-16,6.880000,7.070000,6.880000,7.000000,4.648026,94300
2013-08-19,7.050000,7.070000,7.000000,7.020000,4.661305,21800
2013-08-20,7.000000,7.030000,6.940000,7.010000,4.654665,68000
2013-08-21,6.950000,7.010000,6.930000,6.940000,4.608186,36100
2013-08-22,6.950000,7.060000,6.910000,6.910000,4.588265,39900
2013-08-23,6.990000,7.000000,6.950000,6.990000,4.641385,27400
2013-08-26,6.940000,7.000000,6.930000,6.980000,4.634746,36100
2013-08-27,6.940000,6.990000,6.900000,6.960000,4.621466,46700
2013-08-28,6.960000,7.010000,6.900000,6.970000,4.628105,51200
2013-08-29,6.970000,6.990000,6.930000,6.960000,4.621466,22100
2013-08-30,6.990000,6.990000,6.940000,6.960000,4.621466,40800
2013-09-03,6.980000,7.000000,6.960000,6.990000,4.641385,46300
2013-09-04,6.980000,7.010000,6.940000,7.010000,4.654665,41000
2013-09-05,7.020000,7.020000,6.970000,7.000000,4.648026,29900
2013-09-06,7.020000,7.050000,6.960000,6.980000,4.634746,148700
2013-09-09,6.960000,6.970000,6.900000,6.910000,4.588265,120600
2013-09-10,6.910000,7.000000,6.910000,6.940000,4.608186,76200
2013-09-11,7.000000,7.000000,6.950000,6.950000,4.614826,33600
2013-09-12,7.000000,7.040000,6.930000,7.040000,4.674586,35500
2013-09-13,7.030000,7.050000,6.970000,7.010000,4.654665,48500
2013-09-16,7.040000,7.070000,7.000000,7.030000,4.667946,31300
2013-09-17,7.060000,7.070000,6.970000,7.060000,4.687866,37000
2013-09-18,7.070000,7.070000,7.000000,7.070000,4.694506,18000
2013-09-19,7.050000,7.060000,7.020000,7.050000,4.681226,9000
2013-09-20,7.050000,7.050000,6.960000,7.000000,4.648026,37700
2013-09-23,7.020000,7.020000,6.930000,6.980000,4.634746,90600
2013-09-24,7.000000,7.070000,6.980000,7.020000,4.661305,64900
2013-09-25,7.050000,7.080000,7.000000,7.040000,4.674586,51900
2013-09-26,7.020000,7.050000,6.930000,6.930000,4.684725,44600
2013-09-27,6.990000,6.990000,6.860000,6.860000,4.637406,76400
2013-09-30,6.850000,6.890000,6.810000,6.830000,4.617126,55700
2013-10-01,6.820000,6.890000,6.790000,6.820000,4.610364,69500
2013-10-02,6.890000,6.890000,6.790000,6.790000,4.590085,114000
2013-10-03,6.820000,6.870000,6.770000,6.790000,4.590085,53900
2013-10-04,6.790000,6.990000,6.790000,6.990000,4.725286,80600
2013-10-07,7.000000,7.040000,7.000000,7.030000,4.752326,37400
2013-10-08,7.040000,7.040000,6.950000,6.960000,4.705007,44900
2013-10-09,6.950000,6.990000,6.800000,6.950000,4.698246,46400
2013-10-10,6.950000,7.000000,6.900000,6.990000,4.725286,30000
2013-10-11,7.000000,7.000000,6.900000,6.980000,4.718526,37900
2013-10-14,6.900000,7.000000,6.900000,7.000000,4.732047,22200
2013-10-15,6.950000,6.990000,6.900000,6.900000,4.664446,35500
2013-10-16,6.920000,7.000000,6.910000,6.980000,4.718526,26700
2013-10-17,7.000000,7.000000,6.910000,6.970000,4.711767,35900
2013-10-18,7.000000,7.000000,6.930000,7.000000,4.732047,37100
2013-10-21,7.000000,7.080000,6.970000,7.020000,4.745565,26600
2013-10-22,7.080000,7.100000,7.000000,7.020000,4.745565,55300
2013-10-23,7.020000,7.040000,6.930000,7.010000,4.738807,21100
2013-10-24,7.020000,7.030000,6.940000,6.980000,4.718526,37200
2013-10-25,6.930000,6.950000,6.930000,6.940000,4.691486,56200
2013-10-28,7.000000,7.040000,6.950000,7.040000,4.759086,55600
2013-10-29,7.050000,7.110000,6.970000,7.110000,4.806408,54900
2013-10-30,7.110000,7.150000,7.100000,7.140000,4.826688,46000
2013-10-31,7.240000,7.240000,7.100000,7.180000,4.853727,71100
2013-11-01,7.180000,7.250000,7.120000,7.170000,4.846967,30200
2013-11-04,7.140000,7.250000,7.140000,7.200000,4.867248,41400
2013-11-05,7.220000,7.220000,7.070000,7.070000,4.779367,26400
2013-11-06,7.100000,7.250000,6.990000,7.000000,4.732047,88200
2013-11-07,7.050000,7.220000,7.000000,7.180000,4.853727,67500
2013-11-08,7.160000,7.160000,7.080000,7.080000,4.786127,12700
2013-11-11,7.140000,7.230000,7.000000,7.130000,4.819927,58600
2013-11-12,7.140000,7.190000,7.070000,7.100000,4.799648,44100
2013-11-13,7.080000,7.110000,7.010000,7.030000,4.752326,45600
2013-11-14,7.000000,7.130000,7.000000,7.090000,4.792887,46600
2013-11-15,7.080000,7.090000,7.020000,7.030000,4.752326,42300
2013-11-18,7.030000,7.100000,7.000000,7.000000,4.732047,54000
2013-11-19,7.060000,7.100000,7.010000,7.030000,4.752326,44000
2013-11-20,6.970000,7.010000,6.850000,6.850000,4.630646,262900
2013-11-21,6.860000,6.870000,6.350000,6.650000,4.495445,606000
