Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,5.090000,5.100000,4.790000,4.980000,4.879597,251000
2013-08-05,5.000000,5.100000,4.910000,5.030000,4.928589,173700
2013-08-06,5.050000,5.100000,4.940000,5.070000,4.967782,224300
2013-08-07,5.060000,5.100000,4.870000,4.920000,4.820807,175100
2013-08-08,4.890000,5.050000,4.880000,5.030000,4.928589,136100
2013-08-09,5.040000,5.090000,4.950000,5.010000,4.908992,107500
2013-08-12,5.010000,5.530000,4.950000,5.420000,5.310726,736400
2013-08-13,5.420000,5.540000,5.330000,5.360000,5.251935,369800
2013-08-14,5.320000,5.550000,5.320000,5.500000,5.389113,183600
2013-08-15,5.450000,5.610000,5.350000,5.590000,5.477299,182100
2013-08-16,5.670000,5.800000,5.610000,5.610000,5.496895,226700
2013-08-19,5.720000,6.000000,5.370000,5.840000,5.722258,601800
2013-08-20,5.870000,6.100000,5.840000,5.990000,5.869234,322700
2013-08-21,6.000000,6.170000,6.000000,6.100000,5.977016,392900
2013-08-22,6.090000,6.370000,6.060000,6.350000,6.221976,356100
2013-08-23,6.490000,6.600000,6.030000,6.390000,6.261169,746400
2013-08-26,6.390000,6.390000,6.200000,6.300000,6.172984,385400
2013-08-27,5.990000,6.480000,5.730000,6.210000,6.084798,1484100
2013-08-28,6.230000,6.300000,6.180000,6.230000,6.104395,364200
2013-08-29,6.320000,6.660000,6.300000,6.410000,6.280766,433700
2013-08-30,6.460000,6.650000,6.420000,6.550000,6.417944,258600
2013-09-03,6.770000,6.790000,6.480000,6.700000,6.564919,408800
2013-09-04,6.700000,7.000000,6.660000,6.920000,6.780484,563100
2013-09-05,6.960000,7.070000,6.920000,7.010000,6.868670,323500
2013-09-06,7.010000,7.060000,6.850000,6.860000,6.721694,282300
2013-09-09,6.880000,6.900000,6.370000,6.660000,6.525726,500100
2013-09-10,6.620000,6.650000,6.360000,6.580000,6.447339,478300
2013-09-11,6.360000,6.730000,6.350000,6.580000,6.447339,329800
2013-09-12,6.590000,6.700000,6.400000,6.550000,6.417944,183000
2013-09-13,6.540000,6.640000,6.430000,6.470000,6.339556,129900
2013-09-16,6.580000,6.610000,6.370000,6.410000,6.280766,217600
2013-09-17,6.350000,6.480000,6.250000,6.390000,6.261169,176200
2013-09-18,6.410000,6.490000,6.320000,6.470000,6.339556,206800
2013-09-19,6.460000,6.470000,6.330000,6.380000,6.251371,95600
2013-09-20,6.350000,6.450000,6.210000,6.260000,6.133790,276600
2013-09-23,6.250000,6.330000,6.040000,6.230000,6.104395,272700
2013-09-24,6.230000,6.850000,6.230000,6.730000,6.594315,578300
2013-09-25,6.790000,7.160000,6.750000,7.070000,6.927460,614300
2013-09-26,7.140000,7.300000,7.070000,7.080000,6.937258,417400
2013-09-27,7.080000,7.340000,6.960000,7.120000,6.976452,346400
2013-09-30,7.020000,7.050000,6.810000,7.000000,6.858871,292600
2013-10-01,7.050000,7.320000,7.020000,7.290000,7.143024,223500
2013-10-02,7.320000,7.420000,7.160000,7.280000,7.133226,254200
2013-10-03,7.250000,7.250000,6.830000,6.960000,6.819677,306500
2013-10-04,6.910000,7.200000,6.910000,7.030000,6.888267,203200
2013-10-07,7.000000,7.240000,6.890000,6.960000,6.819677,275900
2013-10-08,6.850000,6.890000,6.270000,6.630000,6.496331,661800
2013-10-09,6.640000,6.680000,6.320000,6.500000,6.368952,258800
2013-10-10,6.600000,6.800000,6.520000,6.600000,6.466936,224300
2013-10-11,6.630000,6.750000,6.500000,6.710000,6.574718,132300
