Date,Open,High,Low,Close,Adj Close,Volume
2015-10-28,9.230000,10.350000,8.720000,9.450000,9.450000,1986500
2015-10-29,9.600000,10.190000,9.500000,9.750000,9.750000,1201000
2015-10-30,9.990000,10.820000,9.780000,10.580000,10.580000,2000400
2015-11-02,11.180000,13.000000,11.060000,13.000000,13.000000,4093600
2015-11-03,13.660000,14.840000,12.150000,14.330000,14.330000,6873300
2015-11-04,14.180000,14.420000,13.080000,13.300000,13.300000,2723800
2015-11-05,12.400000,13.200000,10.500000,10.920000,10.920000,6995800
2015-11-06,10.570000,10.600000,8.050000,8.200000,8.200000,6213300
2015-11-09,9.090000,9.200000,6.050000,6.200000,6.200000,16102200
2015-11-10,4.580000,5.890000,3.600000,5.440000,5.440000,16852600
2015-11-11,5.450000,6.440000,4.920000,5.440000,5.440000,7882200
2015-11-12,5.680000,5.920000,4.950000,5.230000,5.230000,2309900
2015-11-13,5.210000,5.210000,4.470000,4.550000,4.550000,3135400
2015-11-16,4.600000,4.880000,4.150000,4.220000,4.220000,1631500
2015-11-17,3.900000,3.990000,3.160000,3.240000,3.240000,4689900
2015-11-18,4.100000,6.030000,3.870000,5.300000,5.300000,34225000
2015-11-19,6.330000,6.960000,5.650000,5.900000,5.900000,14098500
2015-11-20,5.670000,6.300000,5.380000,5.830000,5.830000,3866800
2015-11-23,6.070000,6.360000,5.910000,6.000000,6.000000,2486600
2015-11-24,5.950000,6.040000,5.500000,5.610000,5.610000,1784700
2015-11-25,5.650000,5.850000,5.500000,5.520000,5.520000,991300
2015-11-27,5.630000,6.000000,5.380000,6.000000,6.000000,828900
2015-11-30,7.250000,8.140000,6.910000,6.990000,6.990000,20072800
2015-12-01,7.060000,7.084000,6.210000,6.330000,6.330000,3430800
2015-12-02,5.780000,6.440000,5.570000,5.760000,5.760000,3441300
2015-12-03,5.860000,6.440000,5.760000,6.405000,6.405000,1498800
2015-12-04,6.520000,6.690000,6.210000,6.330000,6.330000,1909200
2015-12-07,6.350000,6.590000,6.100000,6.460000,6.460000,1017700
2015-12-08,6.280000,7.290000,6.160000,6.560000,6.560000,2586900
2015-12-09,6.670000,7.150000,6.650000,6.750000,6.750000,1264900
2015-12-10,7.040000,7.100000,6.650000,6.720000,6.720000,1128800
2015-12-11,6.610000,7.150000,6.550000,7.110000,7.110000,2058700
2015-12-14,7.440000,7.990000,7.390000,7.610000,7.610000,3477700
2015-12-15,7.740000,8.030000,6.860000,6.870000,6.870000,3534600
2015-12-16,7.000000,7.290000,6.870000,7.150000,7.150000,1708400
2015-12-17,7.260000,7.550000,7.050000,7.460000,7.460000,1284300
2015-12-18,7.460000,7.950000,7.300000,7.490000,7.490000,3265900
2015-12-21,7.670000,7.860000,7.490000,7.770000,7.770000,1638200
2015-12-22,7.530000,7.770000,7.260000,7.500000,7.500000,1031500
2015-12-23,7.520000,7.640000,7.210000,7.420000,7.420000,660400
2015-12-24,7.450000,7.500000,7.100000,7.100000,7.100000,703400
2015-12-28,7.100000,7.120000,6.500000,7.030000,7.030000,1780000
2015-12-29,5.960000,6.740000,5.540000,6.280000,6.280000,6586500
2015-12-30,5.890000,6.060000,5.400000,5.500000,5.500000,3806300
2015-12-31,5.090000,5.610000,4.600000,5.570000,5.570000,4387600
2016-01-04,5.490000,6.340000,5.300000,6.260000,6.260000,2658300
2016-01-05,6.120000,6.327000,6.000000,6.120000,6.120000,1443800
2016-01-06,6.050000,6.050000,4.950000,5.110000,5.110000,2643200
2016-01-07,4.980000,5.110000,4.470000,4.530000,4.530000,1965900
2016-01-08,4.700000,4.880000,3.770000,4.600000,4.600000,3366000
2016-01-11,5.680000,5.800000,4.820000,5.160000,5.160000,5171500
2016-01-12,5.030000,5.090000,4.060000,4.100000,4.100000,2681500
2016-01-13,4.050000,4.053000,3.500000,3.670000,3.670000,2214400
2016-01-14,3.770000,4.290000,3.300000,4.050000,4.050000,2056300
2016-01-15,3.760000,4.180000,3.760000,4.010000,4.010000,1064000
2016-01-19,4.020000,4.070000,3.650000,3.720000,3.720000,1168800
2016-01-20,3.550000,3.600000,3.290000,3.580000,3.580000,1375700
2016-01-21,3.550000,3.880000,3.520000,3.610000,3.610000,727500
2016-01-22,3.650000,3.781000,3.530000,3.660000,3.660000,461700
2016-01-25,3.700000,4.180000,3.500000,4.120000,4.120000,1041900
2016-01-26,4.060000,4.180000,3.780000,3.810000,3.810000,945700
2016-01-27,3.760000,3.830000,3.580000,3.600000,3.600000,730400
2016-01-28,3.650000,3.740000,3.410000,3.430000,3.430000,444100
2016-01-29,3.420000,3.620000,3.370000,3.590000,3.590000,555300
2016-02-01,3.600000,3.950000,3.510000,3.890000,3.890000,553100
2016-02-02,4.000000,4.900000,3.950000,4.270000,4.270000,3712600
2016-02-03,4.250000,4.670000,4.050000,4.450000,4.450000,1606600
2016-02-04,4.370000,4.830000,4.360000,4.740000,4.740000,1115700
2016-02-05,4.700000,4.736000,4.520000,4.640000,4.640000,722700
2016-02-08,4.250000,4.400000,4.080000,4.320000,4.320000,980700
2016-02-09,4.120000,4.400000,3.603000,3.710000,3.710000,1204000
2016-02-10,3.830000,3.950000,3.470000,3.500000,3.500000,770900
2016-02-11,3.400000,3.660000,3.300000,3.620000,3.620000,676200
2016-02-12,3.720000,3.770000,3.570000,3.770000,3.770000,328000
2016-02-16,3.780000,3.840000,3.550000,3.640000,3.640000,403000
2016-02-17,3.720000,3.950000,3.720000,3.810000,3.810000,553000
2016-02-18,3.820000,4.350000,3.820000,4.250000,4.250000,962400
2016-02-19,4.250000,4.260000,3.850000,3.980000,3.980000,729500
2016-02-22,3.950000,4.130000,3.800000,4.030000,4.030000,491200
2016-02-23,3.930000,4.070000,3.917000,4.050000,4.050000,260100
2016-02-24,3.890000,4.280000,3.830000,4.240000,4.240000,447400
2016-02-25,4.160000,4.500000,4.150000,4.400000,4.400000,591600
2016-02-26,4.500000,4.520000,4.320000,4.440000,4.440000,295300
2016-02-29,4.500000,4.620000,4.300000,4.470000,4.470000,436600
2016-03-01,4.450000,4.590000,4.368000,4.550000,4.550000,342100
2016-03-02,4.460000,4.700000,4.410000,4.630000,4.630000,427900
2016-03-03,4.600000,4.910000,4.540000,4.800000,4.800000,506000
2016-03-04,4.890000,4.900000,4.360000,4.470000,4.470000,766700
2016-03-07,4.450000,4.720000,4.400000,4.610000,4.610000,506400
2016-03-08,4.620000,4.950000,4.560000,4.800000,4.800000,528500
2016-03-09,4.840000,5.240000,4.780000,5.160000,5.160000,866400
2016-03-10,5.500000,5.500000,4.720000,5.480000,5.480000,1635400
2016-03-11,5.640000,5.640000,5.020000,5.090000,5.090000,1167800
2016-03-14,4.760000,5.089000,4.580000,4.930000,4.930000,1352000
2016-03-15,4.870000,4.900000,4.510000,4.520000,4.520000,549100
2016-03-16,4.500000,4.660000,4.380000,4.550000,4.550000,442600
2016-03-17,4.590000,4.860000,4.500000,4.720000,4.720000,422700
2016-03-18,4.690000,4.950000,4.690000,4.920000,4.920000,335300
2016-03-21,4.920000,5.050000,4.725000,4.790000,4.790000,423200
2016-03-22,4.800000,4.950000,4.680000,4.840000,4.840000,311700
2016-03-23,4.810000,4.900000,4.560000,4.630000,4.630000,333200
2016-03-24,4.540000,4.840000,4.510000,4.630000,4.630000,276000
2016-03-28,4.630000,4.760000,4.550000,4.610000,4.610000,146200
2016-03-29,4.820000,4.950000,4.650000,4.780000,4.780000,487200
2016-03-30,4.780000,5.170000,4.750000,4.940000,4.940000,643800
2016-03-31,5.010000,5.020000,4.770000,4.900000,4.900000,439600
2016-04-01,5.010000,5.170000,4.810000,5.030000,5.030000,512000
2016-04-04,5.070000,5.430000,4.970000,5.360000,5.360000,689000
2016-04-05,5.380000,6.000000,5.300000,5.730000,5.730000,1313000
2016-04-06,5.790000,5.970000,5.420000,5.470000,5.470000,1127500
2016-04-07,5.480000,5.570000,5.090000,5.320000,5.320000,440600
2016-04-08,6.030000,6.230000,5.710000,5.910000,5.910000,8091900
2016-04-11,5.750000,5.800000,5.390000,5.480000,5.480000,1559000
2016-04-12,5.290000,5.482000,5.110000,5.430000,5.430000,886300
2016-04-13,5.460000,5.750000,5.400000,5.610000,5.610000,586700
2016-04-14,5.660000,5.770000,5.500000,5.670000,5.670000,374400
2016-04-15,5.650000,5.690000,5.550000,5.570000,5.570000,267100
2016-04-18,5.650000,5.790000,5.560000,5.660000,5.660000,499500
2016-04-19,5.720000,5.720000,5.400000,5.560000,5.560000,477600
2016-04-20,5.470000,5.670000,5.300000,5.310000,5.310000,492400
2016-04-21,5.270000,5.350000,5.110000,5.230000,5.230000,431600
2016-04-22,5.210000,5.300000,5.010000,5.240000,5.240000,551200
2016-04-25,5.960000,6.491000,5.850000,6.060000,6.060000,7001100
2016-04-26,6.010000,6.100000,5.700000,5.900000,5.900000,1671600
2016-04-27,5.900000,5.989000,5.580000,5.660000,5.660000,942700
2016-04-28,5.590000,5.697000,5.500000,5.560000,5.560000,565100
2016-04-29,5.580000,5.600000,5.350000,5.460000,5.460000,665800
2016-05-02,5.260000,5.540000,5.060000,5.240000,5.240000,1494000
2016-05-03,5.150000,5.530000,5.120000,5.500000,5.500000,564700
2016-05-04,5.450000,5.480000,5.120000,5.200000,5.200000,410400
2016-05-05,5.200000,5.280000,5.120000,5.190000,5.190000,282600
2016-05-06,5.100000,5.130000,4.760000,4.810000,4.810000,654100
2016-05-09,4.750000,4.790000,4.200000,4.200000,4.200000,1137700
2016-05-10,4.260000,4.670000,4.250000,4.490000,4.490000,626500
2016-05-11,4.470000,4.670000,4.280000,4.390000,4.390000,344000
2016-05-12,4.330000,4.470000,3.882000,4.000000,4.000000,1035800
2016-05-13,4.000000,4.190000,4.000000,4.050000,4.050000,397800
2016-05-16,3.990000,4.090000,3.960000,4.000000,4.000000,298400
2016-05-17,4.020000,4.170000,3.870000,4.050000,4.050000,494800
