Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,8.500000,8.620000,8.160000,8.490000,5.483130,9500
2013-08-05,8.260000,8.650000,8.210000,8.650000,5.586463,14900
2013-08-06,8.490000,8.750000,8.490000,8.710000,5.625213,33500
2013-08-07,8.740000,8.930000,8.560000,8.890000,5.741464,15000
2013-08-08,8.650000,8.890000,8.650000,8.670000,5.599380,58000
2013-08-09,8.800000,8.800000,8.670000,8.670000,5.599380,18500
2013-08-12,8.650000,8.690000,8.480000,8.680000,5.605838,2400
2013-08-13,8.650000,8.650000,8.450000,8.590000,5.547713,6500
2013-08-14,8.620000,8.670000,8.460000,8.480000,5.476671,20600
2013-08-15,8.420000,8.500000,8.250000,8.400000,5.425004,4300
2013-08-16,8.360000,8.400000,8.200000,8.340000,5.386255,52800
2013-08-19,8.380000,8.380000,8.250000,8.300000,5.360421,15400
2013-08-20,8.320000,8.590000,8.200000,8.250000,5.328129,7000
2013-08-21,8.260000,8.300000,8.130000,8.150000,5.263546,9000
2013-08-22,8.150000,8.290000,8.150000,8.210000,5.302296,6100
2013-08-23,8.130000,8.520000,8.130000,8.130000,5.250628,25500
2013-08-26,8.070000,8.560000,8.070000,8.530000,5.508963,26700
2013-08-27,8.550000,8.550000,8.160000,8.170000,5.276463,14100
2013-08-28,8.160000,8.350000,8.130000,8.280000,5.347504,8700
2013-08-29,8.200000,8.450000,8.200000,8.440000,5.450837,9800
2013-08-30,8.480000,8.700000,8.480000,8.570000,5.534796,8400
2013-09-03,8.680000,8.680000,8.320000,8.490000,5.483130,8100
2013-09-04,8.310000,8.450000,8.310000,8.360000,5.399171,4000
2013-09-05,8.410000,8.410000,8.410000,8.410000,5.431462,100
2013-09-06,8.330000,8.730000,8.320000,8.550000,5.521880,8000
2013-09-09,8.640000,8.650000,8.330000,8.440000,5.450837,7500
2013-09-10,8.450000,8.520000,8.400000,8.480000,5.476671,13900
2013-09-11,8.430000,8.430000,8.200000,8.210000,5.302296,14100
2013-09-12,8.240000,8.250000,8.210000,8.250000,5.328129,4300
2013-09-13,8.250000,8.390000,8.250000,8.300000,5.360421,7500
2013-09-16,8.400000,8.450000,8.250000,8.390000,5.418546,18500
2013-09-17,8.250000,8.350000,8.210000,8.280000,5.347504,9300
2013-09-18,8.250000,8.370000,8.210000,8.250000,5.328129,13700
2013-09-19,8.230000,8.490000,8.230000,8.360000,5.399171,5600
2013-09-20,8.280000,8.350000,8.280000,8.350000,5.392713,14200
2013-09-23,8.350000,8.350000,8.270000,8.280000,5.347504,4100
2013-09-24,8.320000,8.430000,8.120000,8.280000,5.347504,37800
2013-09-25,8.240000,8.260000,8.210000,8.210000,5.302296,12000
2013-09-26,8.250000,8.310000,8.210000,8.210000,5.302296,19300
2013-09-27,8.120000,8.250000,8.110000,8.120000,5.244172,7600
2013-09-30,8.120000,8.250000,8.100000,8.210000,5.302296,11000
2013-10-01,8.170000,8.170000,8.100000,8.150000,5.263546,6700
2013-10-02,8.150000,8.150000,8.140000,8.140000,5.257088,3000
2013-10-03,8.100000,8.110000,8.100000,8.110000,5.237713,3700
2013-10-04,8.130000,8.150000,8.130000,8.130000,5.250628,11200
2013-10-07,8.010000,8.150000,8.000000,8.060000,5.205421,32300
2013-10-08,8.100000,8.210000,8.000000,8.150000,5.263546,12700
2013-10-09,8.150000,8.150000,8.010000,8.010000,5.173130,43400
2013-10-10,8.210000,8.210000,8.020000,8.080000,5.218338,8900
2013-10-11,8.100000,8.140000,8.080000,8.100000,5.231255,7800
2013-10-14,8.100000,8.120000,8.020000,8.050000,5.198963,17900
2013-10-15,8.070000,8.200000,8.060000,8.090000,5.224796,40900
2013-10-16,8.200000,8.550000,8.090000,8.300000,5.360421,51500
2013-10-17,8.230000,8.590000,8.230000,8.370000,5.405630,38100
2013-10-18,8.500000,8.650000,8.370000,8.430000,5.444380,17300
2013-10-21,8.400000,8.500000,8.280000,8.500000,5.489588,15300
2013-10-22,8.430000,8.500000,8.270000,8.450000,5.457295,30800
2013-10-23,8.500000,8.570000,8.400000,8.500000,5.489588,10300
2013-10-24,8.400000,8.750000,8.340000,8.700000,5.618754,40700
2013-10-25,8.700000,8.700000,8.450000,8.500000,5.489588,8500
2013-10-28,8.520000,8.950000,8.520000,8.950000,5.780213,24200
2013-10-29,8.930000,9.140000,8.700000,9.140000,5.902921,25500
2013-10-30,9.090000,9.100000,8.810000,9.010000,5.818963,13400
2013-10-31,8.840000,9.030000,8.840000,9.030000,5.912263,16400
2013-11-01,9.030000,9.030000,8.900000,9.000000,5.892621,21600
2013-11-04,9.080000,9.110000,8.570000,8.580000,5.617632,13700
2013-11-05,8.570000,8.800000,8.360000,8.380000,5.486685,5500
2013-11-06,8.680000,9.150000,8.610000,8.910000,5.833694,109100
2013-11-07,8.860000,8.890000,8.630000,8.810000,5.768221,30700
2013-11-08,9.000000,9.000000,8.580000,8.910000,5.833694,48600
2013-11-11,8.950000,9.200000,8.900000,8.990000,5.886074,30600
2013-11-12,9.030000,9.250000,8.710000,8.850000,5.794410,24700
2013-11-13,8.980000,9.070000,8.960000,9.070000,5.938453,17400
2013-11-14,9.170000,9.250000,9.010000,9.060000,5.931905,9400
2013-11-15,8.980000,8.990000,8.950000,8.960000,5.866431,13200
2013-11-18,9.000000,9.000000,8.670000,8.920000,5.840242,33800
2013-11-19,8.970000,9.000000,8.910000,9.000000,5.892621,19100
2013-11-20,9.000000,9.000000,8.770000,8.950000,5.859884,31300
2013-11-21,9.000000,9.000000,8.760000,8.760000,5.735484,8500
2013-11-22,8.980000,9.370000,8.820000,9.050000,5.925357,54600
2013-11-25,9.040000,9.250000,8.900000,9.050000,5.925357,50400
2013-11-26,8.990000,9.000000,8.860000,9.000000,5.892621,10800
2013-11-27,9.000000,9.190000,8.850000,9.030000,5.912263,14300
2013-11-29,9.030000,9.250000,9.030000,9.210000,6.030114,22400
2013-12-02,9.210000,9.210000,8.900000,8.990000,5.886074,39500
2013-12-03,8.930000,9.000000,8.750000,8.980000,5.879526,57500
2013-12-04,8.980000,9.070000,8.780000,9.070000,5.938453,30600
2013-12-05,9.000000,9.040000,8.900000,9.000000,5.892621,5600
2013-12-06,9.000000,9.010000,8.830000,8.910000,5.833694,8600
2013-12-09,8.980000,8.980000,8.650000,8.820000,5.774768,39000
2013-12-10,8.770000,8.850000,8.560000,8.620000,5.643821,12800
2013-12-11,8.600000,8.900000,8.550000,8.860000,5.800957,38200
2013-12-12,8.770000,8.770000,8.550000,8.590000,5.624179,27200
2013-12-13,8.590000,8.710000,8.430000,8.710000,5.702747,20900
2013-12-16,8.670000,8.950000,8.610000,8.880000,5.814053,28600
2013-12-17,8.810000,8.890000,8.610000,8.880000,5.814053,22800
2013-12-18,8.660000,8.990000,8.650000,8.990000,5.886074,13200
2013-12-19,8.990000,8.990000,8.610000,8.620000,5.643821,181900
2013-12-20,8.640000,8.940000,8.640000,8.940000,5.853336,15100
2013-12-23,8.790000,8.950000,8.790000,8.870000,5.807505,260400
2013-12-24,8.830000,8.860000,8.730000,8.800000,5.761674,6700
2013-12-26,8.800000,8.880000,8.720000,8.730000,5.715842,9500
2013-12-27,8.790000,8.790000,8.550000,8.620000,5.643821,42900
2013-12-30,8.600000,8.660000,8.520000,8.540000,5.591443,33000
2013-12-31,8.510000,8.710000,8.400000,8.510000,5.571800,29500
2014-01-02,8.510000,8.730000,8.270000,8.730000,5.715842,54500
2014-01-03,8.580000,8.700000,8.580000,8.700000,5.696199,10900
