Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,9.110000,9.120000,9.000000,9.000000,5.730076,11600
2013-08-05,9.140000,9.150000,9.140000,9.150000,5.825577,600
2013-08-06,9.180000,9.190000,9.180000,9.190000,5.851045,1400
2013-08-07,9.000000,9.190000,9.000000,9.000000,5.730076,206800
2013-08-08,9.170000,9.170000,9.170000,9.170000,5.838310,200
2013-08-09,9.180000,9.180000,9.060000,9.170000,5.838310,8800
2013-08-12,9.170000,9.170000,9.170000,9.170000,5.838310,0
2013-08-13,9.180000,9.180000,9.180000,9.180000,5.844679,2000
2013-08-14,9.010000,9.140000,8.910000,8.910000,5.672774,38200
2013-08-15,8.900000,9.180000,8.900000,8.920000,5.679143,6300
2013-08-16,9.030000,9.030000,9.030000,9.030000,5.749177,200
2013-08-19,9.030000,9.030000,9.030000,9.030000,5.749177,0
2013-08-20,8.920000,8.980000,8.920000,8.980000,5.717341,1600
2013-08-21,9.010000,9.100000,9.000000,9.000000,5.730076,5400
2013-08-22,9.000000,9.000000,9.000000,9.000000,5.730076,10000
2013-08-23,9.000000,9.000000,9.000000,9.000000,5.730076,0
2013-08-26,9.150000,9.190000,9.150000,9.190000,5.851045,2400
2013-08-27,9.190000,9.190000,8.950000,8.990000,5.723710,3200
2013-08-28,8.990000,8.990000,8.990000,8.990000,5.723710,0
2013-08-29,9.080000,9.080000,8.920000,9.000000,5.730076,12400
2013-08-30,9.000000,9.000000,9.000000,9.000000,5.730076,0
2013-09-03,9.000000,9.000000,9.000000,9.000000,5.730076,0
2013-09-04,9.100000,9.100000,9.080000,9.080000,5.781011,7600
2013-09-05,9.080000,9.080000,9.080000,9.080000,5.781011,0
2013-09-06,9.080000,9.080000,9.080000,9.080000,5.781011,0
2013-09-09,9.100000,9.100000,8.830000,9.000000,5.730076,5300
2013-09-10,9.020000,9.020000,9.000000,9.000000,5.730076,1100
2013-09-11,9.000000,9.070000,9.000000,9.070000,5.774643,2400
2013-09-12,9.100000,9.100000,8.730000,8.730000,5.558174,7300
2013-09-13,9.000000,9.100000,9.000000,9.100000,5.793744,2700
2013-09-16,9.130000,9.130000,9.000000,9.100000,5.793744,1300
2013-09-17,9.000000,9.010000,9.000000,9.000000,5.730076,4600
2013-09-18,8.920000,9.150000,8.730000,9.100000,5.793744,15700
