Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,9.880000,9.900000,9.680000,9.750000,8.482053,326900
2013-08-05,9.740000,10.050000,9.700000,10.050000,8.743038,308700
2013-08-06,10.050000,10.050000,9.820000,9.850000,8.569050,178300
2013-08-07,9.790000,9.860000,9.680000,9.710000,8.447255,149600
2013-08-08,9.830000,9.900000,9.720000,9.800000,8.525551,244100
2013-08-09,9.580000,9.580000,9.150000,9.320000,8.107973,730600
2013-08-12,9.170000,9.470000,9.160000,9.350000,8.134070,299900
2013-08-13,9.390000,9.400000,9.300000,9.360000,8.142771,195600
2013-08-14,9.330000,9.440000,9.330000,9.340000,8.125372,230000
2013-08-15,9.210000,9.250000,8.950000,8.970000,7.803490,216800
2013-08-16,8.930000,9.080000,8.930000,8.930000,7.768691,157000
2013-08-19,8.950000,9.000000,8.920000,8.930000,7.768691,193700
2013-08-20,8.960000,9.100000,8.910000,9.020000,7.846988,144600
2013-08-21,8.960000,9.100000,8.890000,8.970000,7.803490,161000
2013-08-22,9.000000,9.150000,8.980000,9.110000,7.925282,119000
2013-08-23,9.120000,9.120000,8.990000,9.050000,7.873085,147000
2013-08-26,9.050000,9.150000,9.010000,9.120000,7.933982,94600
2013-08-27,8.990000,9.020000,8.920000,8.970000,7.803490,201600
2013-08-28,9.160000,9.200000,8.930000,8.970000,7.803490,208100
2013-08-29,8.970000,9.150000,8.970000,9.080000,7.899184,112000
2013-08-30,9.040000,9.100000,8.790000,8.800000,7.655596,221100
2013-09-03,8.980000,9.210000,8.740000,8.820000,7.672994,241700
2013-09-04,8.780000,9.030000,8.780000,8.980000,7.883694,284100
2013-09-05,9.010000,9.130000,8.910000,9.050000,7.945150,118000
2013-09-06,9.130000,9.160000,8.890000,9.140000,8.024163,191800
2013-09-09,9.180000,9.260000,9.110000,9.240000,8.111954,164000
2013-09-10,9.300000,9.420000,9.230000,9.360000,8.217304,157400
2013-09-11,9.360000,9.500000,9.340000,9.420000,8.269979,93900
2013-09-12,9.440000,9.470000,9.270000,9.300000,8.164629,122900
2013-09-13,9.360000,9.490000,9.200000,9.310000,8.173409,81100
2013-09-16,9.490000,9.490000,9.260000,9.300000,8.164629,148900
2013-09-17,9.300000,9.390000,9.250000,9.300000,8.164629,127500
2013-09-18,9.320000,9.460000,9.200000,9.390000,8.243644,110600
2013-09-19,9.430000,9.470000,9.330000,9.400000,8.252419,76800
2013-09-20,9.390000,9.390000,9.160000,9.280000,8.147069,496200
2013-09-23,9.330000,9.370000,9.140000,9.230000,8.103173,491900
2013-09-24,9.290000,9.370000,9.220000,9.240000,8.111954,273100
2013-09-25,9.240000,9.360000,9.180000,9.270000,8.138293,287700
2013-09-26,9.280000,9.310000,9.220000,9.300000,8.164629,163400
2013-09-27,9.210000,9.300000,9.130000,9.240000,8.111954,172300
2013-09-30,9.130000,9.330000,9.080000,9.310000,8.173409,288500
2013-10-01,9.330000,9.400000,9.270000,9.380000,8.234862,276800
2013-10-02,9.310000,9.360000,9.180000,9.280000,8.147069,134700
2013-10-03,9.230000,9.340000,9.080000,9.190000,8.068057,345200
2013-10-04,9.170000,9.290000,9.160000,9.270000,8.138293,94600
2013-10-07,9.170000,9.250000,9.150000,9.200000,8.076837,180700
2013-10-08,9.240000,9.240000,9.030000,9.080000,7.971488,206000
2013-10-09,9.150000,9.210000,9.010000,9.060000,7.953929,174100
2013-10-10,9.230000,9.300000,9.210000,9.250000,8.120732,119500
2013-10-11,9.200000,9.370000,9.100000,9.350000,8.208523,207600
2013-10-14,9.310000,9.430000,9.310000,9.390000,8.243644,208000
2013-10-15,9.330000,9.420000,9.250000,9.270000,8.138293,176500
2013-10-16,9.350000,9.410000,9.200000,9.280000,8.147069,195400
2013-10-17,9.270000,9.350000,9.220000,9.300000,8.164629,211600
2013-10-18,9.390000,9.540000,9.260000,9.500000,8.340213,308000
2013-10-21,9.550000,9.640000,9.530000,9.540000,8.375332,264300
2013-10-22,9.630000,9.720000,9.540000,9.560000,8.392888,248400
2013-10-23,9.510000,9.560000,9.350000,9.420000,8.269979,259700
2013-10-24,9.520000,9.670000,9.470000,9.630000,8.454344,277100
2013-10-25,9.700000,9.740000,9.610000,9.690000,8.507017,274000
2013-10-28,9.710000,9.810000,9.630000,9.740000,8.550914,238500
2013-10-29,9.750000,9.860000,9.730000,9.840000,8.638702,264800
2013-10-30,9.880000,9.900000,9.700000,9.710000,8.524577,162400
2013-10-31,9.690000,9.750000,9.630000,9.640000,8.463120,187000
2013-11-01,9.620000,9.650000,9.410000,9.440000,8.287539,298900
2013-11-04,9.500000,9.560000,9.460000,9.550000,8.384109,241600
2013-11-05,9.470000,9.480000,9.290000,9.450000,8.296315,349100
2013-11-06,9.540000,9.540000,9.340000,9.450000,8.296315,185800
2013-11-07,9.470000,9.540000,9.330000,9.400000,8.252419,264400
2013-11-08,9.470000,9.740000,9.430000,9.660000,8.480680,413700
2013-11-11,9.600000,9.790000,9.550000,9.780000,8.586028,310900
2013-11-12,9.760000,9.870000,9.730000,9.820000,8.621145,221100
2013-11-13,9.700000,9.980000,9.640000,9.950000,8.735274,314500
2013-11-14,10.100000,10.330000,9.670000,10.300000,9.042544,750300
2013-11-15,10.370000,10.410000,10.090000,10.240000,8.989871,638100
2013-11-18,10.210000,10.350000,10.100000,10.190000,8.945976,523200
2013-11-19,10.220000,10.290000,10.020000,10.100000,8.866961,353500
2013-11-20,10.110000,10.230000,10.020000,10.030000,8.805507,310300
2013-11-21,10.090000,10.220000,10.070000,10.180000,8.937200,374900
2013-11-22,10.240000,10.350000,10.160000,10.350000,9.086443,468900
2013-11-25,10.400000,10.460000,10.320000,10.320000,9.060102,364600
2013-11-26,10.320000,10.430000,10.300000,10.330000,9.068885,488200
2013-11-27,10.380000,10.660000,10.260000,10.630000,9.332260,347800
2013-11-29,10.720000,10.750000,10.550000,10.570000,9.279583,161700
2013-12-02,10.590000,10.710000,10.280000,10.360000,9.095221,373000
2013-12-03,10.320000,10.530000,10.300000,10.490000,9.209350,425400
2013-12-04,10.390000,10.510000,10.150000,10.230000,9.050111,164400
2013-12-05,10.230000,10.300000,10.150000,10.200000,9.023570,308000
