Date,Open,High,Low,Close,Adj Close,Volume
2017-10-26,7.650000,7.650000,7.210000,7.250000,7.071791,157500
2017-10-27,null,null,null,null,null,null
2017-10-30,25.200001,25.200001,25.020000,25.020000,24.404995,15800
2017-10-31,25.108999,25.108999,25.100000,25.100000,24.483028,1300
2017-11-01,25.084999,25.160000,25.070000,25.070000,24.453766,8200
2017-11-02,25.129999,25.129999,25.129999,25.129999,24.512291,600
2017-11-03,25.030001,25.030001,24.920000,25.000000,24.385487,4000
2017-11-06,25.040001,25.139999,25.040001,25.139999,24.522043,2900
2017-11-07,25.049999,25.049999,24.959999,24.959999,24.346470,3500
2017-11-08,25.065001,25.080000,25.021000,25.080000,24.463522,2000
2017-11-09,24.959999,24.959999,24.799999,24.889999,24.278191,4100
2017-11-10,24.830000,24.830000,24.764999,24.815001,24.205034,13800
2017-11-13,24.690001,24.760000,24.690001,24.750000,24.141632,23000
2017-11-14,24.750000,24.750000,24.700001,24.700001,24.092861,1700
2017-11-15,24.490000,24.520000,24.469999,24.500000,23.897776,1500
2017-11-16,24.680000,24.760000,24.660000,24.733000,24.125050,7800
2017-11-17,24.840000,24.840000,24.830000,24.830000,24.219664,400
2017-11-20,24.610001,24.620001,24.610001,24.610001,24.005074,4900
2017-11-21,24.950001,24.950001,24.820000,24.900999,24.288919,2700
2017-11-22,24.980000,24.990000,24.931000,24.965000,24.351347,2400
2017-11-24,24.959999,24.980000,24.959999,24.980000,24.365976,1300
2017-11-27,24.980000,24.980000,24.930000,24.930000,24.317207,900
2017-11-28,24.879999,24.950001,24.850000,24.850000,24.239176,3700
2017-11-29,24.809999,24.809999,24.709999,24.740000,24.131876,5500
2017-11-30,24.780001,24.780001,24.719999,24.719999,24.112366,5200
2017-12-01,24.700001,24.700001,24.625999,24.625999,24.020679,400
2017-12-04,24.794001,24.850000,24.794001,24.830000,24.219664,2000
2017-12-05,24.820000,24.820000,24.820000,24.820000,24.209911,400
2017-12-06,24.662001,24.662001,24.634001,24.634001,24.028482,300
2017-12-07,24.610001,24.660000,24.600000,24.600000,23.995316,11000
2017-12-08,24.600000,24.601000,24.590000,24.590000,23.985567,4000
2017-12-11,24.787001,24.787001,24.787001,24.787001,24.177721,400
2017-12-12,24.750999,24.790001,24.750999,24.790001,24.180649,400
2017-12-13,25.082001,25.082001,25.082001,25.082001,24.465471,200
2017-12-14,25.194000,25.194000,25.194000,25.194000,24.574718,200
2017-12-15,25.264000,25.264000,25.264000,25.264000,24.642996,200
2017-12-18,25.809999,25.809999,25.600000,25.610001,24.980495,1800
2017-12-19,25.600000,25.600000,25.489000,25.489000,24.862465,800
2017-12-20,25.600000,25.600000,25.488001,25.488001,24.861492,3400
2017-12-21,25.594000,25.639999,25.594000,25.639999,25.009754,2400
2017-12-22,25.528999,25.540001,25.528999,25.540001,25.032299,500
