Date,Open,High,Low,Close,Adj Close,Volume
2014-10-01,34.860001,34.860001,34.660000,34.660000,32.393513,2000
2014-10-02,34.660000,34.660000,34.660000,34.660000,32.393513,0
2014-10-03,34.660000,34.660000,34.660000,34.660000,32.393513,0
2014-10-06,34.660000,34.660000,34.660000,34.660000,32.393513,0
2014-10-07,34.459999,34.919998,34.389999,34.400002,32.150513,3100
2014-10-08,33.950001,34.459999,33.950001,34.459999,32.206589,700
2014-10-09,34.480000,34.480000,34.060001,34.060001,31.832737,2500
2014-10-10,33.630001,33.630001,33.590000,33.590000,31.393482,400
2014-10-13,33.139999,34.320000,33.139999,34.320000,32.075752,5900
2014-10-14,33.340000,33.389999,33.340000,33.389999,31.206551,1900
2014-10-15,32.750000,33.051998,32.509998,33.051998,30.890659,2300
2014-10-16,32.660000,32.939999,32.639999,32.939999,30.785978,1900
2014-10-17,32.939999,32.939999,32.939999,32.939999,30.785978,0
2014-10-20,33.439999,33.610001,33.161999,33.610001,31.412170,3000
2014-10-21,33.610001,33.610001,33.610001,33.610001,31.412170,0
2014-10-22,33.959999,34.220001,33.759998,33.759998,31.552361,5600
2014-10-23,34.160000,34.220001,34.099998,34.099998,31.870129,1300
2014-10-24,35.029999,35.029999,34.340000,34.340000,32.094437,800
2014-10-27,34.070000,34.150002,34.070000,34.132000,31.900034,2700
2014-10-28,35.790001,35.790001,34.450001,34.480000,32.225281,900
2014-10-29,34.759998,34.759998,34.438999,34.452000,32.199112,3400
2014-10-30,34.500000,34.700001,34.500000,34.619999,32.356121,3300
2014-10-31,35.049999,35.130001,35.000000,35.130001,32.832771,1400
2014-11-03,34.520000,34.889999,34.520000,34.889999,32.608471,800
2014-11-04,34.459999,34.669998,34.459999,34.650002,32.384151,15700
2014-11-05,34.709999,34.779999,34.709999,34.759998,32.486965,35100
2014-11-06,34.669998,34.700001,34.594002,34.594002,32.331821,3400
2014-11-07,34.594002,34.594002,34.594002,34.594002,32.331821,0
2014-11-10,34.840000,34.844002,34.840000,34.844002,32.565479,1600
2014-11-11,35.040001,35.040001,34.959999,34.959999,32.673893,800
2014-11-12,34.799999,34.820999,34.799999,34.820999,32.543980,1800
2014-11-13,35.380001,35.380001,34.830002,34.900002,32.617817,13300
2014-11-14,34.990002,35.070000,34.974998,35.070000,32.776695,10100
2014-11-17,34.889999,34.910000,34.830002,34.910000,32.627159,14700
2014-11-18,35.199001,35.200001,35.169998,35.169998,32.870152,1500
2014-11-19,35.070000,35.080002,35.070000,35.080002,32.786045,1000
2014-11-20,34.910000,35.020000,34.910000,35.009998,32.720619,1800
2014-11-21,35.188999,35.200001,35.133999,35.133999,32.836517,1100
2014-11-24,35.299999,35.299999,35.299999,35.299999,32.991650,100
2014-11-25,35.569000,35.569000,35.451000,35.488998,33.168289,1000
