Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,8.770000,8.800000,8.600000,8.790000,6.685317,17900
2013-08-05,8.800000,8.800000,8.700000,8.800000,6.692924,8900
2013-08-06,8.750000,8.790000,8.540000,8.750000,6.654894,16200
2013-08-07,7.400000,7.750000,6.620000,6.870000,5.225042,169700
2013-08-08,6.860000,7.250000,6.800000,7.040000,5.354338,77800
2013-08-09,7.090000,7.200000,6.840000,6.850000,5.209831,32000
2013-08-12,6.950000,7.200000,6.620000,6.840000,5.202226,43200
2013-08-13,6.880000,6.990000,6.680000,6.950000,5.285887,22200
2013-08-14,6.930000,7.170000,6.930000,6.990000,5.316309,9800
2013-08-15,7.210000,7.250000,6.960000,6.960000,5.293493,15800
2013-08-16,7.050000,7.080000,6.980000,7.000000,5.323915,12400
2013-08-19,6.960000,7.070000,6.850000,6.870000,5.300768,24300
2013-08-20,6.870000,6.930000,6.870000,6.910000,5.331631,12100
2013-08-21,6.840000,6.950000,6.790000,6.950000,5.362494,26700
2013-08-22,6.900000,6.950000,6.860000,6.940000,5.354778,15000
2013-08-23,6.930000,7.020000,6.890000,7.000000,5.401073,12100
2013-08-26,7.050000,7.050000,7.000000,7.030000,5.424221,17900
2013-08-27,7.010000,7.060000,7.010000,7.040000,5.431937,10500
2013-08-28,7.030000,7.040000,7.020000,7.030000,5.424221,10600
2013-08-29,7.030000,7.200000,7.030000,7.130000,5.501378,9000
2013-08-30,7.120000,7.190000,7.020000,7.080000,5.462800,10800
2013-09-03,7.040000,7.100000,7.020000,7.090000,5.470515,27600
2013-09-04,7.020000,7.210000,7.020000,7.100000,5.478231,15100
2013-09-05,7.130000,7.160000,7.050000,7.050000,5.439654,8500
2013-09-06,7.140000,7.200000,7.050000,7.130000,5.501378,8200
2013-09-09,7.050000,7.160000,6.950000,7.030000,5.424221,35000
2013-09-10,7.120000,7.350000,7.110000,7.330000,5.655694,5500
2013-09-11,7.250000,7.280000,7.150000,7.150000,5.516810,9500
2013-09-12,7.200000,7.210000,7.020000,7.060000,5.447369,6800
2013-09-13,7.030000,7.130000,6.970000,7.090000,5.470515,3300
2013-09-16,7.200000,7.200000,7.000000,7.160000,5.524527,4400
2013-09-17,7.110000,7.110000,7.020000,7.030000,5.424221,14900
2013-09-18,7.020000,7.160000,7.020000,7.140000,5.509095,19300
2013-09-19,7.150000,7.150000,7.100000,7.120000,5.493663,7400
2013-09-20,7.120000,7.150000,7.030000,7.130000,5.501378,1300
2013-09-23,7.110000,7.150000,7.100000,7.100000,5.478231,6800
2013-09-24,7.090000,7.110000,7.030000,7.080000,5.462800,11500
2013-09-25,7.100000,7.150000,7.080000,7.150000,5.516810,3300
2013-09-26,7.070000,7.150000,7.070000,7.090000,5.470515,7700
2013-09-27,7.100000,7.150000,7.100000,7.150000,5.516810,63500
2013-09-30,7.040000,7.150000,7.040000,7.070000,5.455084,12100
2013-10-01,7.000000,7.150000,7.000000,7.090000,5.470515,5100
2013-10-02,7.070000,7.150000,7.070000,7.090000,5.470515,11400
2013-10-03,7.110000,7.110000,7.010000,7.010000,5.408789,12600
2013-10-04,7.060000,7.120000,6.990000,6.990000,5.393357,13900
2013-10-07,7.040000,7.050000,7.030000,7.030000,5.424221,8100
2013-10-08,7.010000,7.090000,7.010000,7.070000,5.455084,11800
2013-10-09,7.020000,7.050000,6.960000,6.990000,5.393357,16700
2013-10-10,6.980000,7.050000,6.980000,6.990000,5.393357,10100
2013-10-11,7.050000,7.050000,6.950000,7.000000,5.401073,9600
2013-10-14,6.950000,7.020000,6.950000,6.960000,5.370211,4000
2013-10-15,7.030000,7.030000,6.880000,6.890000,5.316199,43500
2013-10-16,6.900000,6.900000,6.880000,6.900000,5.323916,21900
2013-10-17,6.850000,6.900000,6.850000,6.900000,5.323916,13500
2013-10-18,6.850000,6.900000,6.850000,6.890000,5.316199,47300
2013-10-21,6.900000,6.940000,6.830000,6.920000,5.339346,65700
2013-10-22,6.930000,6.950000,6.880000,6.890000,5.316199,11400
2013-10-23,6.850000,7.000000,6.730000,6.730000,5.192747,10500
2013-10-24,6.710000,6.960000,6.710000,6.910000,5.331631,7400
2013-10-25,6.910000,6.990000,6.730000,6.750000,5.208179,11900
2013-10-28,6.800000,7.000000,6.800000,6.950000,5.362494,9900
2013-10-29,6.830000,6.990000,6.830000,6.970000,5.377926,4700
2013-10-30,6.930000,7.080000,6.930000,7.060000,5.447369,10600
2013-10-31,7.060000,7.580000,7.060000,7.560000,5.833160,22100
2013-11-01,7.600000,7.940000,7.600000,7.670000,5.918033,8200
2013-11-04,7.690000,8.000000,7.670000,7.790000,6.010623,6000
2013-11-05,7.800000,7.800000,7.410000,7.600000,5.864023,4300
2013-11-06,7.560000,8.290000,7.560000,7.930000,6.118645,34300
2013-11-07,7.880000,8.150000,7.410000,7.790000,6.010623,23700
2013-11-08,7.840000,8.030000,7.760000,7.930000,6.118645,4600
2013-11-11,7.870000,7.990000,7.490000,7.900000,6.095497,4300
2013-11-12,7.830000,7.900000,7.780000,7.830000,6.041487,1600
2013-11-13,7.850000,7.950000,7.610000,7.900000,6.095497,8200
2013-11-14,7.760000,7.900000,7.630000,7.900000,6.095497,7100
2013-11-15,7.870000,7.890000,7.800000,7.850000,6.056918,5200
2013-11-18,7.850000,8.200000,7.540000,7.970000,6.149508,31400
2013-11-19,7.880000,8.030000,7.750000,7.980000,6.157225,4100
2013-11-20,7.920000,7.970000,7.530000,7.970000,6.149508,10900
2013-11-21,7.950000,7.950000,7.710000,7.850000,6.056918,8500
2013-11-22,7.760000,7.970000,7.700000,7.800000,6.018340,21000
2013-11-25,7.830000,7.870000,7.700000,7.730000,5.964328,1400
2013-11-26,7.680000,7.830000,7.680000,7.730000,5.964328,12600
2013-11-27,7.740000,8.150000,7.720000,8.150000,6.288393,5300
2013-11-29,8.160000,8.250000,7.850000,8.100000,6.249815,24000
2013-12-02,8.020000,8.200000,8.020000,8.200000,6.326972,11100
2013-12-03,8.080000,8.250000,8.080000,8.250000,6.365551,9600
2013-12-04,8.270000,8.270000,7.930000,8.170000,6.303825,5800
2013-12-05,7.870000,8.250000,7.870000,8.240000,6.357835,2900
2013-12-06,8.250000,8.250000,8.000000,8.100000,6.249815,6500
2013-12-09,8.180000,8.240000,8.010000,8.120000,6.265245,17100
2013-12-10,8.120000,8.170000,8.000000,8.080000,6.234383,10000
2013-12-11,8.130000,8.240000,8.020000,8.160000,6.296109,4600
2013-12-12,8.160000,8.240000,8.090000,8.130000,6.272962,6000
2013-12-13,8.160000,8.390000,8.120000,8.200000,6.326972,8500
2013-12-16,8.220000,8.230000,8.050000,8.070000,6.226666,14800
2013-12-17,8.030000,8.030000,7.780000,8.000000,6.172656,41000
2013-12-18,7.990000,8.360000,7.960000,8.180000,6.311541,27600
2013-12-19,8.360000,8.360000,8.110000,8.190000,6.319256,7100
2013-12-20,8.300000,8.380000,8.170000,8.210000,6.334688,19400
2013-12-23,8.200000,8.320000,8.190000,8.300000,6.404130,8100
2013-12-24,8.250000,8.380000,8.220000,8.250000,6.443180,1900
2013-12-26,8.310000,8.310000,8.000000,8.110000,6.333839,17500
2013-12-27,8.070000,8.160000,8.010000,8.130000,6.349462,31600
2013-12-30,8.070000,8.170000,7.980000,8.020000,6.263552,31500
2013-12-31,7.930000,8.090000,7.930000,8.090000,6.318222,15900
2014-01-02,8.130000,8.150000,7.950000,7.970000,6.224502,8600
2014-01-03,8.000000,8.070000,7.950000,8.030000,6.271362,4000
2014-01-06,8.100000,8.100000,7.980000,7.980000,6.232313,1700
2014-01-07,8.050000,8.200000,7.950000,8.160000,6.372891,29100
2014-01-08,8.140000,8.170000,8.020000,8.110000,6.333839,9800
2014-01-09,8.170000,8.170000,7.990000,7.990000,6.240121,3300
2014-01-10,7.950000,8.170000,7.950000,7.990000,6.240121,1500
2014-01-13,7.950000,8.160000,7.920000,7.960000,6.216692,37600
2014-01-14,8.100000,8.100000,8.000000,8.050000,6.286982,9900
2014-01-15,8.100000,8.320000,8.090000,8.190000,6.396320,21400
2014-01-16,8.220000,8.390000,8.160000,8.350000,6.521279,6200
2014-01-17,8.400000,8.400000,8.300000,8.340000,6.513470,3800
2014-01-21,8.300000,8.380000,8.090000,8.160000,6.372891,25600
2014-01-22,8.130000,8.150000,7.910000,8.000000,6.247932,26200
2014-01-23,7.930000,8.080000,7.920000,8.000000,6.247932,24700
2014-01-24,7.910000,8.010000,7.770000,7.770000,6.068304,18600
2014-01-27,7.840000,8.200000,7.830000,7.920000,6.185453,7200
2014-01-28,7.780000,7.970000,7.780000,7.810000,6.099543,2500
2014-01-29,7.710000,7.750000,7.660000,7.700000,6.013634,6200
2014-01-30,7.790000,7.990000,7.790000,7.990000,6.240121,4800
2014-01-31,7.890000,8.150000,7.790000,7.910000,6.177641,7800
2014-02-03,7.980000,8.220000,7.820000,7.890000,6.162022,7800
2014-02-04,7.790000,8.000000,7.760000,8.000000,6.247932,14600
2014-02-05,8.000000,8.000000,7.900000,7.980000,6.232313,6900
2014-02-06,8.030000,8.150000,7.990000,8.120000,6.341651,3300
2014-02-07,7.980000,8.120000,7.980000,8.070000,6.302601,2400
2014-02-10,8.210000,8.210000,8.130000,8.130000,6.349462,22500
2014-02-11,8.070000,8.200000,8.010000,8.140000,6.357271,4100
2014-02-12,8.230000,8.230000,7.910000,7.910000,6.177641,22300
2014-02-13,7.660000,7.900000,7.660000,7.850000,6.130783,16300
2014-02-14,7.800000,7.800000,7.480000,7.590000,5.927725,23000
2014-02-18,7.600000,7.740000,7.290000,7.670000,5.990204,26300
2014-02-19,7.700000,7.770000,7.530000,7.590000,5.927725,6400
2014-02-20,7.700000,7.810000,7.600000,7.600000,5.935536,9100
2014-02-21,7.760000,7.810000,7.610000,7.750000,6.052684,11000
2014-02-24,7.750000,8.600000,7.750000,8.350000,6.521279,63000
2014-02-25,8.240000,8.530000,8.060000,8.530000,6.750789,10100
2014-02-26,8.590000,8.590000,8.100000,8.100000,6.410481,7600
2014-02-27,8.230000,8.600000,8.180000,8.360000,6.616249,7200
2014-02-28,8.420000,8.640000,8.070000,8.280000,6.552936,7800
2014-03-03,8.410000,8.500000,8.130000,8.130000,6.434223,1800
2014-03-04,8.120000,8.350000,8.120000,8.270000,6.545022,4000
