Date,Open,High,Low,Close,Adj Close,Volume
2018-03-20,5.200000,5.600000,4.600000,4.620000,4.620000,304300
2018-03-21,4.890000,4.900000,4.610000,4.742000,4.742000,23200
2018-03-22,4.671000,4.750000,4.600000,4.600000,4.600000,54100
2018-03-23,4.600000,4.750000,4.600000,4.655000,4.655000,8400
2018-03-26,4.680000,4.680000,4.500000,4.500000,4.500000,42100
2018-03-27,4.690000,4.700000,4.500000,4.500000,4.500000,9200
2018-03-28,4.500000,4.514000,4.500000,4.500000,4.500000,27800
2018-03-29,4.690000,4.690000,4.500000,4.500000,4.500000,15900
2018-04-02,4.592000,4.592000,4.400000,4.400000,4.400000,43400
2018-04-03,4.410000,4.849000,4.410000,4.849000,4.849000,35100
2018-04-04,4.830000,4.830000,4.494000,4.680000,4.680000,19700
2018-04-05,4.790000,4.800000,4.590000,4.716000,4.716000,36600
2018-04-06,4.684000,5.220000,4.658000,4.750000,4.750000,64700
2018-04-09,4.900000,4.900000,4.730000,4.829000,4.829000,20800
2018-04-10,4.904000,5.000000,4.890000,4.890000,4.890000,26600
2018-04-11,4.889000,4.890000,4.854000,4.861000,4.861000,5900
2018-04-12,4.750000,4.950000,4.750000,4.950000,4.950000,3800
2018-04-13,5.000000,5.000000,4.800000,4.926000,4.926000,16000
2018-04-16,4.930000,5.000000,4.671000,4.671000,4.671000,3200
2018-04-17,4.760000,4.989000,4.760000,4.926000,4.926000,3600
2018-04-18,4.790000,5.000000,4.790000,4.950000,4.950000,51600
2018-04-19,4.900000,4.960000,4.860000,4.860000,4.860000,1200
2018-04-20,4.950000,4.950000,4.890000,4.890000,4.890000,2600
2018-04-23,4.980000,4.980000,4.900000,4.900000,4.900000,14900
2018-04-24,4.900000,4.980000,4.880000,4.950000,4.950000,4100
