Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,11.380000,11.500000,11.320000,11.440000,10.173423,35700
2013-08-05,11.430000,11.500000,11.380000,11.500000,10.226778,16100
2013-08-06,11.500000,11.500000,11.370000,11.430000,10.164530,12200
2013-08-07,11.420000,11.530000,11.340000,11.360000,10.102279,26600
2013-08-08,11.360000,11.410000,11.310000,11.330000,10.075602,36500
2013-08-09,11.340000,11.400000,11.260000,11.350000,10.093387,46200
2013-08-12,11.270000,11.410000,11.270000,11.380000,10.120065,11600
2013-08-13,11.380000,11.410000,11.340000,11.370000,10.111172,21700
2013-08-14,11.400000,11.400000,11.050000,11.070000,9.844388,15700
2013-08-15,11.050000,11.200000,11.000000,11.020000,9.799925,13500
2013-08-16,11.050000,11.090000,10.870000,11.010000,9.791030,27100
2013-08-19,11.020000,11.300000,11.020000,11.040000,9.817708,8700
2013-08-20,11.070000,11.390000,11.060000,11.140000,9.906636,20300
2013-08-21,11.100000,11.230000,10.920000,11.020000,9.799925,45700
2013-08-22,11.060000,11.190000,10.990000,11.000000,9.782138,6600
2013-08-23,10.990000,11.040000,10.850000,10.930000,9.719888,7500
2013-08-26,10.960000,10.960000,10.900000,10.930000,9.719888,7900
2013-08-27,10.850000,11.030000,10.850000,10.860000,9.657638,51500
2013-08-28,10.850000,10.990000,10.770000,10.770000,9.577600,20600
2013-08-29,10.880000,11.010000,10.750000,10.840000,9.639851,15300
2013-08-30,10.830000,10.950000,10.550000,10.660000,9.479779,19800
2013-09-03,10.750000,10.750000,10.690000,10.690000,9.506457,1200
2013-09-04,10.720000,10.720000,10.350000,10.370000,9.221886,11000
2013-09-05,10.350000,10.440000,10.270000,10.360000,9.212992,4500
2013-09-06,10.400000,10.400000,10.250000,10.260000,9.124065,5400
2013-09-09,10.260000,10.500000,10.200000,10.480000,9.319708,8300
2013-09-10,10.500000,10.500000,10.360000,10.450000,9.293029,4300
2013-09-11,10.340000,10.440000,10.310000,10.400000,9.248567,5600
2013-09-12,10.400000,10.670000,10.330000,10.330000,9.230693,7500
2013-09-13,10.370000,10.370000,10.300000,10.330000,9.230693,2000
2013-09-16,10.400000,10.590000,10.310000,10.440000,9.328987,10100
2013-09-17,10.440000,10.680000,10.440000,10.640000,9.507706,10000
2013-09-18,10.620000,10.740000,10.550000,10.730000,9.588126,12800
2013-09-19,10.770000,10.970000,10.700000,10.740000,9.597063,11000
2013-09-20,10.740000,11.000000,10.720000,10.940000,9.775779,23200
2013-09-23,10.780000,10.860000,10.420000,10.800000,9.650678,14200
2013-09-24,10.770000,10.880000,10.660000,10.760000,9.614934,10400
2013-09-25,10.830000,10.830000,10.500000,10.540000,9.418344,9400
2013-09-26,10.480000,10.550000,10.360000,10.480000,9.364731,9200
2013-09-27,10.460000,10.540000,10.350000,10.480000,9.364731,5200
2013-09-30,10.420000,10.570000,10.300000,10.420000,9.311117,10300
2013-10-01,10.410000,10.610000,10.390000,10.570000,9.445152,50100
2013-10-02,10.490000,10.640000,10.360000,10.390000,9.284309,121400
2013-10-03,10.380000,10.480000,10.320000,10.330000,9.230693,8300
2013-10-04,10.310000,10.570000,10.310000,10.520000,9.400475,4900
2013-10-07,10.580000,10.590000,10.420000,10.430000,9.320051,4700
2013-10-08,10.460000,10.540000,10.400000,10.470000,9.355795,36100
2013-10-09,10.530000,10.740000,10.420000,10.440000,9.328987,28600
2013-10-10,10.540000,10.940000,10.470000,10.860000,9.704292,12100
2013-10-11,10.810000,10.920000,10.750000,10.830000,9.677484,13500
2013-10-14,10.790000,10.950000,10.580000,10.750000,9.605997,24500
2013-10-15,10.720000,10.910000,10.570000,10.660000,9.525574,7500
2013-10-16,10.690000,10.870000,10.460000,10.590000,9.463026,8000
2013-10-17,10.580000,10.790000,10.520000,10.650000,9.516639,12600
2013-10-18,10.760000,10.820000,10.400000,10.730000,9.588126,22800
2013-10-21,10.720000,10.840000,10.550000,10.570000,9.445152,10700
2013-10-22,10.580000,10.700000,10.520000,10.620000,9.489834,9100
2013-10-23,10.690000,10.750000,10.520000,10.550000,9.427280,6200
2013-10-24,10.570000,10.680000,10.570000,10.580000,9.454090,13200
2013-10-25,10.620000,10.850000,10.620000,10.820000,9.668548,16100
2013-10-28,10.850000,11.000000,10.850000,11.000000,9.829392,14700
2013-10-29,11.000000,11.000000,10.950000,10.970000,9.802587,11900
