Date,Open,High,Low,Close,Adj Close,Volume
2018-02-16,4.400000,6.650000,4.230000,6.180000,6.180000,104700
2018-02-20,6.250000,7.000000,5.660000,6.050000,6.050000,103900
2018-02-21,6.050000,6.160000,5.640000,5.980000,5.980000,68100
2018-02-22,6.100000,6.420000,5.760000,6.200000,6.200000,71500
2018-02-23,5.950000,6.430000,5.860000,5.910000,5.910000,72400
2018-02-26,6.000000,6.700000,6.000000,6.670000,6.670000,192500
2018-02-27,6.900000,6.900000,6.430000,6.460000,6.460000,105900
2018-02-28,6.500000,6.530000,6.100000,6.200000,6.200000,53700
2018-03-01,6.020000,6.460000,5.750000,6.320000,6.320000,56700
2018-03-02,6.200000,6.500000,6.000000,6.400000,6.400000,64600
2018-03-05,6.470000,6.580000,6.250000,6.450000,6.450000,203600
2018-03-06,6.420000,6.520000,6.420000,6.520000,6.520000,178800
2018-03-07,6.550000,6.550000,6.470000,6.510000,6.510000,116200
2018-03-08,6.550000,6.630000,6.520000,6.570000,6.570000,167000
2018-03-09,6.570000,6.620000,6.510000,6.580000,6.580000,228000
2018-03-12,6.480000,6.710000,6.470000,6.710000,6.710000,173700
2018-03-13,6.740000,6.740000,6.510000,6.550000,6.550000,274500
2018-03-14,6.450000,6.570000,6.430000,6.570000,6.570000,151500
2018-03-15,6.550000,6.630000,6.500000,6.600000,6.600000,213000
2018-03-16,6.570000,6.760000,6.550000,6.550000,6.550000,334000
2018-03-19,6.500000,6.630000,6.450000,6.510000,6.510000,127200
2018-03-20,6.550000,6.550000,6.420000,6.540000,6.540000,139000
2018-03-21,6.500000,6.640000,6.140000,6.550000,6.550000,84000
2018-03-22,6.490000,6.620000,6.450000,6.500000,6.500000,17400
2018-03-23,6.600000,6.600000,6.350000,6.440000,6.440000,35900
2018-03-26,6.520000,6.520000,6.320000,6.390000,6.390000,71500
2018-03-27,6.490000,6.500000,6.350000,6.350000,6.350000,109900
2018-03-28,6.360000,6.390000,6.300000,6.320000,6.320000,53400
2018-03-29,6.380000,6.510000,6.300000,6.300000,6.300000,35000
2018-04-02,6.440000,6.450000,6.310000,6.400000,6.400000,88900
2018-04-03,6.420000,6.640000,6.250000,6.600000,6.600000,161800
