Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,13.510000,13.900000,13.310000,13.795000,12.305402,58400
2013-08-05,13.800000,14.025000,13.725000,13.910000,12.407987,55800
2013-08-06,13.820000,14.110000,13.700000,14.080000,12.559627,21200
2013-08-07,13.950000,14.155000,13.530000,13.730000,12.247421,53200
2013-08-08,13.700000,13.975000,13.700000,13.850000,12.354463,15000
2013-08-09,13.835000,14.230000,13.650000,14.040000,12.523948,30600
2013-08-12,13.910000,14.125000,13.885000,13.980000,12.470424,41000
2013-08-13,13.950000,14.075000,13.750000,13.880000,12.381223,31200
2013-08-14,13.750000,13.915000,13.710000,13.830000,12.336623,25200
2013-08-15,13.620000,13.910000,13.540000,13.580000,12.113620,62800
2013-08-16,13.495000,13.760000,13.445000,13.705000,12.225121,97200
2013-08-19,13.650000,13.830000,13.455000,13.600000,12.131460,39600
2013-08-20,13.615000,13.950000,13.615000,13.885000,12.385683,35400
2013-08-21,13.895000,13.940000,13.645000,13.750000,12.265261,50000
2013-08-22,13.785000,14.000000,13.665000,13.995000,12.483809,20600
2013-08-23,13.985000,14.195000,13.800000,14.020000,12.506107,59200
2013-08-26,14.015000,14.055000,13.600000,13.875000,12.376765,45000
2013-08-27,13.690000,13.700000,12.575000,12.800000,11.417841,74400
2013-08-28,12.730000,12.950000,12.230000,12.320000,11.032771,60400
2013-08-29,12.120000,12.550000,12.040000,12.510000,11.202918,39800
2013-08-30,12.475000,12.520000,12.215000,12.255000,10.974563,66800
2013-09-03,12.465000,12.555000,12.315000,12.460000,11.158147,19200
2013-09-04,12.440000,12.585000,12.230000,12.380000,11.086501,34200
2013-09-05,12.785000,12.785000,12.525000,12.575000,11.261127,16200
2013-09-06,12.640000,12.665000,12.325000,12.360000,11.068591,43400
2013-09-09,12.440000,12.700000,12.245000,12.485000,11.180530,70800
2013-09-10,12.590000,12.730000,12.330000,12.460000,11.158147,52800
2013-09-11,12.435000,12.435000,12.065000,12.135000,10.867100,46800
2013-09-12,12.220000,12.400000,12.105000,12.230000,10.952176,32200
2013-09-13,12.290000,12.715000,12.020000,12.280000,10.996949,35800
2013-09-16,12.455000,12.835000,12.250000,12.485000,11.180530,49800
2013-09-17,12.485000,12.585000,12.350000,12.520000,11.211873,24200
2013-09-18,12.935000,12.935000,12.480000,12.655000,11.332767,20000
2013-09-19,12.625000,12.625000,12.275000,12.340000,11.050680,33800
2013-09-20,12.350000,12.735000,12.315000,12.730000,11.399935,68000
2013-09-23,12.925000,12.975000,12.645000,12.645000,11.323815,35200
2013-09-24,12.655000,12.750000,12.415000,12.500000,11.193964,24200
2013-09-25,12.510000,12.710000,12.450000,12.560000,11.247694,22000
2013-09-26,12.515000,12.660000,12.170000,12.240000,10.961128,16600
2013-09-27,12.155000,12.420000,11.900000,11.995000,10.741728,13800
2013-09-30,11.865000,12.445000,11.380000,11.695000,10.473072,128200
2013-10-01,11.655000,12.055000,11.655000,12.040000,10.782026,38400
2013-10-02,11.900000,12.155000,11.780000,11.950000,10.701429,93200
2013-10-03,11.695000,12.015000,11.695000,11.795000,10.562625,47400
2013-10-04,11.770000,12.100000,11.770000,11.905000,10.661133,42200
2013-10-07,11.760000,12.090000,11.705000,11.930000,10.683518,50200
2013-10-08,11.910000,12.080000,11.755000,11.925000,10.679041,79800
2013-10-09,11.960000,12.245000,11.720000,11.880000,10.638742,125400
2013-10-10,12.055000,12.470000,12.020000,12.455000,11.153665,41000
2013-10-11,12.385000,13.100000,12.345000,13.000000,11.641721,51800
2013-10-14,13.165000,13.455000,13.035000,13.295000,11.905899,24200
2013-10-15,13.000000,13.050000,12.595000,12.695000,11.368590,111800
2013-10-16,12.770000,12.905000,12.380000,12.505000,11.198441,30400
2013-10-17,12.435000,13.000000,12.435000,12.840000,11.498440,53000
2013-10-18,12.985000,13.340000,12.855000,13.140000,11.767097,71200
2013-10-21,13.120000,13.340000,13.040000,13.205000,11.825303,40400
2013-10-22,13.230000,13.370000,13.040000,13.140000,11.767097,38400
2013-10-23,13.095000,13.100000,12.815000,12.975000,11.619334,15800
2013-10-24,13.025000,13.480000,12.990000,13.365000,11.968588,110200
2013-10-25,13.420000,13.420000,13.080000,13.165000,11.789483,77200
2013-10-28,13.045000,13.495000,13.045000,13.270000,11.883510,41400
2013-10-29,12.665000,13.510000,12.665000,13.335000,11.941722,55800
2013-10-30,13.255000,13.290000,13.025000,13.035000,11.673065,53800
2013-10-31,13.035000,13.175000,12.835000,12.910000,11.561127,56000
2013-11-01,12.875000,12.875000,12.525000,12.625000,11.305902,100000
2013-11-04,12.540000,12.625000,12.325000,12.540000,11.229783,50000
2013-11-05,12.435000,12.830000,12.435000,12.725000,11.395458,18800
2013-11-06,12.775000,12.865000,12.560000,12.815000,11.521322,17400
2013-11-07,12.920000,13.105000,12.430000,12.520000,11.256102,60800
2013-11-08,12.560000,12.905000,12.305000,12.390000,11.139228,42800
2013-11-11,12.390000,12.390000,11.980000,12.000000,10.788598,46600
2013-11-12,12.005000,12.445000,12.005000,12.445000,11.188675,36400
2013-11-13,12.325000,12.655000,12.325000,12.620000,11.346008,24800
2013-11-14,12.610000,12.745000,12.490000,12.625000,11.350501,34600
2013-11-15,12.605000,12.690000,12.340000,12.575000,11.305550,51800
2013-11-18,12.660000,13.105000,12.580000,12.900000,11.597741,71200
2013-11-19,13.125000,13.235000,12.960000,13.005000,11.692141,48600
2013-11-20,12.960000,13.235000,12.955000,13.040000,11.723610,16600
2013-11-21,13.085000,13.315000,13.045000,13.300000,11.957362,30400
