Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,16.309999,16.450001,16.209999,16.309999,13.867387,106800
2013-08-05,16.350000,16.530001,16.250000,16.450001,13.986422,185900
2013-08-06,16.459999,16.480000,16.260000,16.440001,13.977920,336600
2013-08-07,16.360001,16.490000,16.320000,16.420000,13.960912,224500
2013-08-08,16.530001,16.590000,16.450001,16.469999,14.003425,136300
2013-08-09,16.410000,16.480000,16.250000,16.280001,13.841880,99100
2013-08-12,16.240000,16.360001,16.200001,16.350000,13.901396,130900
2013-08-13,16.350000,16.410000,16.120001,16.400000,13.943908,142700
2013-08-14,16.389999,16.510000,16.299999,16.360001,13.909898,127600
2013-08-15,16.280001,16.350000,16.030001,16.120001,13.705842,157100
2013-08-16,16.049999,16.330000,16.040001,16.139999,13.722844,112900
2013-08-19,16.180000,16.180000,15.930000,16.020000,13.620815,163900
2013-08-20,16.070000,16.290001,16.020000,16.200001,13.773859,383400
2013-08-21,16.180000,16.250000,15.930000,15.960000,13.569803,274900
2013-08-22,16.059999,16.190001,15.980000,16.100000,13.688837,128100
2013-08-23,16.100000,16.150000,15.900000,16.090000,13.680336,125800
2013-08-26,16.080000,16.090000,15.910000,15.930000,13.544294,70700
2013-08-27,15.800000,15.830000,15.340000,15.340000,13.042654,150600
2013-08-28,15.120000,15.280000,15.050000,15.140000,12.999722,110800
2013-08-29,15.080000,15.270000,14.920000,15.190000,13.042653,89900
2013-08-30,15.170000,15.170000,14.910000,15.000000,12.879515,314700
2013-09-03,15.200000,15.350000,14.690000,14.890000,12.785068,119000
2013-09-04,14.930000,15.020000,14.800000,15.010000,12.888103,216700
2013-09-05,15.050000,15.190000,14.990000,15.020000,12.896688,123800
2013-09-06,15.110000,15.250000,14.750000,15.050000,12.922444,290300
2013-09-09,15.120000,15.180000,14.900000,15.170000,13.025485,113900
2013-09-10,15.250000,15.290000,15.080000,15.260000,13.102758,220700
2013-09-11,15.200000,15.260000,15.110000,15.110000,12.973964,97100
2013-09-12,15.110000,15.290000,15.010000,15.040000,12.913860,95700
2013-09-13,15.090000,15.100000,14.910000,14.990000,12.870927,147700
2013-09-16,15.090000,15.260000,14.900000,15.080000,12.948207,173800
2013-09-17,15.060000,15.280000,15.030000,15.280000,13.119931,195800
2013-09-18,15.310000,15.490000,15.180000,15.240000,13.085588,165600
2013-09-19,15.250000,15.280000,14.890000,15.050000,12.922444,159200
2013-09-20,15.070000,15.380000,15.040000,15.370000,13.197208,804700
2013-09-23,15.350000,15.420000,15.150000,15.370000,13.197208,156100
2013-09-24,15.370000,15.550000,15.230000,15.390000,13.214382,122400
2013-09-25,15.450000,15.610000,15.260000,15.440000,13.257315,99700
2013-09-26,15.520000,15.560000,15.200000,15.320000,13.154279,224600
2013-09-27,15.200000,15.340000,15.160000,15.170000,13.025485,152800
2013-09-30,15.070000,15.190000,15.000000,15.170000,13.025485,620200
2013-10-01,15.210000,15.390000,15.150000,15.290000,13.128518,355700
2013-10-02,15.240000,15.320000,15.090000,15.120000,12.982550,503800
