Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,10.250000,10.250000,9.950000,10.000000,9.416331,4100
2013-08-05,10.190000,10.190000,9.780000,10.030000,9.444577,10400
2013-08-06,10.060000,10.200000,10.010000,10.090000,9.501077,12300
2013-08-07,10.000000,10.740000,10.000000,10.400000,9.792984,21000
2013-08-08,10.610000,10.980000,10.360000,10.890000,10.254383,26700
2013-08-09,10.700000,10.900000,10.310000,10.890000,10.254383,76800
2013-08-12,10.870000,10.870000,10.490000,10.800000,10.169637,23400
2013-08-13,10.800000,10.800000,10.000000,10.310000,9.708237,39100
2013-08-14,10.200000,10.660000,10.200000,10.410000,9.802397,13200
2013-08-15,10.410000,10.450000,10.300000,10.320000,9.717653,3900
2013-08-16,10.250000,10.270000,9.590000,10.150000,9.557572,32500
2013-08-19,10.000000,10.400000,10.000000,10.250000,9.651740,15700
2013-08-20,10.230000,10.370000,10.100000,10.110000,9.519908,3200
2013-08-21,10.190000,10.190000,9.410000,9.810000,9.237420,17100
2013-08-22,9.840000,9.880000,9.110000,9.880000,9.303332,40400
2013-08-23,9.850000,9.850000,9.320000,9.470000,8.917265,37900
2013-08-26,9.440000,9.470000,9.160000,9.380000,8.832515,27100
2013-08-27,9.250000,9.790000,9.250000,9.360000,8.813684,11300
2013-08-28,9.370000,9.780000,9.370000,9.700000,9.133840,1700
2013-08-29,9.660000,9.790000,9.330000,9.660000,9.096174,7700
2013-08-30,9.360000,10.180000,9.360000,9.880000,9.303332,6300
2013-09-03,9.890000,9.890000,9.510000,9.750000,9.180923,11200
2013-09-04,9.750000,9.770000,9.560000,9.760000,9.190338,12700
2013-09-05,9.630000,9.690000,9.420000,9.500000,8.945516,16300
2013-09-06,9.510000,9.650000,9.310000,9.650000,9.086758,14000
2013-09-09,9.450000,9.600000,9.300000,9.400000,8.851350,35800
2013-09-10,9.410000,9.700000,9.260000,9.700000,9.133840,9100
2013-09-11,9.400000,9.540000,9.250000,9.420000,8.870184,14600
2013-09-12,9.320000,9.370000,8.970000,9.230000,8.691273,18900
2013-09-13,9.100000,9.200000,8.910000,9.090000,8.559443,17900
2013-09-16,9.010000,9.180000,8.820000,8.950000,8.427614,48300
2013-09-17,8.930000,8.950000,8.410000,8.430000,7.937966,45200
2013-09-18,8.450000,8.830000,8.300000,8.630000,8.126292,38000
2013-09-19,8.550000,8.940000,8.390000,8.810000,8.295790,23800
2013-09-20,8.860000,8.920000,8.590000,8.750000,8.239289,11700
2013-09-23,8.550000,8.650000,8.300000,8.650000,8.145124,30100
2013-09-24,8.740000,8.870000,8.450000,8.800000,8.286369,5300
2013-09-25,8.810000,8.950000,8.600000,8.910000,8.389947,9600
2013-09-26,8.950000,9.420000,8.810000,9.220000,8.681855,16900
