Date,Open,High,Low,Close,Adj Close,Volume
2017-11-02,8.000000,8.600000,6.935000,7.070000,7.070000,9761000
2017-11-03,7.370000,7.580000,6.990000,7.000000,7.000000,2067300
2017-11-06,7.200000,7.850000,7.110000,7.750000,7.750000,1465100
2017-11-07,7.950000,8.365000,7.880000,8.200000,8.200000,2023900
2017-11-08,8.250000,8.350000,7.950000,8.100000,8.100000,570900
2017-11-09,8.040000,8.100000,7.920000,8.000000,8.000000,460600
2017-11-10,7.870000,8.030000,7.850000,7.890000,7.890000,372200
2017-11-13,8.050000,8.240000,7.890000,7.950000,7.950000,346000
2017-11-14,7.910000,8.000000,7.650000,7.800000,7.800000,263200
2017-11-15,7.760000,7.760000,7.350000,7.550000,7.550000,438900
2017-11-16,7.570000,7.670000,7.310000,7.640000,7.640000,369500
2017-11-17,7.620000,7.620000,7.350000,7.410000,7.410000,313700
2017-11-20,7.400000,7.740000,7.390000,7.570000,7.570000,376600
2017-11-21,7.570000,7.870000,7.500000,7.840000,7.840000,288700
2017-11-22,7.830000,8.170000,7.760000,8.120000,8.120000,348200
2017-11-24,8.070000,8.300000,8.000000,8.200000,8.200000,275300
2017-11-27,8.500000,8.700000,8.360000,8.450000,8.450000,1568000
2017-11-28,8.730000,8.770000,8.280000,8.400000,8.400000,745800
2017-11-29,8.600000,8.750000,8.260000,8.670000,8.670000,560000
2017-11-30,8.750000,9.080000,8.700000,8.880000,8.880000,867400
2017-12-01,8.880000,9.560000,8.880000,9.410000,9.410000,801200
2017-12-04,9.750000,9.880000,9.200000,9.710000,9.710000,752400
2017-12-05,9.800000,9.900000,9.250000,9.300000,9.300000,800900
2017-12-06,9.850000,9.850000,8.640000,8.670000,8.670000,994900
2017-12-07,8.310000,9.000000,8.040000,8.250000,8.250000,1051500
2017-12-08,8.260000,8.460000,8.000000,8.040000,8.040000,644900
2017-12-11,8.040000,8.190000,7.900000,8.060000,8.060000,596300
2017-12-12,8.130000,8.200000,7.980000,8.040000,8.040000,476500
2017-12-13,7.990000,8.030000,7.770000,7.890000,7.890000,725100
2017-12-14,7.830000,8.000000,7.611000,7.740000,7.740000,574200
2017-12-15,7.700000,7.900000,7.230000,7.250000,7.250000,2209500
2017-12-18,7.240000,7.515000,7.080000,7.140000,7.140000,835100
2017-12-19,6.620000,6.675000,6.270000,6.350000,6.350000,1291300
2017-12-20,6.350000,6.540000,6.310000,6.360000,6.360000,552000
2017-12-21,6.390000,6.400000,5.970000,6.000000,6.000000,631800
2017-12-22,6.050000,6.110000,5.810000,6.000000,6.000000,1060800
2017-12-26,6.050000,6.250000,6.000000,6.210000,6.210000,469700
2017-12-27,6.250000,6.590000,6.160000,6.510000,6.510000,479500
2017-12-28,6.540000,6.650000,6.450000,6.540000,6.540000,351300
