Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,15.410000,15.500000,15.060000,15.500000,9.273736,2300
2013-08-05,15.500000,15.640000,15.100000,15.350000,9.183985,27900
2013-08-06,15.320000,15.320000,15.000000,15.010000,8.980562,29100
2013-08-07,15.060000,15.380000,15.040000,15.080000,9.022444,9100
2013-08-08,15.290000,15.330000,15.110000,15.300000,9.154074,7600
2013-08-09,15.290000,15.440000,15.000000,15.170000,9.076289,12700
2013-08-12,15.010000,15.100000,14.760000,15.000000,8.974583,37700
2013-08-13,14.860000,15.160000,14.650000,14.730000,8.813039,48700
2013-08-14,14.820000,15.060000,14.820000,14.900000,8.914748,8400
2013-08-15,14.850000,14.950000,14.800000,14.800000,8.854919,24900
2013-08-16,14.880000,14.900000,14.850000,14.890000,8.908770,3000
2013-08-19,15.050000,15.510000,15.050000,15.300000,9.154074,4500
2013-08-20,15.230000,15.300000,15.000000,15.200000,9.094240,10300
2013-08-21,15.210000,15.210000,14.800000,14.860000,8.957112,10000
2013-08-22,15.120000,15.200000,14.780000,15.200000,9.162047,11900
2013-08-23,15.150000,15.150000,14.810000,14.870000,8.963140,10800
2013-08-26,15.000000,15.100000,15.000000,15.100000,9.101779,3000
2013-08-27,15.040000,15.040000,14.560000,14.730000,8.878754,25100
2013-08-28,14.680000,14.850000,14.680000,14.710000,8.866699,3600
2013-08-29,14.990000,15.140000,14.750000,15.000000,9.041498,4100
2013-08-30,14.980000,14.980000,14.700000,14.700000,8.860669,13400
2013-09-03,14.870000,14.870000,14.660000,14.670000,8.842587,3200
2013-09-04,14.730000,14.840000,14.660000,14.820000,8.933000,16300
2013-09-05,14.770000,14.910000,14.680000,14.910000,8.987249,13500
2013-09-06,14.920000,15.140000,14.920000,15.140000,9.125884,32700
2013-09-09,15.010000,15.200000,15.010000,15.200000,9.162047,10600
2013-09-10,15.200000,15.250000,15.050000,15.250000,9.192195,33600
2013-09-11,15.150000,15.310000,15.150000,15.240000,9.186167,29300
2013-09-12,15.150000,15.300000,15.100000,15.300000,9.222329,13500
