Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,5.000000,5.640000,4.800000,5.240000,5.240000,479800
2018-06-01,5.250000,5.340000,4.900000,4.980000,4.980000,176300
2018-06-04,4.950000,4.965000,4.550000,4.740000,4.740000,97600
2018-06-05,4.650000,4.900000,4.251000,4.630000,4.630000,117300
2018-06-06,4.390000,4.666000,4.380000,4.410000,4.410000,46000
2018-06-07,4.511000,4.548000,4.050000,4.303000,4.303000,27100
2018-06-08,4.480000,5.240000,4.374000,4.940000,4.940000,533500
2018-06-11,5.000000,5.400000,4.529000,4.620000,4.620000,536100
2018-06-12,4.590000,4.604000,4.100000,4.350000,4.350000,141700
2018-06-13,4.290000,4.600000,4.110000,4.180000,4.180000,73200
2018-06-14,4.350000,4.590000,4.200000,4.550000,4.550000,128800
2018-06-15,5.000000,5.560000,4.570000,4.700000,4.700000,1375000
2018-06-18,4.600000,5.120000,4.568000,4.930000,4.930000,260000
2018-06-19,4.930000,4.949000,4.600000,4.600000,4.600000,120500
2018-06-20,5.320000,5.380000,4.650000,4.770000,4.770000,1268400
2018-06-21,4.830000,4.957000,4.350000,4.450000,4.450000,176600
2018-06-22,4.540000,4.777000,4.236000,4.350000,4.350000,98600
2018-06-25,4.300000,4.300000,3.780000,4.171000,4.171000,120900
2018-06-26,4.150000,4.250000,4.000000,4.060000,4.060000,54000
2018-06-27,4.010000,4.200000,3.320000,3.450000,3.450000,220500
2018-06-28,3.470000,3.671000,3.050000,3.400000,3.400000,126700
2018-06-29,3.380000,3.930000,3.250000,3.750000,3.750000,108600
2018-07-02,3.750000,3.881000,3.591000,3.634000,3.634000,29900
2018-07-03,3.630000,3.880000,3.570000,3.680000,3.680000,40600
2018-07-05,3.589000,3.690000,3.480000,3.480000,3.480000,56000
2018-07-06,null,null,null,null,null,null
2018-07-09,3.380000,3.430000,3.310000,3.330000,3.330000,22700
2018-07-10,3.260000,3.550000,3.260000,3.490000,3.490000,43200
2018-07-11,3.900000,3.949000,3.500000,3.600000,3.600000,376200
2018-07-12,3.660000,3.672000,3.210000,3.300000,3.300000,117800
2018-07-13,3.320000,3.410000,3.170000,3.170000,3.170000,65600
2018-07-16,3.150000,3.296000,2.790000,2.980000,2.980000,68500
2018-07-17,3.020000,3.190000,2.950000,2.950000,2.950000,58800
2018-07-18,2.950000,3.100000,2.920000,2.920000,2.920000,25100
2018-07-19,2.900000,3.043000,2.810000,2.996000,2.996000,80200
2018-07-20,2.950000,3.031000,2.812000,3.000000,3.000000,35400
2018-07-23,3.000000,3.100000,2.980000,3.094000,3.094000,83800
2018-07-24,3.100000,3.567000,2.720000,2.934000,2.934000,400500
2018-07-25,2.870000,2.949000,2.630000,2.750000,2.750000,68800
2018-07-26,2.790000,2.830000,2.447000,2.640000,2.640000,48300
2018-07-27,2.620000,2.849000,2.510000,2.650000,2.650000,76900
2018-07-30,2.670000,2.780000,2.610000,2.640000,2.640000,46300
2018-07-31,2.720000,3.100000,2.700000,3.000000,3.000000,654000
2018-08-01,3.000000,3.000000,2.420000,2.980000,2.980000,232800
2018-08-02,2.970000,2.970000,2.650000,2.876000,2.876000,41100
