Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.780000,7.960000,7.780000,7.830000,7.012736,68000
2013-08-05,7.840000,7.960000,7.840000,7.850000,7.030648,75400
2013-08-06,7.810000,7.970000,7.780000,7.900000,7.075429,58500
2013-08-07,7.930000,8.020000,7.760000,7.800000,6.985867,30800
2013-08-08,7.880000,7.990000,7.710000,7.750000,6.941084,56800
2013-08-09,7.750000,7.980000,7.750000,7.850000,7.030648,47500
2013-08-12,7.800000,7.950000,7.760000,7.760000,6.950041,48400
2013-08-13,7.820000,7.820000,7.680000,7.710000,6.905260,62300
2013-08-14,7.570000,7.710000,7.150000,7.320000,6.555968,124500
2013-08-15,7.300000,7.420000,7.180000,7.360000,6.591793,77700
2013-08-16,7.360000,7.430000,7.240000,7.420000,6.645530,76700
2013-08-19,7.480000,7.480000,7.270000,7.340000,6.573880,41200
2013-08-20,7.330000,7.490000,7.300000,7.440000,6.663442,27000
2013-08-21,7.430000,7.450000,7.350000,7.360000,6.591793,14500
2013-08-22,7.350000,7.500000,7.350000,7.490000,6.708223,26800
2013-08-23,7.500000,7.500000,7.360000,7.460000,6.681353,13300
2013-08-26,7.500000,7.500000,7.400000,7.420000,6.645530,30300
2013-08-27,7.370000,7.460000,7.270000,7.280000,6.520142,23900
2013-08-28,7.300000,7.500000,7.300000,7.440000,6.663442,25200
2013-08-29,7.460000,7.540000,7.350000,7.400000,6.627616,18500
2013-08-30,7.390000,7.550000,7.270000,7.340000,6.573880,57800
2013-09-03,7.340000,7.570000,7.340000,7.400000,6.627616,41100
2013-09-04,7.380000,7.400000,7.270000,7.360000,6.591793,35400
2013-09-05,7.350000,7.470000,7.210000,7.250000,6.493274,71000
2013-09-06,7.260000,7.320000,7.200000,7.240000,6.484318,11800
2013-09-09,7.240000,7.315000,7.000000,7.060000,6.323105,77800
2013-09-10,7.080000,7.090000,6.900000,7.090000,6.349974,57700
2013-09-11,7.100000,7.230000,7.100000,7.140000,6.394755,21800
2013-09-12,7.150000,7.200000,7.080000,7.150000,6.403711,8400
2013-09-13,7.190000,7.190000,7.070000,7.090000,6.349974,18700
2013-09-16,7.170000,7.170000,7.000000,7.040000,6.305192,32500
2013-09-17,7.140000,7.140000,7.000000,7.050000,6.314148,37700
2013-09-18,7.050000,7.160000,6.970000,7.070000,6.332061,46000
2013-09-19,7.060000,7.140000,6.850000,6.920000,6.197718,56700
2013-09-20,6.870000,6.925000,6.800000,6.820000,6.108156,137800
