Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.540000,7.800000,7.350000,7.480000,6.814411,55200
2013-08-05,7.480000,7.920000,7.480000,7.800000,7.105936,56300
2013-08-06,7.810000,7.980000,7.810000,7.860000,7.160597,30400
2013-08-07,7.910000,7.920000,7.780000,7.810000,7.115046,19700
2013-08-08,7.900000,7.900000,7.790000,7.830000,7.133266,8700
2013-08-09,7.890000,8.300000,7.890000,8.090000,7.370130,101400
2013-08-12,8.000000,8.390000,7.840000,8.270000,7.534114,60500
2013-08-13,8.240000,8.400000,7.910000,8.110000,7.388351,54800
2013-08-14,8.060000,8.150000,8.000000,8.120000,7.397461,39500
2013-08-15,7.990000,8.060000,7.720000,7.930000,7.224367,11500
2013-08-16,7.870000,8.160000,7.870000,7.940000,7.233478,23500
2013-08-19,7.840000,8.010000,7.500000,7.980000,7.269918,130100
2013-08-20,8.000000,8.130000,7.800000,8.020000,7.306360,36300
2013-08-21,8.050000,8.840000,8.020000,8.700000,7.925852,136500
2013-08-22,8.700000,8.850000,8.220000,8.400000,7.652544,159300
2013-08-23,8.690000,9.690000,8.600000,9.490000,8.645555,1956800
2013-08-26,9.950000,9.990000,9.350000,9.690000,8.827758,514400
2013-08-27,9.580000,9.700000,9.190000,9.240000,8.417802,327600
2013-08-28,9.190000,9.300000,9.040000,9.170000,8.354030,209900
2013-08-29,9.200000,9.650000,9.200000,9.440000,8.600005,285300
2013-08-30,9.510000,9.850000,9.340000,9.500000,8.654665,385100
2013-09-03,9.950000,10.230000,9.510000,9.990000,9.101063,519700
2013-09-04,10.000000,10.220000,9.850000,9.950000,9.064623,322700
2013-09-05,9.950000,10.020000,9.820000,9.930000,9.046404,109800
2013-09-06,9.950000,9.950000,9.660000,9.760000,8.891529,96500
2013-09-09,9.920000,10.100000,9.790000,9.940000,9.055513,255300
2013-09-10,10.000000,10.100000,9.730000,10.010000,9.119286,220300
2013-09-11,10.010000,10.160000,9.810000,9.860000,8.982633,114700
2013-09-12,9.850000,10.150000,9.800000,9.940000,9.055513,65300
2013-09-13,9.950000,9.950000,9.860000,9.940000,9.055513,109700
2013-09-16,9.980000,10.060000,9.670000,9.780000,8.909748,111400
2013-09-17,9.760000,9.800000,9.650000,9.750000,8.882420,95400
2013-09-18,9.750000,9.820000,9.650000,9.760000,8.891529,91500
2013-09-19,9.750000,9.870000,9.550000,9.600000,8.745768,99600
2013-09-20,9.590000,9.680000,9.310000,9.580000,8.727545,182700
2013-09-23,9.500000,9.520000,8.750000,9.250000,8.426911,472600
2013-09-24,9.210000,9.520000,9.030000,9.460000,8.618227,111200
2013-09-25,9.480000,9.700000,9.270000,9.680000,8.818650,84100
2013-09-26,9.700000,9.810000,9.500000,9.750000,8.882420,98300
2013-09-27,9.760000,9.870000,9.650000,9.760000,8.891529,48000
2013-09-30,9.520000,10.000000,9.250000,10.000000,9.110174,214500
2013-10-01,9.950000,10.080000,9.800000,9.940000,9.055513,86700
2013-10-02,9.930000,10.040000,9.890000,10.000000,9.110174,97300
2013-10-03,10.000000,10.050000,9.590000,9.610000,8.754876,186800
2013-10-04,9.610000,9.800000,9.550000,9.710000,8.845980,40400
2013-10-07,9.710000,9.710000,9.310000,9.320000,8.490682,66600
2013-10-08,9.280000,9.380000,9.200000,9.320000,8.490682,133300
2013-10-09,9.320000,9.590000,9.280000,9.430000,8.590894,79600
2013-10-10,9.500000,9.900000,9.500000,9.870000,8.991744,96500
2013-10-11,9.890000,9.940000,9.390000,9.910000,9.028183,68600
2013-10-14,9.830000,9.950000,9.770000,9.890000,9.009963,33400
2013-10-15,9.840000,10.000000,9.840000,9.960000,9.073732,46900
2013-10-16,10.000000,10.000000,9.810000,9.910000,9.028183,42600
2013-10-17,9.910000,9.980000,9.840000,9.940000,9.055513,36200
2013-10-18,9.980000,10.300000,9.840000,9.980000,9.091953,97700
