Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,9.500000,9.620000,9.500000,9.610000,8.579955,7500
2013-08-05,9.650000,9.690000,9.580000,9.680000,8.642454,19800
2013-08-06,9.670000,9.670000,9.560000,9.620000,8.588884,14200
2013-08-07,9.500000,9.500000,9.310000,9.340000,8.338897,47900
2013-08-08,9.360000,9.470000,9.360000,9.460000,8.446033,6300
2013-08-09,9.470000,9.500000,9.440000,9.500000,8.481746,5600
2013-08-12,9.470000,9.600000,9.470000,9.580000,8.553170,15300
2013-08-13,9.610000,9.610000,9.460000,9.580000,8.553170,10700
2013-08-14,9.550000,9.550000,9.500000,9.530000,8.508530,5700
2013-08-15,9.310000,9.370000,9.270000,9.340000,8.338897,57900
2013-08-16,9.390000,9.410000,9.330000,9.360000,8.356751,4800
2013-08-19,9.270000,9.270000,9.110000,9.110000,8.133548,9900
2013-08-20,9.110000,9.120000,9.030000,9.110000,8.133548,5700
2013-08-21,9.010000,9.070000,9.000000,9.030000,8.062122,13800
2013-08-22,9.130000,9.230000,9.130000,9.230000,8.240685,14000
2013-08-23,9.230000,9.290000,9.170000,9.290000,8.294255,11900
2013-08-26,9.220000,9.220000,9.080000,9.090000,8.115691,10600
2013-08-27,9.000000,9.000000,8.810000,8.850000,7.901417,53600
2013-08-28,8.800000,8.930000,8.800000,8.870000,7.919273,80000
2013-08-29,8.810000,8.940000,8.810000,8.890000,7.937129,13000
2013-08-30,8.900000,8.940000,8.900000,8.910000,7.954986,3900
2013-09-03,9.150000,9.150000,9.080000,9.140000,8.160333,15600
2013-09-04,9.040000,9.120000,9.040000,9.090000,8.115691,7200
2013-09-05,9.120000,9.320000,9.120000,9.310000,8.312111,11300
2013-09-06,9.430000,9.430000,9.300000,9.400000,8.392464,6000
2013-09-09,9.400000,9.470000,9.390000,9.450000,8.437105,22700
2013-09-10,9.560000,9.600000,9.490000,9.540000,8.517460,18000
2013-09-11,9.620000,9.630000,9.550000,9.600000,8.571026,52200
2013-09-12,9.570000,9.600000,9.450000,9.470000,8.454962,17300
2013-09-13,9.480000,9.580000,9.470000,9.530000,8.508530,10700
2013-09-16,9.580000,9.700000,9.580000,9.620000,8.588884,19700
2013-09-17,9.600000,9.630000,9.550000,9.590000,8.562099,5700
2013-09-18,9.640000,9.840000,9.570000,9.840000,8.785304,20800
2013-09-19,9.870000,9.870000,9.750000,9.780000,8.731733,19000
2013-09-20,9.730000,9.790000,9.660000,9.660000,8.624596,8900
2013-09-23,9.750000,9.770000,9.710000,9.760000,8.713878,16100
2013-09-24,9.800000,9.840000,9.700000,9.770000,8.722805,9800
2013-09-25,9.800000,9.840000,9.750000,9.800000,8.749590,6000
2013-09-26,9.920000,10.070000,9.920000,9.990000,8.919225,15700
2013-09-27,10.000000,10.140000,9.980000,10.120000,9.035292,36700
2013-09-30,10.200000,10.250000,10.120000,10.240000,9.142429,73200
2013-10-01,10.300000,10.570000,10.250000,10.370000,9.258494,37400
2013-10-02,10.430000,10.470000,10.380000,10.460000,9.338849,19700
2013-10-03,10.490000,10.530000,10.370000,10.450000,9.329921,17200
2013-10-04,10.450000,10.580000,10.380000,10.580000,9.445988,20700
2013-10-07,10.360000,10.500000,10.360000,10.410000,9.294208,29900
2013-10-08,10.580000,10.580000,10.370000,10.400000,9.285280,10000
2013-10-09,10.400000,10.450000,10.330000,10.440000,9.320992,32300
2013-10-10,10.500000,10.650000,10.500000,10.630000,9.490628,13800
2013-10-11,10.500000,10.700000,10.500000,10.630000,9.490628,49900
2013-10-14,10.660000,10.690000,10.550000,10.690000,9.544197,37100
2013-10-15,10.690000,10.810000,10.680000,10.680000,9.535269,18500
2013-10-16,10.710000,10.840000,10.710000,10.830000,9.669191,37200
2013-10-17,10.980000,11.000000,10.880000,11.000000,9.820969,59800
2013-10-18,11.170000,11.170000,11.020000,11.160000,9.963820,97200
2013-10-21,11.280000,11.280000,11.090000,11.150000,9.954891,40900
2013-10-22,11.180000,11.250000,11.100000,11.240000,10.035245,27900
2013-10-23,11.080000,11.080000,10.910000,10.950000,9.776327,36800
2013-10-24,10.990000,11.180000,10.850000,10.900000,9.731687,41600
2013-10-25,10.840000,10.840000,10.670000,10.730000,9.579906,17200
2013-10-28,10.750000,10.750000,10.540000,10.620000,9.481698,57200
2013-10-29,10.580000,10.700000,10.580000,10.700000,9.553124,22900
2013-10-30,10.650000,10.680000,10.600000,10.620000,9.481698,17100
2013-10-31,10.560000,10.640000,10.500000,10.590000,9.454915,32600
2013-11-01,10.580000,10.660000,10.560000,10.620000,9.481698,18700
2013-11-04,10.640000,10.850000,10.640000,10.850000,9.687048,29000
2013-11-05,10.850000,10.870000,10.770000,10.800000,9.642406,22500
2013-11-06,10.920000,10.990000,10.880000,10.880000,9.713831,7600
2013-11-07,10.820000,10.840000,10.430000,10.500000,9.374561,30800
2013-11-08,10.530000,10.640000,10.500000,10.640000,9.499557,46100
2013-11-11,10.590000,10.660000,10.570000,10.660000,9.517410,18700
2013-11-12,10.690000,10.690000,10.510000,10.540000,9.410274,30100
2013-11-13,10.560000,10.680000,10.560000,10.680000,9.535269,21400
2013-11-14,10.700000,10.840000,10.700000,10.830000,9.669191,28800
2013-11-15,10.850000,10.900000,10.850000,10.890000,9.722760,22400
2013-11-18,11.080000,11.080000,10.870000,10.890000,9.722760,73900
2013-11-19,10.850000,10.850000,10.660000,10.660000,9.517410,34500
2013-11-20,10.710000,10.720000,10.550000,10.560000,9.428131,27900
2013-11-21,10.550000,10.670000,10.550000,10.670000,9.526340,8000
2013-11-22,10.590000,10.640000,10.570000,10.640000,9.499557,14900
2013-11-25,10.660000,10.660000,10.510000,10.510000,9.383491,16200
2013-11-26,10.440000,10.540000,10.400000,10.500000,9.374561,9500
2013-11-27,10.480000,10.560000,10.440000,10.560000,9.428131,8100
2013-11-29,10.610000,10.610000,10.500000,10.580000,9.445988,3600
2013-12-02,10.600000,10.600000,10.470000,10.470000,9.347776,18400
2013-12-03,10.400000,10.420000,10.250000,10.310000,9.204927,71000
2013-12-04,10.240000,10.390000,10.240000,10.350000,9.240640,14400
2013-12-05,10.310000,10.390000,10.280000,10.280000,9.178141,22300
2013-12-06,10.380000,10.410000,10.370000,10.380000,9.267424,10600
2013-12-09,10.360000,10.360000,10.240000,10.240000,9.142429,26900
2013-12-10,10.240000,10.290000,10.200000,10.280000,9.178141,46500
2013-12-11,10.320000,10.320000,10.090000,10.090000,9.008508,16700
2013-12-12,10.060000,10.170000,10.060000,10.130000,9.044219,15900
2013-12-13,10.110000,10.220000,10.090000,10.150000,9.062075,16700
2013-12-16,10.220000,10.250000,10.180000,10.200000,9.106717,16900
2013-12-17,10.110000,10.110000,10.010000,10.020000,9.055204,24000
2013-12-18,10.070000,10.140000,9.950000,10.070000,9.100390,17300
2013-12-19,10.150000,10.210000,10.140000,10.200000,9.217874,11900
2013-12-20,10.130000,10.170000,10.040000,10.050000,9.082317,28200
2013-12-23,10.030000,10.170000,10.030000,10.160000,9.181726,44700
2013-12-24,10.020000,10.120000,10.020000,10.080000,9.109429,28600
2013-12-26,10.150000,10.200000,10.090000,10.170000,9.190763,8200
2013-12-27,10.260000,10.350000,10.260000,10.300000,9.308246,25000
2013-12-30,10.350000,10.410000,10.300000,10.380000,9.380542,34500
2013-12-31,10.460000,10.460000,10.360000,10.440000,9.434766,77000
2014-01-02,10.400000,10.590000,10.400000,10.580000,9.561285,106800
2014-01-03,10.670000,10.700000,10.540000,10.670000,9.642619,41600
2014-01-06,10.740000,10.740000,10.580000,10.580000,9.561285,18900
2014-01-07,10.600000,10.750000,10.600000,10.740000,9.705879,19900
2014-01-08,10.730000,10.760000,10.660000,10.720000,9.687805,25400
2014-01-09,10.700000,10.850000,10.670000,10.740000,9.705879,14600
2014-01-10,10.740000,10.740000,10.670000,10.740000,9.705879,18200
2014-01-13,10.820000,10.820000,10.600000,10.600000,9.579359,19700
2014-01-14,10.670000,10.760000,10.570000,10.700000,9.669731,11500
2014-01-15,10.770000,10.830000,10.720000,10.810000,9.769138,16600
2014-01-16,10.840000,10.880000,10.770000,10.880000,9.832399,8700
2014-01-17,10.880000,11.000000,10.880000,10.900000,9.850471,5700
2014-01-21,10.920000,10.920000,10.730000,10.880000,9.832399,38200
2014-01-22,10.950000,10.950000,10.860000,10.910000,9.859510,9600
2014-01-23,10.850000,10.850000,10.660000,10.710000,9.678768,13600
2014-01-24,10.510000,10.510000,10.270000,10.270000,9.281135,43500
2014-01-27,10.270000,10.310000,10.090000,10.190000,9.208836,30600
2014-01-28,10.230000,10.450000,10.230000,10.430000,9.425728,20600
2014-01-29,10.370000,10.390000,10.270000,10.310000,9.317283,14300
2014-01-30,10.330000,10.450000,10.330000,10.450000,9.443803,7900
2014-01-31,10.340000,10.430000,10.340000,10.350000,9.353431,11100
2014-02-03,10.350000,10.350000,10.030000,10.080000,9.109429,35100
2014-02-04,10.110000,10.180000,10.050000,10.100000,9.127503,8800
2014-02-05,10.110000,10.110000,10.000000,10.080000,9.109429,22300
2014-02-06,10.140000,10.300000,10.140000,10.260000,9.272097,5600
2014-02-07,10.450000,10.560000,10.350000,10.520000,9.507062,34600
2014-02-10,10.570000,10.640000,10.510000,10.610000,9.588396,48700
2014-02-11,10.660000,10.660000,10.520000,10.640000,9.615508,19700
2014-02-12,10.730000,10.730000,10.620000,10.680000,9.651656,6000
2014-02-13,10.620000,10.760000,10.560000,10.700000,9.669731,13200
2014-02-14,10.750000,10.770000,10.700000,10.750000,9.714915,7700
2014-02-18,10.830000,10.880000,10.720000,10.830000,9.787212,11000
2014-02-19,10.800000,10.800000,10.740000,10.740000,9.705879,8900
2014-02-20,10.750000,10.760000,10.710000,10.740000,9.705879,14800
2014-02-21,10.790000,10.930000,10.740000,10.810000,9.769138,32800
2014-02-24,10.830000,11.100000,10.830000,11.070000,10.004104,14700
2014-02-25,10.980000,11.010000,10.880000,10.990000,9.931807,21800
2014-02-26,11.040000,11.080000,10.980000,11.010000,9.949881,19600
2014-02-27,11.130000,11.270000,11.070000,11.240000,10.157736,89700
2014-02-28,11.290000,11.310000,11.170000,11.170000,10.094476,20700
2014-03-03,11.150000,11.240000,11.100000,11.140000,10.067364,47700
2014-03-04,11.370000,11.560000,11.370000,11.560000,10.446924,27800
2014-03-05,11.550000,11.550000,11.420000,11.480000,10.374627,34800
2014-03-06,11.540000,11.740000,11.540000,11.660000,10.537294,22100
2014-03-07,11.810000,11.810000,11.540000,11.610000,10.492109,21600
2014-03-10,11.650000,11.650000,11.450000,11.490000,10.383665,17900
2014-03-11,11.670000,11.670000,11.460000,11.470000,10.365588,17800
2014-03-12,11.400000,11.460000,11.190000,11.400000,10.302329,32700
2014-03-13,11.750000,11.750000,11.130000,11.180000,10.103513,164000
2014-03-14,11.010000,11.050000,10.950000,11.040000,9.976993,34800
2014-03-17,11.100000,11.190000,11.100000,11.180000,10.103513,9100
2014-03-18,11.120000,11.280000,11.110000,11.240000,10.157736,65900
2014-03-19,11.230000,11.420000,11.230000,11.330000,10.239070,28900
2014-03-20,11.280000,11.360000,11.100000,11.280000,10.193883,215600
2014-03-21,11.260000,11.260000,11.100000,11.130000,10.058328,17500
2014-03-24,11.250000,11.250000,10.930000,11.110000,10.040254,15400
2014-03-25,11.090000,11.090000,10.940000,11.000000,9.940845,16400
2014-03-26,11.020000,11.140000,10.930000,10.930000,9.877584,47300
2014-03-27,11.030000,11.090000,10.970000,11.090000,10.022180,5700
2014-03-28,11.200000,11.250000,11.130000,11.170000,10.094476,11100
2014-03-31,11.240000,11.260000,11.140000,11.200000,10.121588,36500
2014-04-01,11.290000,11.300000,11.200000,11.230000,10.148698,25100
2014-04-02,11.320000,11.340000,11.260000,11.340000,10.248107,10700
2014-04-03,11.350000,11.400000,11.090000,11.150000,10.076400,15600
2014-04-04,11.260000,11.260000,11.000000,11.090000,10.022180,19000
2014-04-07,10.910000,11.020000,10.800000,10.960000,9.904696,81500
2014-04-08,10.900000,10.960000,10.760000,10.910000,9.859510,23200
2014-04-09,11.100000,11.160000,10.930000,11.140000,10.067364,30200
2014-04-10,11.120000,11.120000,10.730000,10.790000,9.751064,22900
2014-04-11,10.770000,10.820000,10.640000,10.700000,9.669731,61300
2014-04-14,10.720000,10.720000,10.540000,10.600000,9.579359,31600
2014-04-15,10.580000,10.580000,10.330000,10.550000,9.534174,23700
2014-04-16,10.610000,10.790000,10.610000,10.780000,9.742027,25200
2014-04-17,10.710000,10.870000,10.710000,10.840000,9.796249,20000
2014-04-21,10.830000,10.850000,10.780000,10.810000,9.769138,12300
2014-04-22,10.890000,11.130000,10.890000,11.110000,10.040254,42100
2014-04-23,11.130000,11.130000,11.020000,11.050000,9.986031,18800
2014-04-24,11.070000,11.070000,10.910000,11.010000,9.949881,30000
2014-04-25,10.980000,10.980000,10.800000,10.800000,9.760101,17300
2014-04-28,10.860000,10.860000,10.500000,10.650000,9.624543,18000
2014-04-29,10.630000,10.700000,10.600000,10.650000,9.624543,13300
2014-04-30,10.570000,10.740000,10.570000,10.700000,9.669731,36500
2014-05-01,10.760000,10.870000,10.720000,10.720000,9.687805,27400
2014-05-02,10.850000,10.850000,10.760000,10.820000,9.778175,22400
2014-05-05,10.790000,10.820000,10.690000,10.810000,9.769138,4600
2014-05-06,10.830000,10.850000,10.720000,10.720000,9.687805,18100
2014-05-07,10.740000,10.750000,10.500000,10.600000,9.579359,15700
2014-05-08,10.580000,10.640000,10.370000,10.410000,9.407654,43400
2014-05-09,10.510000,10.560000,10.470000,10.470000,9.461876,14900
2014-05-12,10.620000,10.810000,10.620000,10.800000,9.760101,16600
2014-05-13,10.840000,10.840000,10.750000,10.790000,9.751064,16900
2014-05-14,10.860000,10.880000,10.820000,10.820000,9.778175,4100
2014-05-15,10.770000,10.770000,10.490000,10.570000,9.552247,27600
2014-05-16,10.550000,10.550000,10.420000,10.470000,9.461876,7700
2014-05-19,10.540000,10.570000,10.500000,10.550000,9.534174,19600
2014-05-20,10.610000,10.610000,10.470000,10.470000,9.461876,9700
2014-05-21,10.650000,10.740000,10.630000,10.740000,9.705879,14800
2014-05-22,10.820000,10.910000,10.820000,10.870000,9.823361,12400
2014-05-23,10.980000,11.000000,10.920000,11.000000,9.940845,10200
2014-05-27,11.110000,11.140000,11.030000,11.090000,10.022180,21800
2014-05-28,11.070000,11.100000,11.010000,11.070000,10.004104,9800
2014-05-29,11.120000,11.210000,11.120000,11.210000,10.130624,30300
2014-05-30,11.210000,11.250000,11.110000,11.140000,10.067364,24300
2014-06-02,11.240000,11.240000,11.100000,11.190000,10.112549,4400
2014-06-03,11.200000,11.200000,11.060000,11.160000,10.085438,34600
2014-06-04,11.060000,11.130000,10.960000,11.080000,10.013141,10500
2014-06-05,11.200000,11.250000,11.140000,11.230000,10.148698,7700
2014-06-06,11.250000,11.330000,11.240000,11.300000,10.211958,20800
2014-06-09,11.340000,11.380000,11.280000,11.350000,10.257146,23000
2014-06-10,11.380000,11.380000,11.260000,11.300000,10.211958,16700
2014-06-11,11.170000,11.350000,11.170000,11.310000,10.220995,17800
2014-06-12,11.350000,11.420000,11.320000,11.330000,10.239070,14100
2014-06-13,11.460000,11.520000,11.420000,11.510000,10.401738,27300
2014-06-16,11.440000,11.540000,11.340000,11.540000,10.428849,33300
2014-06-17,11.580000,11.740000,11.550000,11.740000,10.609593,38100
2014-06-18,11.770000,11.930000,11.670000,11.920000,10.772261,241900
2014-06-19,11.970000,11.970000,11.810000,11.850000,10.709001,30800
2014-06-20,11.900000,11.910000,11.830000,11.890000,10.745150,12300
2014-06-23,11.860000,11.860000,11.750000,11.820000,10.681890,28500
2014-06-24,11.770000,11.770000,11.540000,11.560000,10.534264,42200
2014-06-25,11.610000,11.690000,11.590000,11.690000,10.652728,20200
2014-06-26,11.780000,11.790000,11.700000,11.770000,10.725631,24900
2014-06-27,11.800000,11.850000,11.760000,11.850000,10.798531,21100
2014-06-30,11.900000,11.910000,11.780000,11.860000,10.807643,12600
2014-07-01,11.940000,11.940000,11.830000,11.830000,10.780305,31500
2014-07-02,11.800000,11.940000,11.800000,11.820000,10.771193,17700
2014-07-03,11.910000,12.000000,11.910000,11.980000,10.916996,13500
2014-07-07,11.920000,11.920000,11.740000,11.790000,10.743855,36400
2014-07-08,11.660000,11.660000,11.340000,11.410000,10.397573,42200
2014-07-09,11.410000,11.500000,11.410000,11.480000,10.461363,20000
2014-07-10,11.250000,11.360000,11.120000,11.320000,10.315558,44800
2014-07-11,11.300000,11.370000,11.300000,11.350000,10.342898,17600
2014-07-14,11.340000,11.460000,11.340000,11.380000,10.370235,27300
2014-07-15,11.380000,11.440000,11.280000,11.350000,10.342898,21000
2014-07-16,11.370000,11.420000,11.360000,11.380000,10.370235,9300
2014-07-17,11.380000,11.380000,11.210000,11.210000,10.215320,28900
2014-07-18,11.360000,11.430000,11.260000,11.420000,10.406685,19700
2014-07-21,11.420000,11.440000,11.360000,11.430000,10.415799,12200
2014-07-22,11.480000,11.620000,11.480000,11.580000,10.552488,11400
2014-07-23,11.630000,11.630000,11.500000,11.510000,10.488700,8800
2014-07-24,11.610000,11.610000,11.490000,11.560000,10.534264,28700
2014-07-25,11.600000,11.600000,11.520000,11.530000,10.506925,11300
2014-07-28,11.590000,11.610000,11.520000,11.590000,10.561601,30400
2014-07-29,11.620000,11.620000,11.490000,11.490000,10.470474,7200
2014-07-30,11.560000,11.560000,11.490000,11.520000,10.497813,13100
2014-07-31,11.520000,11.520000,11.160000,11.190000,10.197093,57000
2014-08-01,11.180000,11.180000,10.970000,11.090000,10.105968,34600
2014-08-04,11.190000,11.260000,11.140000,11.240000,10.242658,26000
2014-08-05,11.240000,11.280000,11.150000,11.170000,10.178868,11400
2014-08-06,11.070000,11.280000,11.070000,11.270000,10.269997,19500
2014-08-07,11.360000,11.380000,11.240000,11.240000,10.242658,5200
2014-08-08,11.330000,11.330000,11.250000,11.330000,10.324671,15000
2014-08-11,11.520000,11.530000,11.430000,11.510000,10.488700,99600
2014-08-12,11.540000,11.540000,11.420000,11.470000,10.452249,98400
2014-08-13,11.550000,11.660000,11.550000,11.630000,10.598053,186200
2014-08-14,11.580000,11.680000,11.580000,11.630000,10.598053,10100
2014-08-15,11.760000,11.760000,11.520000,11.680000,10.643615,17100
2014-08-18,11.730000,11.820000,11.730000,11.810000,10.762080,22600
2014-08-19,11.820000,11.880000,11.820000,11.870000,10.816756,8400
2014-08-20,11.760000,11.890000,11.760000,11.880000,10.825869,10900
2014-08-21,11.770000,11.840000,11.770000,11.820000,10.771193,20800
2014-08-22,11.800000,11.800000,11.720000,11.780000,10.734742,12100
2014-08-25,11.780000,11.920000,11.780000,11.910000,10.853208,41700
2014-08-26,11.900000,11.900000,11.840000,11.870000,10.816756,28500
2014-08-27,11.920000,11.920000,11.820000,11.890000,10.834983,23600
2014-08-28,11.890000,11.890000,11.740000,11.780000,10.734742,22700
2014-08-29,11.840000,11.840000,11.720000,11.780000,10.734742,13300
2014-09-02,11.830000,11.830000,11.670000,11.780000,10.734742,98400
2014-09-03,11.810000,11.910000,11.810000,11.880000,10.825869,57000
2014-09-04,11.940000,12.020000,11.900000,11.920000,10.862320,17100
2014-09-05,12.050000,12.050000,11.880000,11.980000,10.916996,20000
2014-09-08,12.040000,12.050000,11.930000,11.970000,10.907883,12800
2014-09-09,11.910000,11.910000,11.590000,11.610000,10.579827,48100
2014-09-10,11.750000,11.750000,11.620000,11.700000,10.661840,14900
2014-09-11,11.710000,11.710000,11.620000,11.690000,10.652728,14800
2014-09-12,11.690000,11.690000,11.620000,11.650000,10.616277,8700
2014-09-15,11.590000,11.590000,11.360000,11.400000,10.388460,19100
2014-09-16,11.350000,11.400000,11.260000,11.390000,10.379348,10700
2014-09-17,11.420000,11.440000,11.370000,11.420000,10.406685,9200
