Date,Open,High,Low,Close,Adj Close,Volume
2018-05-25,12.700000,12.890000,11.730000,12.850000,12.850000,730500
2018-05-29,12.200000,13.000000,11.230000,12.240000,12.240000,157600
2018-05-30,12.220000,12.220000,12.000000,12.150000,12.150000,51200
2018-05-31,12.490000,12.490000,11.250000,11.440000,11.440000,61200
2018-06-01,12.000000,12.490000,11.870000,12.240000,12.240000,139300
2018-06-04,12.350000,12.350000,11.880000,12.160000,12.160000,58600
2018-06-05,12.200000,12.200000,11.900000,12.100000,12.100000,43300
2018-06-06,11.800000,12.150000,11.771000,12.060000,12.060000,26100
2018-06-07,11.810000,12.685000,11.710000,12.000000,12.000000,62100
2018-06-08,12.100000,13.000000,11.867000,12.110000,12.110000,47500
2018-06-11,11.860000,12.126000,11.850000,12.000000,12.000000,45600
2018-06-12,12.150000,12.400000,11.900000,12.200000,12.200000,68100
2018-06-13,12.250000,12.600000,11.855000,12.200000,12.200000,47900
2018-06-14,12.590000,12.590000,11.860000,12.250000,12.250000,29600
2018-06-15,12.030000,12.298000,11.900000,12.250000,12.250000,27600
2018-06-18,12.010000,12.169000,11.560000,12.000000,12.000000,35300
2018-06-19,12.580000,12.581000,11.600000,12.350000,12.350000,281700
2018-06-20,12.500000,12.590000,11.867000,12.300000,12.300000,455700
2018-06-21,12.400000,12.425000,11.810000,12.000000,12.000000,123700
2018-06-22,12.290000,12.900000,11.842000,12.170000,12.170000,220800
2018-06-25,12.080000,12.340000,12.000000,12.110000,12.110000,12100
2018-06-26,12.160000,12.400000,12.020000,12.070000,12.070000,26800
2018-06-27,12.080000,12.250000,11.250000,11.500000,11.500000,68100
2018-06-28,11.590000,12.280000,11.370000,11.500000,11.500000,30000
2018-06-29,11.428000,12.230000,9.800000,10.670000,10.670000,61000
2018-07-02,11.970000,11.970000,9.500000,9.850000,9.850000,57700
2018-07-03,10.589000,10.780000,9.960000,9.960000,9.960000,5000
2018-07-05,10.190000,10.552000,9.000000,9.340000,9.340000,78600
2018-07-06,null,null,null,null,null,null
2018-07-09,8.830000,9.283000,8.500000,8.650000,8.650000,23400
2018-07-10,8.540000,9.630000,8.175000,8.450000,8.450000,53600
2018-07-11,9.890000,9.990000,8.200000,8.300000,8.300000,38900
2018-07-12,8.360000,9.047000,8.360000,8.640000,8.640000,3000
2018-07-13,8.700000,8.850000,8.200000,8.840000,8.840000,24600
2018-07-16,8.714000,9.173000,8.230000,8.550000,8.550000,19800
2018-07-17,9.050000,9.125000,8.230000,8.785000,8.785000,8700
2018-07-18,8.770000,8.770000,8.127000,8.350000,8.350000,25100
2018-07-19,8.600000,9.500000,8.140000,8.370000,8.370000,29200
2018-07-20,8.320000,8.750000,8.320000,8.370000,8.370000,13600
2018-07-23,null,null,null,null,null,null
2018-07-24,8.450000,9.099000,8.450000,8.830000,8.830000,4600
2018-07-25,8.830000,8.830000,8.350000,8.360000,8.360000,24100
2018-07-26,8.210000,8.692000,8.210000,8.350000,8.350000,5000
2018-07-27,8.410000,9.250000,8.350000,9.210000,9.210000,18400
2018-07-30,9.253000,9.347000,8.530000,8.914000,8.914000,13100
2018-07-31,9.400000,9.400000,8.460000,9.290000,9.290000,33200
2018-08-01,9.210000,9.210000,8.900000,9.050000,9.050000,5800
2018-08-02,9.030000,9.037000,8.500000,8.600000,8.600000,6200
