Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,77.750000,78.160004,77.059998,77.440002,73.702866,350600
2013-08-05,77.180000,77.620003,76.849998,77.389999,73.655266,249400
2013-08-06,76.989998,77.309998,75.839996,75.949997,72.284760,253000
2013-08-07,75.589996,76.029999,74.709999,75.169998,71.542404,242300
2013-08-08,75.379997,76.139999,75.019997,75.919998,72.256203,207400
2013-08-09,75.800003,76.230003,75.339996,75.709999,72.056335,205300
2013-08-12,75.160004,76.339996,75.040001,76.190002,72.513176,193100
2013-08-13,76.129997,76.410004,75.220001,75.470001,71.827919,301800
2013-08-14,75.739998,75.739998,74.330002,74.459999,70.866669,288100
2013-08-15,74.000000,74.459999,72.849998,73.089996,69.562775,731500
2013-08-16,72.980003,73.680000,72.849998,73.129997,69.600845,253900
2013-08-19,73.029999,73.629997,72.809998,72.849998,69.334366,292200
2013-08-20,72.809998,73.940002,72.559998,73.720001,70.162384,432700
2013-08-21,73.339996,73.809998,72.750000,73.160004,69.629395,436500
2013-08-22,73.430000,75.000000,73.059998,74.330002,70.742928,192500
2013-08-23,74.339996,74.949997,73.790001,74.559998,70.961830,380800
2013-08-26,74.680000,75.169998,74.279999,74.699997,71.095085,390200
2013-08-27,73.699997,74.010002,72.959999,73.330002,69.791222,372200
2013-08-28,73.000000,73.389999,72.120003,72.889999,69.372429,588100
2013-08-29,72.989998,74.080002,72.559998,73.139999,69.610374,538300
2013-08-30,73.339996,73.699997,71.870003,72.000000,68.525375,409000
2013-09-03,72.830002,73.620003,71.260002,71.709999,68.249359,992600
2013-09-04,71.669998,72.540001,71.550003,72.449997,68.953659,578200
2013-09-05,72.599998,73.010002,72.339996,72.809998,69.296303,460400
2013-09-06,72.870003,73.989998,72.419998,73.180000,69.648453,437900
2013-09-09,73.480003,74.239998,73.180000,73.660004,70.105278,405800
2013-09-10,74.040001,75.000000,74.019997,74.989998,71.371086,489400
2013-09-11,74.500000,75.089996,74.419998,74.500000,70.904732,632300
2013-09-12,74.320000,74.599998,74.180000,74.320000,70.733421,725600
2013-09-13,74.540001,74.739998,73.709999,74.040001,70.466934,642200
2013-09-16,76.000000,76.000000,74.160004,74.449997,70.857155,1121800
2013-09-17,74.099998,74.239998,73.419998,73.980003,70.409836,606400
2013-09-18,74.160004,74.370003,73.559998,74.150002,70.571625,714500
2013-09-19,74.459999,74.459999,73.919998,74.330002,70.742928,1002400
2013-09-20,74.000000,75.279999,74.000000,74.919998,71.304459,1344000
2013-09-23,74.900002,74.910004,74.099998,74.209999,70.628723,1076600
2013-09-24,74.209999,74.550003,73.139999,73.290001,69.753136,723800
2013-09-25,73.180000,73.410004,71.660004,71.809998,68.344543,1016000
2013-09-26,73.169998,73.169998,71.589996,71.900002,68.430191,791300
2013-09-27,71.830002,72.550003,71.260002,72.339996,68.848976,465500
2013-09-30,71.620003,73.230003,71.620003,72.930000,69.410507,685000
2013-10-01,73.629997,74.250000,73.160004,73.489998,69.943474,915400
2013-10-02,73.070000,73.589996,72.650002,73.550003,70.000580,499500
2013-10-03,73.459999,73.639999,72.250000,72.440002,68.944153,583300
