Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,7.999000,9.900000,7.850000,8.590000,8.590000,256200
2018-05-07,9.000000,9.649000,8.497000,9.460000,9.460000,362300
2018-05-08,9.310000,10.999000,8.900000,9.500000,9.500000,269700
2018-05-09,9.700000,10.000000,9.210000,10.000000,10.000000,102100
2018-05-10,10.000000,10.350000,9.570000,9.700000,9.700000,153900
2018-05-11,9.700000,9.700000,9.370000,9.500000,9.500000,49000
2018-05-14,9.500000,9.500000,9.030000,9.030000,9.030000,23100
2018-05-15,9.000000,9.290000,9.000000,9.000000,9.000000,81900
2018-05-16,8.995000,9.250000,8.900000,9.040000,9.040000,42700
2018-05-17,9.490000,9.490000,9.050000,9.270000,9.270000,20900
2018-05-18,9.199000,9.199000,8.510000,8.960000,8.960000,30500
2018-05-21,9.240000,9.240000,8.700000,8.990000,8.990000,8900
2018-05-22,8.950000,9.240000,8.490000,8.910000,8.910000,53700
2018-05-23,8.797000,9.000000,8.601000,9.000000,9.000000,33100
2018-05-24,8.590000,8.900000,8.390000,8.390000,8.390000,18000
2018-05-25,8.810000,9.000000,7.010000,9.000000,9.000000,165700
2018-05-29,8.100000,8.280000,8.021000,8.250000,8.250000,23700
2018-05-30,7.800000,8.084000,7.260000,7.520000,7.520000,44600
2018-05-31,7.700000,8.190000,7.600000,7.620000,7.620000,26200
2018-06-01,7.650000,8.000000,7.150000,7.650000,7.650000,47900
2018-06-04,7.600000,7.930000,7.550000,7.580000,7.580000,8300
2018-06-05,7.550000,8.049000,7.550000,7.710000,7.710000,13300
2018-06-06,7.950000,7.970000,7.800000,7.970000,7.970000,800
2018-06-07,7.850000,8.230000,7.600000,7.760000,7.760000,18500
2018-06-08,7.925000,8.000000,7.760000,7.760000,7.760000,600
2018-06-11,7.600000,8.500000,7.600000,8.050000,8.050000,12400
2018-06-12,8.470000,8.470000,7.860000,7.920000,7.920000,16700
2018-06-13,8.000000,8.490000,8.000000,8.260000,8.260000,21900
2018-06-14,8.320000,9.195000,7.800000,7.800000,7.800000,306800
2018-06-15,8.100000,9.100000,7.850000,8.690000,8.690000,339600
2018-06-18,8.640000,10.390000,8.500000,9.010000,9.010000,608900
2018-06-19,9.000000,9.800000,8.900000,9.300000,9.300000,160900
2018-06-20,9.500000,9.900000,9.260000,9.300000,9.300000,232500
2018-06-21,9.180000,9.300000,8.510000,8.747000,8.747000,68900
2018-06-22,8.820000,8.940000,8.500000,8.700000,8.700000,49100
2018-06-25,8.640000,8.750000,8.150000,8.340000,8.340000,65800
2018-06-26,8.340000,8.680000,8.051000,8.460000,8.460000,62600
2018-06-27,7.940000,7.940000,6.760000,6.810000,6.810000,214200
2018-06-28,7.500000,7.600000,7.100000,7.320000,7.320000,81900
2018-06-29,7.360000,7.465000,7.300000,7.380000,7.380000,43800
2018-07-02,7.210000,7.260000,6.810000,6.930000,6.930000,34700
2018-07-03,6.850000,7.230000,6.700000,6.700000,6.700000,15000
2018-07-05,6.645000,6.890000,6.600000,6.740000,6.740000,18500
2018-07-06,null,null,null,null,null,null
2018-07-09,6.200000,6.890000,6.200000,6.890000,6.890000,23800
2018-07-10,6.898000,7.440000,6.892000,7.190000,7.190000,71700
2018-07-11,7.290000,7.600000,7.090000,7.340000,7.340000,55600
2018-07-12,7.330000,7.357000,7.200000,7.200000,7.200000,10500
2018-07-13,7.160000,7.300000,7.110000,7.110000,7.110000,11900
2018-07-16,6.960000,7.072000,6.740000,6.810000,6.810000,12000
2018-07-17,6.611000,6.800000,5.921000,6.060000,6.060000,43700
2018-07-18,6.050000,6.395000,6.050000,6.080000,6.080000,15700
2018-07-19,6.120000,6.660000,6.120000,6.323000,6.323000,11300
2018-07-20,6.250000,6.360000,6.180000,6.250000,6.250000,22100
2018-07-23,null,null,null,null,null,null
2018-07-24,6.190000,6.281000,6.050000,6.201000,6.201000,18300
2018-07-25,6.190000,6.190000,6.040000,6.040000,6.040000,6500
2018-07-26,6.048000,6.149000,6.000000,6.149000,6.149000,2600
2018-07-27,6.130000,6.140000,6.000000,6.006000,6.006000,6200
2018-07-30,6.010000,6.040000,6.008000,6.010000,6.010000,2800
2018-07-31,6.000000,6.000000,6.000000,6.000000,6.000000,1000
2018-08-01,6.090000,6.090000,5.980000,6.000000,6.000000,4900
2018-08-02,6.049000,6.129000,6.027000,6.120000,6.120000,2400
