Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,8.050000,8.120000,7.840000,7.840000,6.235329,2800
2013-08-05,7.950000,8.110000,7.850000,7.900000,6.283049,11400
2013-08-06,7.950000,7.950000,7.950000,7.950000,6.322814,300
2013-08-07,8.170000,8.240000,7.950000,7.980000,6.346674,1400
2013-08-08,8.000000,8.200000,7.960000,8.200000,6.521645,1100
2013-08-09,8.190000,8.190000,7.960000,7.960000,6.330768,3400
2013-08-12,8.000000,8.130000,7.550000,7.820000,6.219423,11800
2013-08-13,7.900000,8.400000,7.900000,7.940000,6.314862,1200
2013-08-14,8.970000,8.970000,7.940000,8.170000,6.497785,2000
2013-08-15,8.020000,8.400000,8.020000,8.030000,6.386440,800
2013-08-16,7.930000,8.290000,7.930000,7.960000,6.330768,900
2013-08-19,8.110000,8.400000,8.070000,8.070000,6.418252,1600
2013-08-20,8.120000,8.250000,8.100000,8.200000,6.521645,1500
2013-08-21,8.150000,8.150000,8.150000,8.150000,6.481878,100
2013-08-22,8.150000,8.150000,8.150000,8.150000,6.481878,0
2013-08-23,8.200000,8.200000,8.200000,8.200000,6.521645,100
2013-08-26,8.180000,8.220000,8.180000,8.220000,6.537551,3000
2013-08-27,8.220000,8.220000,8.220000,8.220000,6.537551,0
2013-08-28,8.280000,8.280000,8.280000,8.280000,6.585271,5800
2013-08-29,8.230000,8.230000,8.230000,8.230000,6.545505,100
2013-08-30,8.230000,8.230000,8.230000,8.230000,6.545505,0
2013-09-03,8.290000,8.400000,8.050000,8.250000,6.561412,6800
2013-09-04,8.230000,8.300000,7.920000,8.150000,6.481878,7100
2013-09-05,8.130000,8.450000,8.000000,8.280000,6.585271,10800
2013-09-06,8.260000,8.390000,7.700000,8.000000,6.362582,13700
2013-09-09,7.900000,8.150000,7.900000,8.000000,6.362582,1900
2013-09-10,8.030000,8.230000,8.030000,8.230000,6.545505,500
2013-09-11,8.180000,8.180000,8.180000,8.180000,6.505738,1000
2013-09-12,8.090000,8.250000,7.900000,8.250000,6.561412,46200
2013-09-13,8.250000,8.250000,8.130000,8.130000,6.465972,1000
2013-09-16,8.270000,8.320000,7.960000,8.300000,6.601177,2600
2013-09-17,8.220000,8.220000,8.150000,8.220000,6.537551,4400
2013-09-18,8.020000,8.250000,8.020000,8.250000,6.561412,200
2013-09-19,8.250000,8.250000,8.250000,8.250000,6.561412,100
2013-09-20,8.000000,8.020000,8.000000,8.020000,6.378487,900
2013-09-23,8.040000,8.070000,8.040000,8.070000,6.418252,200
2013-09-24,8.070000,8.160000,8.070000,8.120000,6.458020,700
2013-09-25,8.100000,8.100000,8.100000,8.100000,6.442114,100
2013-09-26,8.100000,8.210000,8.090000,8.210000,6.529598,600
2013-09-27,8.200000,8.200000,8.200000,8.200000,6.521645,1000
2013-09-30,8.140000,8.190000,8.120000,8.190000,6.513693,1600
2013-10-01,8.190000,8.190000,8.120000,8.120000,6.458020,7600
