Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.170000,7.170000,7.150000,7.150000,6.709015,1500
2013-08-05,7.010000,7.010000,7.010000,7.010000,6.577650,100
2013-08-06,7.080000,7.140000,7.080000,7.140000,6.699632,200
2013-08-07,7.200000,7.670000,7.200000,7.490000,7.028045,5500
2013-08-08,7.500000,7.500000,7.500000,7.500000,7.060996,100
2013-08-09,7.500000,7.500000,7.500000,7.500000,7.060996,0
2013-08-12,7.500000,7.500000,7.500000,7.500000,7.060996,0
2013-08-13,7.360000,7.360000,7.360000,7.360000,6.929191,200
2013-08-14,7.360000,7.360000,7.360000,7.360000,6.929191,0
2013-08-15,7.380000,7.380000,7.380000,7.380000,6.948021,100
2013-08-16,7.380000,7.380000,7.380000,7.380000,6.948021,0
2013-08-19,6.800000,7.340000,6.750000,7.120000,6.703238,1500
2013-08-20,7.120000,7.120000,7.120000,7.120000,6.703238,0
2013-08-21,7.350000,7.350000,6.890000,6.890000,6.486702,300
2013-08-22,6.890000,6.890000,6.890000,6.890000,6.486702,0
2013-08-23,6.890000,6.890000,6.890000,6.890000,6.486702,0
2013-08-26,6.890000,6.890000,6.890000,6.890000,6.486702,0
2013-08-27,6.890000,6.890000,6.890000,6.890000,6.486702,0
2013-08-28,6.750000,7.200000,6.700000,6.890000,6.486702,600
2013-08-29,7.140000,7.350000,7.070000,7.160000,6.740897,900
2013-08-30,7.160000,7.160000,7.160000,7.160000,6.740897,0
2013-09-03,7.160000,7.160000,7.160000,7.160000,6.740897,0
2013-09-04,7.160000,7.160000,7.160000,7.160000,6.740897,0
2013-09-05,6.810000,6.900000,6.810000,6.870000,6.467873,300
2013-09-06,6.900000,7.240000,6.900000,7.150000,6.731483,700
2013-09-09,7.190000,7.190000,6.970000,6.970000,6.562019,300
2013-09-10,7.150000,7.150000,7.040000,7.040000,6.627923,2600
2013-09-11,7.040000,7.040000,7.040000,7.040000,6.627923,0
2013-09-12,7.040000,7.040000,7.040000,7.040000,6.627923,0
2013-09-13,7.350000,7.350000,7.080000,7.080000,6.665581,400
2013-09-16,7.100000,7.340000,7.020000,7.020000,6.609093,700
2013-09-17,7.100000,7.100000,6.850000,6.870000,6.467873,1600
2013-09-18,6.850000,7.040000,6.380000,7.040000,6.627923,2500
2013-09-19,6.900000,6.900000,6.500000,6.530000,6.147775,1300
2013-09-20,6.570000,6.570000,6.470000,6.550000,6.166604,1100
