Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,5.058824,5.058824,5.058824,5.058824,4.841123,500
2013-08-05,5.058824,5.058824,5.058824,5.058824,4.841123,0
2013-08-06,5.075630,5.134454,5.000000,5.000000,4.784830,400
2013-08-07,5.016807,5.016807,5.016807,5.016807,4.800913,100
2013-08-08,4.941176,4.941176,4.941176,4.941176,4.728538,100
2013-08-09,4.915967,4.915967,4.915967,4.915967,4.704412,400
2013-08-12,5.453781,5.453781,4.941176,5.050420,4.833080,1900
2013-08-13,5.050420,5.050420,5.050420,5.050420,4.833080,0
2013-08-14,5.050420,5.050420,5.050420,5.050420,4.833080,0
2013-08-15,5.403361,5.403361,5.403361,5.403361,5.170833,200
2013-08-16,5.403361,5.403361,5.403361,5.403361,5.170833,0
2013-08-19,5.369748,5.369748,5.369748,5.369748,5.138666,400
2013-08-20,5.369748,5.369748,5.369748,5.369748,5.138666,0
2013-08-21,5.369748,5.369748,5.369748,5.369748,5.138666,100
2013-08-22,5.369748,5.369748,5.369748,5.369748,5.138666,0
2013-08-23,5.369748,5.369748,5.369748,5.369748,5.138666,0
2013-08-26,5.369748,5.369748,5.369748,5.369748,5.138666,0
2013-08-27,5.378151,5.672269,5.252101,5.403361,5.170833,9600
2013-08-28,5.596639,5.613445,5.294118,5.294118,5.066291,8100
2013-08-29,5.436975,5.462185,5.420168,5.428571,5.194958,3100
2013-08-30,5.336134,5.546218,5.260504,5.462185,5.227125,15900
2013-09-03,5.462185,5.462185,5.462185,5.462185,5.227125,0
2013-09-04,5.504202,5.504202,5.218487,5.386555,5.154750,400
2013-09-05,5.126050,5.529412,5.126050,5.218487,4.993915,400
2013-09-06,5.277311,5.546218,5.277311,5.277311,5.050208,3900
2013-09-09,5.277311,5.277311,5.277311,5.277311,5.050208,0
2013-09-10,5.294118,5.420168,5.277311,5.378151,5.146707,2900
2013-09-11,5.344538,5.344538,5.252101,5.252101,5.026083,1700
2013-09-12,5.252101,5.252101,5.252101,5.252101,5.026083,200
2013-09-13,5.252101,5.252101,5.252101,5.252101,5.026083,0
2013-09-16,5.252101,5.252101,5.252101,5.252101,5.026083,0
2013-09-17,5.252101,5.252101,5.252101,5.252101,5.026083,0
2013-09-18,5.268908,5.268908,5.268908,5.268908,5.042166,200
2013-09-19,5.352941,5.462185,5.252101,5.302521,5.074332,10100
2013-09-20,5.302521,5.302521,5.302521,5.302521,5.074332,0
2013-09-23,5.302521,5.302521,5.302521,5.302521,5.074332,0
2013-09-24,5.302521,5.302521,5.302521,5.302521,5.074332,0
2013-09-25,5.302521,5.302521,5.302521,5.302521,5.074332,0
2013-09-26,5.302521,5.302521,5.302521,5.302521,5.074332,0
2013-09-27,5.487395,5.487395,5.319328,5.327731,5.098458,500
2013-09-30,5.327731,5.327731,5.327731,5.327731,5.098458,0
2013-10-01,5.411765,5.630252,5.336134,5.378151,5.146707,700
2013-10-02,5.378151,5.378151,5.378151,5.378151,5.146707,0
2013-10-03,5.378151,5.378151,5.378151,5.378151,5.146707,0
2013-10-04,5.378151,5.378151,5.378151,5.378151,5.146707,0
2013-10-07,5.378151,5.378151,5.378151,5.378151,5.146707,0
2013-10-08,5.378151,5.378151,5.378151,5.378151,5.146707,0
2013-10-09,5.613445,5.613445,5.302521,5.302521,5.074332,3000
2013-10-10,5.361345,5.361345,5.260504,5.260504,5.034124,1200
2013-10-11,5.252101,5.361345,5.235294,5.294118,5.066291,5100
2013-10-14,5.252101,5.378151,5.134454,5.151260,4.929581,7300
2013-10-15,5.294118,5.294118,5.151260,5.210084,4.985873,500
2013-10-16,5.294118,5.294118,5.134454,5.218487,4.993915,2500
2013-10-17,5.260504,5.260504,5.176470,5.176470,4.953707,700
2013-10-18,5.134454,5.134454,5.109244,5.134454,4.913497,4400
2013-10-21,5.134454,5.134454,5.134454,5.134454,4.913497,600
2013-10-22,5.134454,5.176470,5.109244,5.109244,4.889373,700
2013-10-23,5.109244,5.109244,5.109244,5.109244,4.889373,0
2013-10-24,5.109244,5.109244,5.109244,5.109244,4.889373,0
2013-10-25,5.420168,5.554622,5.151260,5.176470,4.953707,700
2013-10-28,5.260504,5.260504,5.252101,5.252101,5.026083,400
2013-10-29,5.252101,5.252101,5.252101,5.252101,5.026083,0
2013-10-30,5.462185,5.462185,5.142857,5.142857,4.921540,4500
2013-10-31,5.378151,5.378151,5.210084,5.243697,5.018040,700
2013-11-01,5.243697,5.243697,5.243697,5.243697,5.018040,0
2013-11-04,5.159664,5.210084,5.109244,5.159664,4.937624,6000
2013-11-05,5.109244,5.109244,5.109244,5.109244,4.889373,7600
2013-11-06,5.109244,5.109244,5.109244,5.109244,4.889373,0
2013-11-07,5.294118,5.294118,5.294118,5.294118,5.066291,100
2013-11-08,5.176470,5.176470,5.134454,5.134454,4.913497,8700
2013-11-11,5.176470,5.226891,5.142857,5.142857,4.921540,600
2013-11-12,5.226891,5.226891,5.226891,5.226891,5.001956,100
2013-11-13,5.226891,5.226891,5.226891,5.226891,5.001956,100
2013-11-14,5.226891,5.226891,5.226891,5.226891,5.001956,0
