Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,1.710000,1.750000,1.700000,1.700000,1.700000,24400
2013-08-05,1.960000,1.960000,1.700000,1.750000,1.750000,71100
2013-08-06,1.620000,1.640000,1.600000,1.600000,1.600000,15300
2013-08-07,1.890000,1.890000,1.650000,1.700000,1.700000,25900
2013-08-08,1.730000,1.730000,1.700000,1.700000,1.700000,8100
2013-08-09,1.660000,1.660000,1.650000,1.650000,1.650000,2400
2013-08-12,1.650000,1.660000,1.650000,1.660000,1.660000,20600
2013-08-13,1.700000,1.700000,1.610000,1.610000,1.610000,11400
2013-08-14,1.610000,1.690000,1.610000,1.610000,1.610000,2500
2013-08-15,1.610000,1.610000,1.610000,1.610000,1.610000,0
2013-08-16,1.610000,1.630000,1.610000,1.610000,1.610000,3700
2013-08-19,1.610000,1.610000,1.610000,1.610000,1.610000,600
2013-08-20,1.590000,1.590000,1.460000,1.480000,1.480000,39900
2013-08-21,1.470000,1.470000,1.450000,1.450000,1.450000,2200
2013-08-22,1.460000,1.460000,1.450000,1.450000,1.450000,400
2013-08-23,1.460000,1.460000,1.400000,1.400000,1.400000,3400
2013-08-26,1.360000,1.370000,1.350000,1.370000,1.370000,11600
2013-08-27,1.360000,1.360000,1.350000,1.350000,1.350000,10000
2013-08-28,1.350000,1.350000,1.350000,1.350000,1.350000,0
2013-08-29,1.350000,1.350000,1.300000,1.300000,1.300000,2500
2013-08-30,1.300000,1.450000,1.300000,1.420000,1.420000,7200
2013-09-03,1.420000,1.590000,1.350000,1.540000,1.540000,6900
2013-09-04,1.600000,1.610000,1.500000,1.500000,1.500000,11900
2013-09-05,1.740000,1.740000,1.500000,1.500000,1.500000,22600
2013-09-06,1.500000,1.500000,1.460000,1.460000,1.460000,3200
2013-09-09,1.500000,1.500000,1.460000,1.460000,1.460000,3700
2013-09-10,1.460000,1.500000,1.450000,1.490000,1.490000,11600
2013-09-11,1.500000,1.500000,1.490000,1.490000,1.490000,1900
2013-09-12,1.490000,1.490000,1.450000,1.470000,1.470000,4400
2013-09-13,1.450000,1.460000,1.450000,1.450000,1.450000,1700
2013-09-16,1.450000,1.450000,1.390000,1.450000,1.450000,7500
2013-09-17,1.470000,1.480000,1.360000,1.360000,1.360000,400
2013-09-18,1.350000,1.440000,1.350000,1.360000,1.360000,10700
2013-09-19,1.350000,1.400000,1.350000,1.360000,1.360000,2100
2013-09-20,1.380000,1.500000,1.370000,1.500000,1.500000,10000
2013-09-23,1.500000,1.500000,1.370000,1.370000,1.370000,5900
