Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,33.520000,33.590000,33.430000,33.549999,32.952091,167600
2013-08-05,33.509998,33.570000,33.450001,33.500000,32.902988,212700
2013-08-06,33.470001,33.529999,33.169998,33.220001,32.627968,115800
2013-08-07,33.150002,33.150002,32.930000,32.990002,32.402077,80400
2013-08-08,33.139999,33.220001,32.990002,33.139999,32.549400,81500
2013-08-09,33.150002,33.290001,33.099998,33.180000,32.588688,111800
2013-08-12,33.099998,33.200001,33.009998,33.139999,32.549400,39200
2013-08-13,33.180000,33.200001,32.939999,33.139999,32.549400,61200
2013-08-14,33.139999,33.139999,32.919998,32.919998,32.333317,615600
2013-08-15,32.759998,32.759998,32.320000,32.430000,31.852049,480100
2013-08-16,32.320000,32.500000,32.279999,32.310001,31.734194,390600
2013-08-19,32.250000,32.380001,32.130001,32.130001,31.557396,118900
2013-08-20,32.139999,32.549999,32.139999,32.459999,31.881517,87200
2013-08-21,32.389999,32.580002,32.250000,32.279999,31.704731,48600
2013-08-22,32.310001,32.700001,32.310001,32.650002,32.068134,123200
2013-08-23,32.660000,32.770000,32.509998,32.750000,32.166351,127300
2013-08-26,32.720001,32.880001,32.639999,32.689999,32.107414,87700
2013-08-27,32.340000,32.430000,32.130001,32.139999,31.567219,273400
2013-08-28,32.090000,32.310001,32.040001,32.220001,31.645796,117300
2013-08-29,32.119999,32.470001,32.119999,32.330002,31.753832,169700
2013-08-30,32.400002,32.400002,32.080002,32.139999,31.567219,100100
2013-09-03,32.410000,32.599998,32.139999,32.310001,31.734194,231200
2013-09-04,32.270000,32.599998,32.230000,32.549999,31.969910,169900
2013-09-05,32.520000,32.680000,32.520000,32.590000,32.009201,69200
2013-09-06,32.680000,32.799999,32.369999,32.619999,32.038673,234200
2013-09-09,32.709999,33.090000,32.709999,33.090000,32.500290,227200
2013-09-10,33.209999,33.360001,33.200001,33.360001,32.765480,242600
2013-09-11,33.330002,33.480000,33.250000,33.480000,32.883347,178300
2013-09-12,33.480000,33.529999,33.320000,33.349998,32.755650,120000
2013-09-13,33.410000,33.500000,33.330002,33.490002,32.893162,198900
2013-09-16,33.810001,33.900002,33.700001,33.740002,33.138718,221400
2013-09-17,33.770000,33.849998,33.720001,33.849998,33.246746,167500
2013-09-18,33.860001,34.340000,33.709999,34.340000,33.728016,164900
2013-09-19,34.369999,34.470001,34.259998,34.299999,33.688728,101300
2013-09-20,34.290001,34.310001,33.990002,34.020000,33.446873,98900
2013-09-23,33.950001,33.950001,33.680000,33.779999,33.210907,77200
2013-09-24,33.799999,34.000000,33.680000,33.799999,33.230572,105300
2013-09-25,33.830002,33.930000,33.720001,33.770000,33.201080,109100
2013-09-26,33.820000,34.060001,33.820000,34.000000,33.427208,172000
2013-09-27,33.889999,33.970001,33.799999,33.959999,33.387882,144200
2013-09-30,33.689999,33.930000,33.590000,33.849998,33.279728,164900
2013-10-01,33.849998,34.270000,33.849998,34.209999,33.633663,280200
2013-10-02,34.090000,34.189999,33.930000,34.180000,33.604176,159600
2013-10-03,34.060001,34.150002,33.599998,33.810001,33.240414,108700
2013-10-04,33.820000,34.209999,33.820000,34.160000,33.584511,64100
2013-10-07,33.869999,33.959999,33.700001,33.720001,33.151928,96000
2013-10-08,33.680000,33.720001,32.970001,32.970001,32.414562,267600
2013-10-09,32.830002,32.880001,32.330002,32.639999,32.090115,274800
2013-10-10,33.070000,33.439999,33.070000,33.419998,32.856968,776900
2013-10-11,33.430000,33.689999,33.430000,33.650002,33.083107,147600
2013-10-14,33.490002,33.830002,33.400002,33.779999,33.210907,138500
2013-10-15,33.759998,33.840000,33.480000,33.549999,32.984787,167300
2013-10-16,33.709999,34.200001,33.709999,34.200001,33.623833,950900
2013-10-17,34.139999,34.480000,34.070000,34.480000,33.899117,543500
2013-10-18,34.639999,34.720001,34.439999,34.680000,34.095753,307600
2013-10-21,34.770000,34.810001,34.529999,34.650002,34.066257,196400
2013-10-22,34.779999,34.950001,34.540001,34.840000,34.253056,131300
2013-10-23,34.779999,34.779999,34.520000,34.740002,34.154747,130700
2013-10-24,34.730000,34.990002,34.730000,34.970001,34.380867,110700
2013-10-25,35.029999,35.070000,34.790001,34.990002,34.400532,224200
2013-10-28,35.060001,35.060001,34.770000,34.869999,34.282547,128900
2013-10-29,34.980000,34.980000,34.750000,34.970001,34.380867,219400
2013-10-30,35.029999,35.139999,34.669998,34.799999,34.213722,305900
2013-10-31,34.680000,34.919998,34.540001,34.700001,34.115410,218100
2013-11-01,34.790001,34.880001,34.529999,34.740002,34.154747,314000
2013-11-04,34.849998,34.880001,34.689999,34.880001,34.292385,240300
2013-11-05,34.880001,34.970001,34.580002,34.880001,34.292385,353300
2013-11-06,34.919998,35.009998,34.599998,34.660000,34.076080,166500
2013-11-07,34.759998,34.759998,33.860001,33.880001,33.309227,262300
2013-11-08,33.919998,34.500000,33.919998,34.500000,33.918777,148000
2013-11-11,34.570000,34.660000,34.500000,34.599998,34.017094,101000
2013-11-12,34.610001,34.630001,34.470001,34.619999,34.036766,100700
2013-11-13,34.509998,35.090000,34.480000,35.049999,34.459515,230800
2013-11-14,35.160000,35.259998,35.000000,35.240002,34.646320,252600
2013-11-15,35.369999,35.430000,35.200001,35.430000,34.833115,177300
2013-11-18,35.509998,35.549999,35.009998,35.110001,34.518517,105500
2013-11-19,35.119999,35.169998,34.830002,34.919998,34.331703,124400
2013-11-20,35.020000,35.110001,34.730000,34.840000,34.253056,147400
2013-11-21,34.950001,35.240002,34.939999,35.230000,34.636478,185500
2013-11-22,35.349998,35.529999,35.270000,35.529999,34.931431,116100
