Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,17.040001,17.879999,17.020000,17.570000,16.483025,37300
2013-08-05,17.639999,17.879999,17.620001,17.670000,16.576845,33600
2013-08-06,17.680000,17.730000,17.420000,17.559999,16.473644,18600
2013-08-07,17.530001,17.879999,17.450001,17.770000,16.670654,14000
2013-08-08,17.770000,17.770000,17.510000,17.680000,16.586226,5500
2013-08-09,17.680000,17.680000,17.450001,17.520000,16.436123,7500
2013-08-12,17.360001,17.510000,17.240000,17.480000,16.398594,22300
2013-08-13,17.450001,17.450001,17.219999,17.240000,16.173441,6100
2013-08-14,17.290001,17.290001,17.049999,17.110001,16.051485,11500
2013-08-15,17.000000,17.200001,16.750000,16.870001,15.826334,14300
2013-08-16,16.799999,16.990000,16.740000,16.900000,15.854474,19500
2013-08-19,16.740000,17.260000,16.740000,16.900000,15.854474,17400
2013-08-20,16.920000,17.680000,16.790001,17.530001,16.445505,17100
2013-08-21,17.440001,17.450001,16.990000,17.000000,15.948292,11000
2013-08-22,17.080000,17.280001,16.799999,17.280001,16.210968,6300
2013-08-23,17.280001,17.570000,16.820000,17.160000,16.098391,25900
2013-08-26,17.139999,17.150000,16.709999,16.809999,15.770043,12700
2013-08-27,16.670000,16.670000,15.890000,16.290001,15.282216,35200
2013-08-28,16.270000,16.700001,16.020000,16.650000,15.619942,27000
2013-08-29,16.490000,16.650000,16.490000,16.600000,15.573036,9900
2013-08-30,16.580000,16.580000,15.900000,16.080000,15.085207,15800
2013-09-03,16.100000,16.469999,16.049999,16.320000,15.310359,16900
2013-09-04,16.299999,16.590000,16.139999,16.219999,15.216544,26600
2013-09-05,16.309999,16.709999,16.309999,16.400000,15.385409,19100
2013-09-06,16.480000,16.500000,16.129999,16.200001,15.197783,30100
2013-09-09,16.209999,16.290001,16.059999,16.290001,15.282216,6500
2013-09-10,16.290001,16.370001,16.129999,16.360001,15.347884,10700
2013-09-11,16.299999,16.350000,16.110001,16.270000,15.263455,11200
2013-09-12,16.230000,16.230000,16.010000,16.100000,15.103971,7000
2013-09-13,16.100000,16.230000,16.090000,16.200001,15.197783,11100
2013-09-16,16.240000,16.370001,16.240000,16.320000,15.310359,13700
2013-09-17,16.320000,16.600000,16.320000,16.580000,15.554277,9100
2013-09-18,16.520000,17.010000,16.450001,16.799999,15.760663,15800
2013-09-19,17.010000,17.200001,16.950001,17.150000,16.089010,58000
2013-09-20,17.200001,17.530001,17.200001,17.379999,16.304783,56000
2013-09-23,17.379999,17.959999,17.370001,17.770000,16.670654,27700
2013-09-24,17.740000,17.790001,17.520000,17.790001,16.689419,69400
2013-09-25,17.790001,17.850000,17.750000,17.799999,16.698799,22600
2013-09-26,17.780001,17.799999,17.080000,17.760000,16.661272,19800
2013-09-27,17.629999,17.840000,17.559999,17.760000,16.661272,10100
2013-09-30,17.600000,17.840000,17.600000,17.790001,16.689419,30600
2013-10-01,17.790001,18.000000,17.530001,17.920000,16.811373,17500
2013-10-02,17.900000,18.000000,17.860001,17.950001,16.839518,30000
2013-10-03,17.950001,17.950001,17.850000,17.870001,16.764471,17300
2013-10-04,17.850000,18.000000,17.780001,18.000000,16.886423,37500
2013-10-07,17.780001,18.000000,17.780001,17.799999,16.698799,12900
2013-10-08,17.790001,17.850000,17.690001,17.770000,16.670654,29500
2013-10-09,17.790001,17.990000,17.790001,17.830000,16.726946,21700
2013-10-10,17.900000,18.219999,17.850000,18.059999,16.942715,45700
2013-10-11,17.959999,19.360001,17.959999,19.360001,18.162287,16300
2013-10-14,19.160000,19.959999,19.160000,19.900000,18.668877,37500
2013-10-15,19.959999,20.120001,19.580000,19.629999,18.415586,29200
2013-10-16,19.740000,19.980000,19.680000,19.700001,18.481256,13400
2013-10-17,19.660000,20.240000,19.510000,19.820000,18.593830,21000
2013-10-18,19.900000,20.740000,19.870001,20.610001,19.334957,51500
2013-10-21,20.610001,20.610001,20.410000,20.430000,19.166094,22100
2013-10-22,20.450001,20.510000,20.080000,20.430000,19.166094,15800
2013-10-23,20.430000,20.430000,19.809999,19.850000,18.621973,21400
2013-10-24,19.969999,19.969999,19.740000,19.799999,18.575068,13900
2013-10-25,19.850000,20.260000,19.709999,20.100000,18.856510,25700
2013-10-28,20.100000,20.100000,19.920000,20.040001,18.800222,20900
2013-10-29,20.049999,20.270000,19.700001,19.740000,18.518778,28400
2013-10-30,19.809999,19.889999,19.620001,19.620001,18.406208,13200
2013-10-31,19.570000,19.690001,19.209999,19.219999,18.030951,24100
2013-11-01,19.180000,19.180000,18.799999,18.980000,17.805794,37500
2013-11-04,18.980000,19.920000,18.750000,19.070000,17.890228,25400
2013-11-05,19.000000,19.260000,18.980000,19.250000,18.059095,13000
2013-11-06,19.250000,19.250000,19.010000,19.139999,17.955900,9900
2013-11-07,19.170000,19.170000,18.920000,18.920000,17.749512,11200
2013-11-08,18.900000,19.500000,18.900000,19.299999,18.106001,22600
2013-11-11,19.209999,19.209999,18.610001,19.190001,18.002810,8300
2013-11-12,19.100000,19.870001,19.040001,19.719999,18.500019,23700
2013-11-13,19.719999,19.760000,19.330000,19.760000,18.537546,6500
2013-11-14,19.690001,19.870001,19.490000,19.730000,18.509399,11000
2013-11-15,19.740000,19.940001,19.389999,19.719999,18.500019,41400
2013-11-18,19.719999,19.719999,19.110001,19.450001,18.246721,12400
2013-11-19,19.459999,20.010000,19.360001,19.860001,18.631357,25200
2013-11-20,19.860001,20.059999,19.760000,19.820000,18.593830,28800
