Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,8.700000,8.790000,8.540000,8.790000,8.677766,3100
2013-08-05,8.800000,8.900000,8.800000,8.860000,8.746871,18600
2013-08-06,8.920000,8.990000,8.550000,8.830000,8.717256,6400
2013-08-07,8.550000,8.650000,8.550000,8.570000,8.460574,1500
2013-08-08,8.600000,8.700000,8.550000,8.580000,8.470447,5600
2013-08-09,8.580000,8.620000,8.550000,8.620000,8.509936,3100
2013-08-12,8.500000,8.620000,8.250000,8.250000,8.144660,10400
2013-08-13,8.250000,8.300000,7.500000,7.500000,7.404237,32300
2013-08-14,7.600000,7.960000,7.600000,7.800000,7.700407,11100
2013-08-15,7.890000,7.890000,7.560000,7.600000,7.502960,8000
2013-08-16,7.720000,7.750000,7.610000,7.650000,7.552321,7900
2013-08-19,7.690000,8.000000,7.650000,7.980000,7.878108,21800
2013-08-20,7.970000,7.980000,7.850000,7.860000,7.759640,4200
2013-08-21,7.900000,7.920000,7.900000,7.920000,7.818874,600
2013-08-22,7.880000,7.880000,7.750000,7.850000,7.749768,3200
2013-08-23,7.870000,7.870000,7.850000,7.870000,7.769513,5300
2013-08-26,7.850000,7.980000,7.850000,7.900000,7.799129,7600
2013-08-27,7.660000,7.950000,7.520000,7.620000,7.522705,32800
2013-08-28,7.630000,7.810000,7.310000,7.370000,7.275897,12800
2013-08-29,7.300000,7.550000,6.720000,6.900000,6.811898,80600
2013-08-30,7.130000,7.300000,7.130000,7.300000,7.206790,5800
2013-09-03,7.340000,7.370000,7.300000,7.330000,7.236407,13900
2013-09-04,7.340000,7.400000,7.250000,7.250000,7.157429,5300
2013-09-05,7.250000,7.320000,7.210000,7.250000,7.157429,4800
2013-09-06,7.200000,7.260000,7.000000,7.250000,7.157429,10400
2013-09-09,7.270000,7.400000,7.050000,7.110000,7.019217,15600
2013-09-10,7.110000,7.210000,7.110000,7.200000,7.108067,5500
2013-09-11,7.250000,7.670000,7.180000,7.450000,7.354875,66600
2013-09-12,7.500000,7.800000,7.500000,7.720000,7.621428,46900
2013-09-13,7.630000,8.320000,7.620000,8.030000,7.927469,75500
2013-09-16,7.970000,8.190000,7.970000,8.050000,7.947214,12400
2013-09-17,8.000000,8.140000,7.820000,7.940000,7.838618,12800
2013-09-18,7.970000,8.120000,7.640000,7.750000,7.651044,21500
2013-09-19,7.750000,7.750000,7.530000,7.530000,7.433854,18500
2013-09-20,7.540000,7.540000,7.290000,7.440000,7.345003,28100
2013-09-23,7.340000,7.490000,7.230000,7.250000,7.157429,7000
2013-09-24,7.350000,7.450000,7.350000,7.350000,7.256152,8200
2013-09-25,7.440000,7.680000,7.440000,7.570000,7.473343,2900
2013-09-26,7.530000,7.760000,7.530000,7.750000,7.651044,4000
2013-09-27,7.760000,7.780000,7.650000,7.700000,7.601683,6400
2013-09-30,7.610000,7.670000,7.560000,7.670000,7.572066,1800
2013-10-01,7.840000,7.850000,7.800000,7.850000,7.749768,700
2013-10-02,7.710000,7.800000,7.550000,7.670000,7.572066,4100
2013-10-03,7.670000,7.670000,7.550000,7.610000,7.512833,8600
2013-10-04,7.560000,7.720000,7.550000,7.720000,7.621428,3300
2013-10-07,7.550000,7.720000,7.540000,7.540000,7.443726,6800
2013-10-08,7.500000,7.710000,7.500000,7.530000,7.433854,5200
2013-10-09,7.650000,7.650000,7.540000,7.550000,7.453598,1200
2013-10-10,7.590000,7.680000,7.550000,7.610000,7.512833,3000
2013-10-11,7.640000,7.640000,7.540000,7.580000,7.483215,900
2013-10-14,7.490000,7.500000,7.400000,7.450000,7.354875,7400
2013-10-15,7.440000,7.660000,7.440000,7.660000,7.562194,6300
2013-10-16,7.560000,7.560000,7.400000,7.410000,7.315386,14500
2013-10-17,7.400000,7.700000,7.400000,7.540000,7.443726,4500
2013-10-18,7.640000,7.660000,7.500000,7.590000,7.493088,2100
2013-10-21,7.510000,7.700000,7.430000,7.470000,7.374620,15400
2013-10-22,7.540000,7.550000,7.400000,7.450000,7.354875,10000
2013-10-23,7.480000,7.480000,7.400000,7.470000,7.374620,3300
2013-10-24,7.410000,7.440000,7.400000,7.400000,7.305514,2900
2013-10-25,7.500000,7.500000,7.420000,7.420000,7.325258,2300
2013-10-28,7.480000,7.480000,7.400000,7.450000,7.354875,4400
2013-10-29,7.480000,7.740000,7.480000,7.740000,7.641172,9900
2013-10-30,7.730000,7.730000,7.730000,7.730000,7.631300,1500
2013-10-31,7.720000,7.720000,7.440000,7.600000,7.502960,1200
2013-11-01,7.620000,7.740000,7.620000,7.720000,7.621428,1900
2013-11-04,7.700000,7.800000,7.600000,7.730000,7.631300,6200
2013-11-05,7.790000,7.800000,7.600000,7.770000,7.670789,5900
