Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,3.620000,3.660000,3.540000,3.540000,2.799921,24200
2013-08-05,3.500000,3.790000,3.500000,3.510000,2.776193,5300
2013-08-06,3.500000,3.630000,3.480000,3.510000,2.776193,118800
2013-08-07,3.520000,3.520000,3.380000,3.480000,2.752465,87400
2013-08-08,3.420000,3.490000,3.270000,3.300000,2.610096,69500
2013-08-09,3.250000,3.530000,3.230000,3.430000,2.712918,26500
2013-08-12,3.600000,3.600000,3.380000,3.390000,2.681280,43000
2013-08-13,3.440000,3.470000,3.400000,3.470000,2.744555,20600
2013-08-14,3.430000,3.480000,3.410000,3.410000,2.697099,15100
2013-08-15,3.410000,3.420000,3.380000,3.380000,2.673371,4100
2013-08-16,3.380000,3.400000,3.270000,3.360000,2.657552,35500
2013-08-19,3.400000,3.400000,3.340000,3.340000,2.641733,23400
2013-08-20,3.340000,3.500000,3.310000,3.410000,2.697099,9100
2013-08-21,3.410000,3.450000,3.310000,3.360000,2.657552,47900
2013-08-22,3.330000,3.410000,3.330000,3.360000,2.657552,36300
2013-08-23,3.350000,3.420000,3.350000,3.420000,2.705008,20000
2013-08-26,3.390000,3.420000,3.320000,3.360000,2.657552,12000
2013-08-27,3.360000,3.360000,3.290000,3.290000,2.602186,9500
2013-08-28,3.300000,3.380000,3.300000,3.310000,2.618005,6800
2013-08-29,3.320000,3.320000,3.280000,3.280000,2.594277,14300
2013-08-30,3.280000,3.290000,3.260000,3.270000,2.586368,3900
2013-09-03,3.310000,3.310000,3.200000,3.230000,2.554730,65300
2013-09-04,3.200000,3.270000,3.200000,3.260000,2.578458,18800
2013-09-05,3.250000,3.280000,3.210000,3.240000,2.562639,72500
2013-09-06,3.260000,3.270000,3.240000,3.260000,2.578458,38200
2013-09-09,3.250000,3.300000,3.250000,3.250000,2.570549,25200
2013-09-10,3.300000,3.300000,3.280000,3.300000,2.610096,30900
2013-09-11,3.290000,3.320000,3.280000,3.290000,2.634115,49800
2013-09-12,3.400000,3.400000,3.240000,3.260000,2.610096,70600
2013-09-13,3.310000,3.310000,3.230000,3.270000,2.618102,80100
2013-09-16,3.390000,3.690000,3.390000,3.510000,2.810256,186500
2013-09-17,3.580000,3.660000,3.510000,3.640000,2.914340,119400
2013-09-18,3.670000,4.300000,3.640000,4.070000,3.258616,564100
2013-09-19,4.070000,4.150000,3.930000,3.980000,3.186558,141600
2013-09-20,3.970000,3.970000,3.830000,3.940000,3.154533,90900
2013-09-23,3.940000,3.960000,3.860000,3.870000,3.098488,83800
2013-09-24,3.880000,4.030000,3.870000,3.970000,3.178552,129200
2013-09-25,3.970000,4.070000,3.910000,3.960000,3.170546,80900
2013-09-26,4.000000,4.000000,3.910000,3.930000,3.146527,61900
2013-09-27,4.020000,4.020000,3.920000,3.940000,3.154533,92800
2013-09-30,3.900000,3.920000,3.840000,3.860000,3.090481,54000
2013-10-01,3.900000,3.910000,3.780000,3.820000,3.058456,76200
2013-10-02,3.830000,3.830000,3.720000,3.730000,2.986398,13200
2013-10-03,3.760000,3.780000,3.740000,3.740000,2.994405,37700
2013-10-04,3.790000,3.800000,3.700000,3.750000,3.002411,20100
2013-10-07,3.570000,3.800000,3.570000,3.800000,3.042443,49900
2013-10-08,3.800000,3.810000,3.700000,3.730000,2.986398,57600
2013-10-09,3.680000,3.800000,3.680000,3.750000,3.002411,91000
2013-10-10,3.840000,4.000000,3.780000,3.900000,3.122507,239200
2013-10-11,3.930000,3.970000,3.910000,3.960000,3.170546,39500
2013-10-14,3.930000,4.150000,3.930000,4.140000,3.314662,40300
2013-10-15,4.190000,4.190000,4.000000,4.110000,3.290642,182800
2013-10-16,4.100000,4.100000,3.980000,3.980000,3.186558,49100
2013-10-17,4.100000,4.100000,4.020000,4.040000,3.234597,59500
2013-10-18,4.180000,4.180000,4.000000,4.020000,3.218585,68900
