Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,13.745000,13.770000,13.485000,13.715000,12.378305,46600
2013-08-05,13.660000,13.760000,13.545000,13.725000,12.387331,40800
2013-08-06,13.715000,13.750000,13.605000,13.725000,12.387331,22200
2013-08-07,13.740000,13.740000,13.505000,13.570000,12.247437,33800
2013-08-08,13.615000,13.675000,13.615000,13.645000,12.315127,28400
2013-08-09,13.640000,13.650000,13.535000,13.535000,12.215848,49000
2013-08-12,13.505000,13.655000,13.500000,13.530000,12.211334,42800
2013-08-13,13.940000,14.020000,13.475000,13.515000,12.197797,35600
2013-08-14,13.495000,13.600000,13.310000,13.520000,12.202310,43000
2013-08-15,13.485000,13.590000,13.225000,13.255000,11.963138,57000
2013-08-16,13.200000,13.350000,13.185000,13.190000,11.904472,68400
2013-08-19,13.200000,13.355000,12.945000,12.975000,11.710426,28800
2013-08-20,12.995000,13.315000,12.765000,13.245000,11.954112,32200
2013-08-21,13.245000,13.245000,12.960000,13.025000,11.755551,25800
2013-08-22,13.220000,13.320000,13.050000,13.175000,11.890936,44000
2013-08-23,13.165000,13.245000,13.115000,13.210000,11.922523,24000
2013-08-26,13.210000,13.340000,13.035000,13.070000,11.796168,22600
2013-08-27,12.905000,13.385000,12.380000,12.510000,11.290747,59400
2013-08-28,12.580000,12.580000,12.375000,12.415000,11.205005,20000
2013-08-29,12.420000,12.510000,12.285000,12.400000,11.191468,57000
2013-08-30,12.355000,12.355000,12.045000,12.105000,10.925219,89400
2013-09-03,12.270000,12.350000,12.030000,12.145000,10.961324,29200
2013-09-04,12.130000,12.225000,12.045000,12.220000,11.029011,49200
2013-09-05,12.245000,12.420000,12.245000,12.345000,11.141829,48200
2013-09-06,12.400000,12.750000,12.350000,12.640000,11.408076,47200
2013-09-09,12.745000,12.840000,12.650000,12.835000,11.584070,33600
2013-09-10,13.125000,13.810000,13.125000,13.685000,12.351231,100600
2013-09-11,13.685000,13.950000,13.600000,13.755000,12.414406,81400
2013-09-12,13.755000,13.835000,13.430000,13.435000,12.218868,65600
2013-09-13,13.685000,14.490000,13.560000,14.190000,12.905525,164200
2013-09-16,14.370000,14.410000,14.225000,14.345000,13.046494,85000
2013-09-17,14.345000,14.370000,14.250000,14.345000,13.046494,48400
2013-09-18,14.385000,14.475000,14.220000,14.400000,13.096515,62400
2013-09-19,14.410000,14.495000,14.185000,14.465000,13.155632,45000
2013-09-20,14.465000,15.005000,14.460000,15.005000,13.646750,257400
2013-09-23,15.000000,15.110000,14.950000,15.090000,13.724058,85000
2013-09-24,15.060000,15.495000,15.060000,15.400000,14.005995,91800
2013-09-25,15.140000,15.750000,15.140000,15.680000,14.260651,83600
2013-09-26,15.635000,15.730000,15.505000,15.620000,14.206083,69200
2013-09-27,15.500000,15.590000,15.420000,15.545000,14.137870,27800
2013-09-30,15.445000,15.545000,15.380000,15.545000,14.137870,130600
2013-10-01,15.500000,15.500000,15.240000,15.445000,14.046922,78800
2013-10-02,15.395000,15.450000,15.205000,15.350000,13.960522,59000
2013-10-03,15.270000,15.305000,15.035000,15.160000,13.787721,58400
2013-10-04,15.120000,15.300000,15.120000,15.265000,13.883215,36800
2013-10-07,15.130000,15.255000,14.975000,15.025000,13.664940,77000
2013-10-08,15.070000,15.140000,14.820000,14.935000,13.583087,75800
2013-10-09,14.935000,15.225000,14.855000,15.080000,13.714961,74800
2013-10-10,15.250000,15.675000,15.250000,15.570000,14.160607,76400
2013-10-11,15.500000,16.049999,15.455000,16.045000,14.592613,105800
2013-10-14,15.930000,16.000000,15.720000,16.000000,14.551682,52800
2013-10-15,16.000000,16.000000,15.895000,15.930000,14.488022,59000
2013-10-16,15.995000,16.000000,15.865000,15.940000,14.497117,52000
2013-10-17,15.925000,16.045000,15.920000,15.960000,14.515306,95600
2013-10-18,16.280001,16.305000,15.895000,15.995000,14.547137,144000
2013-10-21,15.935000,16.150000,15.935000,16.040001,14.588065,110600
2013-10-22,16.125000,16.240000,15.975000,16.065001,14.610802,70600
2013-10-23,16.030001,16.240000,16.030001,16.110001,14.651728,92800
2013-10-24,16.200001,16.575001,16.070000,16.395000,14.910931,146800
2013-10-25,16.459999,16.570000,16.375000,16.520000,15.024615,68800
2013-10-28,16.575001,16.760000,16.325001,16.740000,15.224703,55600
2013-10-29,16.754999,16.920000,16.650000,16.815001,15.292912,112800
2013-10-30,16.879999,16.910000,16.690001,16.695000,15.183769,42200
2013-10-31,16.690001,16.690001,16.370001,16.370001,14.888192,104000
2013-11-01,16.330000,16.504999,16.184999,16.360001,14.879097,124000
2013-11-04,16.400000,16.735001,16.400000,16.610001,15.106470,140800
2013-11-05,16.950001,16.950001,16.415001,16.745001,15.229248,94200
2013-11-06,16.825001,17.084999,16.750000,17.014999,15.474810,125400
2013-11-07,17.129999,17.129999,16.750000,16.770000,15.251983,63400
2013-11-08,16.750000,17.455000,16.629999,17.264999,15.702179,66200
2013-11-11,17.180000,17.180000,16.905001,17.035000,15.492997,170600
2013-11-12,17.010000,17.184999,16.740000,17.155001,15.602135,224000
2013-11-13,17.094999,17.195000,16.865000,17.195000,15.638513,66200
2013-11-14,17.165001,17.200001,17.065001,17.139999,15.588491,91200
2013-11-15,17.115000,17.160000,16.969999,17.045000,15.502088,74200
2013-11-18,17.129999,17.139999,16.815001,16.934999,15.402047,59200
2013-11-19,16.995001,17.040001,16.820000,16.920000,15.388408,51400
2013-11-20,16.875000,17.004999,16.719999,16.870001,15.342934,34000
2013-11-21,16.995001,17.090000,16.860001,16.950001,15.415689,104600
2013-11-22,16.905001,17.309999,16.905001,17.125000,15.574849,50800
2013-11-25,17.125000,17.160000,16.980000,17.094999,15.547564,52000
2013-11-26,17.090000,17.400000,16.950001,17.385000,15.811312,81000
2013-11-27,17.385000,17.495001,17.350000,17.480000,15.897717,96600
2013-11-29,17.514999,17.775000,17.405001,17.680000,16.079615,26600
2013-12-02,17.650000,17.680000,17.405001,17.549999,15.961377,108400
2013-12-03,17.480000,17.660000,17.135000,17.514999,15.929545,91800
2013-12-04,17.514999,17.650000,17.370001,17.410000,15.834050,111200
2013-12-05,17.475000,17.500000,17.334999,17.480000,15.897717,53600
2013-12-06,17.555000,17.980000,17.555000,17.840000,16.225130,152000
2013-12-09,17.865000,18.219999,17.389999,17.650000,16.052330,134400
2013-12-10,17.670000,17.830000,17.485001,17.650000,16.052330,135800
2013-12-11,17.575001,17.745001,17.135000,17.190001,15.633967,92000
2013-12-12,17.115000,17.225000,16.995001,17.030001,15.583639,72000
2013-12-13,17.120001,17.360001,17.025000,17.180000,15.720900,160400
2013-12-16,17.195000,17.500000,17.180000,17.455000,15.972542,104400
2013-12-17,17.400000,17.625000,17.180000,17.535000,16.045748,139800
2013-12-18,17.570000,17.715000,17.160000,17.665001,16.164707,68200
2013-12-19,17.684999,17.850000,17.549999,17.650000,16.150984,58000
2013-12-20,17.730000,18.184999,17.709999,18.045000,16.512434,253400
2013-12-23,18.165001,18.315001,18.025000,18.190001,16.645121,63800
2013-12-24,18.155001,18.490000,18.125000,18.395000,16.832706,34400
2013-12-26,18.270000,18.495001,18.270000,18.450001,16.883036,35400
2013-12-27,18.514999,18.600000,18.450001,18.575001,16.997421,102400
2013-12-30,18.575001,18.735001,18.510000,18.620001,17.038599,70000
2013-12-31,18.594999,19.270000,18.389999,18.575001,16.997421,72800
2014-01-02,18.584999,18.584999,18.004999,18.184999,16.640547,77800
2014-01-03,18.215000,18.434999,17.980000,18.219999,16.672569,80800
2014-01-06,18.250000,18.299999,18.025000,18.155001,16.613092,91200
2014-01-07,18.250000,18.365000,18.135000,18.219999,16.672569,156800
2014-01-08,18.219999,18.340000,17.990000,18.254999,16.704601,160200
2014-01-09,18.280001,18.459999,18.245001,18.440001,16.873886,73600
2014-01-10,18.465000,18.705000,18.309999,18.620001,17.038599,82800
2014-01-13,18.504999,18.780001,18.139999,18.270000,16.718323,138800
2014-01-14,18.275000,18.530001,18.270000,18.420000,16.855585,64000
2014-01-15,18.405001,18.670000,18.290001,18.570000,16.992844,68800
2014-01-16,18.480000,18.719999,18.049999,18.295000,16.741203,72800
2014-01-17,18.299999,18.530001,18.100000,18.299999,16.745775,70400
2014-01-21,18.385000,18.670000,18.385000,18.535000,16.960815,49600
2014-01-22,18.530001,18.625000,18.445000,18.620001,17.038599,142800
2014-01-23,18.424999,18.605000,18.299999,18.525000,16.951666,97200
2014-01-24,18.465000,18.645000,18.219999,18.334999,16.777802,101600
2014-01-27,18.375000,18.485001,18.065001,18.090000,16.553616,64200
2014-01-28,18.209999,18.209999,18.010000,18.049999,16.517006,120000
2014-01-29,17.924999,18.059999,17.500000,17.540001,16.050322,48400
2014-01-30,17.660000,17.905001,17.450001,17.735001,16.228765,81800
2014-01-31,17.495001,17.535000,17.260000,17.264999,15.798681,119200
2014-02-03,17.295000,17.565001,17.150000,17.235001,15.771229,191600
2014-02-04,17.280001,17.459999,17.150000,17.379999,15.903913,103200
2014-02-05,17.254999,17.299999,17.000000,17.040001,15.592788,70000
2014-02-06,17.445000,17.445000,16.809999,16.825001,15.396047,65400
2014-02-07,16.834999,16.834999,16.549999,16.670000,15.254214,66200
2014-02-10,16.635000,16.635000,16.004999,16.610001,15.199311,84000
2014-02-11,16.590000,17.100000,16.584999,16.895000,15.460101,95800
2014-02-12,16.965000,17.075001,16.620001,16.764999,15.341147,36000
2014-02-13,16.660000,16.915001,16.525000,16.875000,15.441804,42000
2014-02-14,16.879999,17.190001,16.684999,17.025000,15.579063,102200
2014-02-18,17.145000,17.520000,17.040001,17.254999,15.789527,96600
2014-02-19,17.150000,17.725000,16.645000,16.705000,15.286241,73000
2014-02-20,16.850000,17.100000,16.850000,16.959999,15.519584,70200
2014-02-21,17.059999,17.360001,16.985001,17.245001,15.780379,106200
2014-02-24,17.200001,17.615000,17.115000,17.445000,15.963393,59800
2014-02-25,17.225000,17.309999,17.125000,17.129999,15.675146,32600
2014-02-26,17.200001,17.375000,17.065001,17.375000,15.899341,19600
2014-02-27,17.264999,17.555000,17.165001,17.540001,16.050322,59400
2014-02-28,17.525000,18.059999,16.635000,17.815001,16.301968,102400
2014-03-03,17.690001,18.180000,17.584999,17.920000,16.398045,93400
2014-03-04,18.180000,18.590000,18.160000,18.495001,16.924217,156800
2014-03-05,18.395000,18.490000,18.254999,18.309999,16.754929,62800
2014-03-06,18.285000,18.504999,18.195000,18.504999,16.933371,43800
2014-03-07,18.500000,18.760000,18.475000,18.650000,17.066053,64600
2014-03-10,18.549999,18.709999,18.525000,18.660000,17.075205,54400
2014-03-11,18.625000,18.655001,18.305000,18.510000,16.937943,55600
2014-03-12,18.325001,18.855000,18.325001,18.500000,17.029991,44000
2014-03-13,18.510000,18.580000,18.264999,18.350000,16.891914,146600
