Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,84.330002,84.410004,84.330002,84.410004,81.413338,1187100
2013-08-05,84.400002,84.410004,84.370003,84.400002,81.403694,870600
2013-08-06,84.370003,84.400002,84.370003,84.389999,81.394020,881800
2013-08-07,84.400002,84.410004,84.379997,84.410004,81.413338,704600
2013-08-08,84.389999,84.410004,84.389999,84.410004,81.413338,709400
2013-08-09,84.400002,84.410004,84.389999,84.389999,81.394020,566000
2013-08-12,84.430000,84.430000,84.389999,84.389999,81.394020,511600
2013-08-13,84.379997,84.379997,84.339996,84.349998,81.355469,531400
2013-08-14,84.349998,84.370003,84.339996,84.349998,81.355469,972600
2013-08-15,84.309998,84.339996,84.300003,84.320000,81.326508,704200
2013-08-16,84.309998,84.339996,84.290001,84.330002,81.336159,2293500
2013-08-19,84.320000,84.320000,84.279999,84.309998,81.316887,1951100
2013-08-20,84.320000,84.339996,84.320000,84.330002,81.336159,1649400
2013-08-21,84.320000,84.339996,84.279999,84.279999,81.287933,651200
2013-08-22,84.260002,84.279999,84.220001,84.250000,81.259041,735000
2013-08-23,84.190002,84.279999,84.190002,84.250000,81.259041,638200
2013-08-26,84.269997,84.300003,84.269997,84.279999,81.287933,733100
2013-08-27,84.279999,84.320000,84.279999,84.320000,81.326508,802800
2013-08-28,84.269997,84.300003,84.250000,84.269997,81.278313,709200
2013-08-29,84.269997,84.290001,84.239998,84.290001,81.297615,653200
2013-08-30,84.279999,84.300003,84.269997,84.300003,81.307251,847700
2013-09-03,84.209999,84.250000,84.199997,84.250000,81.276367,2991200
2013-09-04,84.209999,84.230003,84.160004,84.169998,81.199196,947200
2013-09-05,84.089996,84.120003,84.050003,84.089996,81.122002,1315100
2013-09-06,84.129997,84.199997,84.129997,84.169998,81.199196,765500
2013-09-09,84.180000,84.209999,84.180000,84.190002,81.218475,795600
2013-09-10,84.160004,84.169998,84.139999,84.160004,81.189537,922200
2013-09-11,84.180000,84.209999,84.160004,84.199997,81.228142,864100
2013-09-12,84.209999,84.230003,84.190002,84.199997,81.228142,1586100
2013-09-13,84.190002,84.220001,84.190002,84.199997,81.228142,564700
2013-09-16,84.320000,84.320000,84.260002,84.260002,81.286049,737400
2013-09-17,84.279999,84.309998,84.269997,84.290001,81.314972,668400
2013-09-18,84.290001,84.419998,84.260002,84.400002,81.421066,744300
2013-09-19,84.410004,84.430000,84.370003,84.370003,81.392136,5185900
2013-09-20,84.379997,84.389999,84.360001,84.379997,81.401772,606600
2013-09-23,84.360001,84.400002,84.360001,84.400002,81.421066,849600
2013-09-24,84.410004,84.419998,84.379997,84.410004,81.430725,674500
2013-09-25,84.410004,84.440002,84.389999,84.440002,81.459663,1570500
2013-09-26,84.449997,84.449997,84.389999,84.400002,81.421066,497100
2013-09-27,84.440002,84.470001,84.419998,84.449997,81.469307,2082200
2013-09-30,84.430000,84.470001,84.430000,84.470001,81.488632,1717500
2013-10-01,84.440002,84.449997,84.400002,84.430000,81.467400,7696500
2013-10-02,84.440002,84.459999,84.430000,84.440002,81.477020,1773800
2013-10-03,84.419998,84.459999,84.419998,84.440002,81.477020,693200
2013-10-04,84.419998,84.440002,84.410004,84.410004,81.448051,498600
2013-10-07,84.440002,84.440002,84.389999,84.410004,81.448051,602100
2013-10-08,84.389999,84.389999,84.330002,84.339996,81.380531,572200
2013-10-09,84.360001,84.379997,84.330002,84.370003,81.409477,696200
2013-10-10,84.349998,84.370003,84.349998,84.370003,81.409477,469700
2013-10-11,84.410004,84.419998,84.370003,84.370003,81.409477,889600
2013-10-14,84.349998,84.370003,84.320000,84.339996,81.380531,581200
