Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,5.320000,5.320000,5.250000,5.260000,0.086229,34900
2013-08-05,5.220000,5.370000,5.220000,5.310000,0.087049,43200
2013-08-06,5.330000,5.400000,5.180000,5.250000,0.086065,124600
2013-08-07,5.210000,5.330000,5.120000,5.270000,0.086393,59300
2013-08-08,5.310000,5.310000,5.110000,5.180000,0.084918,41100
2013-08-09,5.160000,5.200000,5.060000,5.160000,0.084590,68400
2013-08-12,5.100000,5.300000,5.050000,5.300000,0.086885,83700
2013-08-13,5.290000,5.340000,5.230000,5.290000,0.086721,27100
2013-08-14,5.330000,5.370000,5.110000,5.140000,0.084262,114800
2013-08-15,5.070000,5.100000,5.000000,5.010000,0.082131,62800
2013-08-16,4.990000,5.050000,4.920000,4.920000,0.080656,70400
2013-08-19,4.880000,4.940000,4.760000,4.820000,0.079016,108200
2013-08-20,4.820000,4.850000,4.700000,4.780000,0.078361,77200
2013-08-21,4.750000,4.810000,4.680000,4.730000,0.077541,70400
2013-08-22,4.730000,4.860000,4.730000,4.860000,0.079672,50800
2013-08-23,4.860000,4.920000,4.780000,4.860000,0.079672,61700
2013-08-26,4.870000,4.900000,4.800000,4.860000,0.079672,69000
2013-08-27,4.800000,4.860000,4.740000,4.750000,0.077869,88300
2013-08-28,4.750000,4.950000,4.750000,4.790000,0.078524,38200
2013-08-29,4.790000,4.920000,4.760000,4.900000,0.080328,75200
2013-08-30,4.880000,4.880000,4.720000,4.730000,0.077541,126800
2013-09-03,4.820000,4.980000,4.800000,4.940000,0.080984,113500
2013-09-04,4.950000,5.230000,4.920000,5.160000,0.084590,228700
2013-09-05,5.550000,5.750000,5.430000,5.650000,0.092623,742000
2013-09-06,5.800000,5.950000,5.620000,5.730000,0.093934,714300
2013-09-09,5.800000,6.130000,5.700000,5.850000,0.095902,684500
2013-09-10,5.870000,5.980000,5.660000,5.750000,0.094262,551100
2013-09-11,5.760000,6.120000,5.680000,6.050000,0.099180,363200
2013-09-12,6.050000,6.520000,6.050000,6.350000,0.104098,454100
2013-09-13,6.370000,6.700000,6.270000,6.490000,0.106393,374000
2013-09-16,6.590000,6.680000,6.060000,6.110000,0.100164,428300
2013-09-17,6.130000,6.260000,5.920000,5.960000,0.097705,316900
2013-09-18,5.980000,6.160000,5.900000,6.090000,0.099836,199400
2013-09-19,6.150000,6.200000,5.920000,6.020000,0.098688,226800
2013-09-20,6.020000,6.160000,5.910000,5.960000,0.097705,631300
2013-09-23,5.930000,6.020000,5.870000,5.880000,0.096393,272700
2013-09-24,5.890000,5.940000,5.740000,5.760000,0.094426,362700
2013-09-25,5.740000,5.800000,5.580000,5.740000,0.094098,229800
2013-09-26,5.730000,5.900000,5.700000,5.850000,0.095902,188400
2013-09-27,5.810000,5.850000,5.670000,5.720000,0.093770,178000
2013-09-30,5.630000,5.720000,5.550000,5.580000,0.091475,398700
2013-10-01,5.610000,5.860000,5.580000,5.810000,0.095246,369100
2013-10-02,5.790000,5.850000,5.530000,5.720000,0.093770,227600
2013-10-03,5.730000,5.750000,5.610000,5.690000,0.093279,284700
2013-10-04,5.670000,5.730000,5.590000,5.720000,0.093770,173700
2013-10-07,5.680000,5.750000,5.550000,5.710000,0.093606,161600
2013-10-08,5.710000,5.710000,5.470000,5.480000,0.089836,245900
2013-10-09,5.520000,5.580000,5.260000,5.350000,0.087705,274100
