Date,Open,High,Low,Close,Adj Close,Volume
2018-05-31,9.790000,9.790000,9.740000,9.740000,9.740000,1560000
2018-06-01,9.780000,9.780000,9.750000,9.760000,9.760000,1496400
2018-06-04,9.760000,9.760000,9.760000,9.760000,9.760000,0
2018-06-05,9.750000,9.755000,9.750000,9.750000,9.750000,22600
2018-06-06,9.750000,9.750000,9.720000,9.750000,9.750000,879300
2018-06-07,9.720000,9.750000,9.720000,9.750000,9.750000,450100
2018-06-08,9.750000,9.750000,9.740000,9.740000,9.740000,247400
2018-06-11,9.740000,9.750000,9.740000,9.745000,9.745000,38000
2018-06-12,9.750000,9.750000,9.730000,9.750000,9.750000,766500
2018-06-13,9.760000,9.760000,9.730000,9.730000,9.730000,25100
2018-06-14,9.760000,9.770000,9.750000,9.750000,9.750000,869000
2018-06-15,9.750000,9.750000,9.750000,9.750000,9.750000,0
2018-06-18,9.750000,9.750000,9.740000,9.740000,9.740000,204100
2018-06-19,9.770000,9.770000,9.770000,9.770000,9.770000,1100
2018-06-20,9.779000,9.780000,9.760000,9.780000,9.780000,35600
2018-06-21,9.780000,9.780000,9.770000,9.780000,9.780000,177200
2018-06-22,9.770000,9.780000,9.770000,9.780000,9.780000,110000
2018-06-25,9.780000,9.780000,9.750000,9.770000,9.770000,700
2018-06-26,9.770000,9.770000,9.770000,9.770000,9.770000,1635200
2018-06-27,9.770000,9.770000,9.770000,9.770000,9.770000,1400
2018-06-28,9.780000,9.780000,9.780000,9.780000,9.780000,600
2018-06-29,9.770000,9.770000,9.770000,9.770000,9.770000,143000
2018-07-02,9.750000,9.770000,9.750000,9.770000,9.770000,73700
2018-07-03,9.790000,9.790000,9.770000,9.770000,9.770000,42900
2018-07-05,9.770000,9.788000,9.770000,9.788000,9.788000,5700
2018-07-06,null,null,null,null,null,null
2018-07-09,9.788000,9.788000,9.788000,9.788000,9.788000,0
2018-07-10,9.790000,9.800000,9.790000,9.800000,9.800000,414300
2018-07-11,9.770000,9.790000,9.770000,9.790000,9.790000,41900
2018-07-12,9.790000,9.790000,9.790000,9.790000,9.790000,0
2018-07-13,9.790000,9.790000,9.770000,9.790000,9.790000,31800
2018-07-16,9.820000,9.820000,9.820000,9.820000,9.820000,11000
2018-07-17,9.800000,9.800000,9.800000,9.800000,9.800000,2100
2018-07-18,9.800000,9.800000,9.800000,9.800000,9.800000,0
2018-07-19,9.800000,9.800000,9.800000,9.800000,9.800000,0
2018-07-20,9.800000,9.800000,9.800000,9.800000,9.800000,0
2018-07-23,null,null,null,null,null,null
2018-07-24,9.800000,9.800000,9.800000,9.800000,9.800000,2400
2018-07-25,9.800000,9.800000,9.800000,9.800000,9.800000,6600
2018-07-26,9.770000,9.790000,9.770000,9.790000,9.790000,166500
2018-07-27,9.790000,9.790000,9.770000,9.770000,9.770000,25100
2018-07-30,9.790000,9.790000,9.790000,9.790000,9.790000,4100
2018-07-31,9.790000,9.790000,9.770000,9.787000,9.787000,32600
2018-08-01,9.780000,9.790000,9.770000,9.790000,9.790000,408300
2018-08-02,9.780000,9.784000,9.780000,9.784000,9.784000,16300
