Date,Open,High,Low,Close,Adj Close,Volume
2018-01-16,21.850000,22.000000,21.650000,22.000000,21.873381,700
2018-01-17,21.350000,21.969999,21.250000,21.969999,21.843554,1600
2018-01-18,21.799999,21.799999,21.799999,21.799999,21.674532,100
2018-01-19,21.799999,22.000000,21.799999,22.000000,21.873381,1600
2018-01-22,22.000000,22.000000,22.000000,22.000000,21.873381,0
2018-01-23,22.000000,22.000000,21.879999,22.000000,21.873381,4400
2018-01-24,22.100000,22.250000,21.799999,22.200001,22.072229,11100
2018-01-25,21.500000,22.200001,21.500000,21.799999,21.674532,3600
2018-01-26,22.200001,22.200001,22.200001,22.200001,22.072229,300
2018-01-29,22.100000,22.100000,21.500000,22.100000,21.972805,4000
2018-01-30,22.100000,22.200001,22.100000,22.190001,22.062288,1400
2018-01-31,21.930000,22.150000,21.930000,22.150000,22.022516,3900
2018-02-01,22.150000,22.150000,22.150000,22.150000,22.022516,0
2018-02-02,22.200001,22.200001,22.100000,22.100000,21.972805,2200
2018-02-05,22.049999,22.049999,22.000000,22.049999,21.923092,2700
2018-02-06,22.049999,22.049999,22.049999,22.049999,21.923092,0
2018-02-07,22.100000,22.100000,21.750000,22.049999,21.923092,3500
2018-02-08,22.100000,22.100000,21.889999,22.000000,21.873381,1600
2018-02-09,21.900000,21.900000,21.820000,21.850000,21.724245,700
2018-02-12,21.799999,22.100000,21.750000,21.850000,21.724245,4700
2018-02-13,21.850000,21.850000,21.250000,21.250000,21.127697,3700
2018-02-14,21.650000,21.650000,21.420000,21.500000,21.376259,800
2018-02-15,21.350000,21.350000,21.299999,21.299999,21.177408,2200
2018-02-16,21.200001,21.270000,21.000000,21.000000,20.879135,7900
2018-02-20,21.000000,21.070000,20.950001,20.959999,20.839365,5000
2018-02-21,20.900000,20.900000,20.900000,20.900000,20.779711,1200
2018-02-22,20.600000,20.799999,20.600000,20.799999,20.680286,1600
2018-02-23,20.900000,20.900000,20.830000,20.850000,20.730000,800
2018-02-26,20.500000,20.980000,20.500000,20.850000,20.730000,3100
2018-02-27,20.389999,20.600000,20.360001,20.450001,20.450001,1300
2018-02-28,20.350000,20.549999,20.350000,20.549999,20.549999,1200
2018-03-01,20.530001,20.700001,20.350000,20.700001,20.700001,1400
2018-03-02,20.799999,22.000000,20.799999,22.000000,22.000000,1100
2018-03-05,22.000000,22.000000,20.400000,21.799999,21.799999,5300
2018-03-06,20.750000,21.180000,20.600000,20.750000,20.750000,3100
2018-03-07,20.549999,21.500000,20.500000,21.500000,21.500000,5100
2018-03-08,21.500000,21.500000,20.549999,21.350000,21.350000,3200
2018-03-09,21.170000,21.360001,21.170000,21.299999,21.299999,1800
2018-03-12,21.450001,21.450001,20.700001,21.000000,21.000000,5600
2018-03-13,21.900000,21.900000,20.799999,20.799999,20.799999,1700
2018-03-14,21.650000,21.650000,21.600000,21.650000,21.650000,1200
2018-03-15,21.700001,22.250000,21.200001,22.150000,22.150000,50400
2018-03-16,22.150000,22.150000,22.000000,22.150000,22.150000,1400
2018-03-19,22.080000,22.150000,22.080000,22.150000,22.150000,800
2018-03-20,22.150000,22.200001,22.049999,22.200001,22.200001,3500
2018-03-21,22.100000,22.100000,22.100000,22.100000,22.100000,300
2018-03-22,22.100000,22.100000,22.100000,22.100000,22.100000,0
2018-03-23,22.200001,22.200001,21.930000,22.200001,22.200001,1500
2018-03-26,22.200001,22.200001,22.129999,22.129999,22.129999,600
