Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,37.000000,37.880001,37.000000,37.740002,31.106958,9100
2013-08-05,37.849998,37.849998,37.349998,37.610001,30.999794,7300
2013-08-06,37.450001,37.619999,37.240002,37.360001,30.793737,4100
2013-08-07,37.000000,37.419998,36.290001,36.939999,30.447554,7200
2013-08-08,36.830002,37.090000,36.500000,37.080002,30.562950,8800
2013-08-09,37.099998,37.709999,36.340000,36.599998,30.167320,30200
2013-08-12,36.540001,37.070000,36.310001,36.930000,30.439323,7200
2013-08-13,36.880001,36.880001,35.599998,36.139999,29.788164,7900
2013-08-14,36.029999,36.169998,35.689999,35.830002,29.532648,13600
2013-08-15,35.500000,35.790001,35.189999,35.740002,29.458469,12200
2013-08-16,35.509998,35.770000,35.139999,35.680000,29.409012,17300
2013-08-19,35.500000,35.650002,35.220001,35.520000,29.277138,11100
2013-08-20,35.669998,36.700001,35.619999,36.630001,30.192049,4100
2013-08-21,36.639999,37.299999,35.700001,35.759998,29.474951,5800
2013-08-22,35.750000,37.070000,35.750000,36.970001,30.472288,5800
2013-08-23,37.000000,37.119999,36.400002,36.680000,30.233255,6000
2013-08-26,36.560001,37.009998,36.000000,36.330002,29.944777,14900
2013-08-27,36.049999,36.340000,35.250000,35.549999,29.301859,17200
2013-08-28,35.500000,36.049999,35.119999,35.330002,29.120523,14600
2013-08-29,35.009998,35.970001,35.009998,35.820000,29.524406,9100
2013-08-30,35.950001,36.810001,34.770000,34.990002,28.840284,20900
2013-09-03,35.410000,36.220001,35.360001,35.680000,29.409012,8700
2013-09-04,35.830002,35.880001,35.470001,35.610001,29.351313,11700
2013-09-05,35.540001,35.709999,35.139999,35.450001,29.219437,12000
2013-09-06,35.529999,35.580002,35.230000,35.509998,29.268890,8600
2013-09-09,35.939999,36.900002,35.630001,36.830002,30.356884,8500
2013-09-10,37.200001,37.200001,36.549999,36.709999,30.257975,7800
2013-09-11,36.750000,37.070000,36.299999,36.900002,30.414589,8500
2013-09-12,37.110001,37.110001,36.389999,36.509998,30.093128,7900
2013-09-13,36.669998,37.119999,36.250000,36.320000,29.936531,6300
2013-09-16,36.810001,36.810001,35.930000,36.230000,29.862335,4500
2013-09-17,36.389999,36.619999,36.299999,36.619999,30.183802,4000
2013-09-18,36.950001,37.450001,36.779999,37.380001,30.810219,5200
2013-09-19,37.450001,37.450001,37.080002,37.099998,30.579437,3600
2013-09-20,37.110001,38.480000,37.020000,38.470001,31.708652,26600
2013-09-23,38.500000,38.770000,37.889999,38.480000,31.716894,11500
2013-09-24,38.369999,39.299999,38.369999,39.230000,32.335068,7600
2013-09-25,39.439999,39.709999,38.990002,39.000000,32.145504,7200
2013-09-26,39.150002,39.189999,38.500000,38.570000,31.791077,6500
2013-09-27,38.259998,38.650002,38.259998,38.400002,31.650953,3800
2013-09-30,38.220001,38.400002,37.669998,38.000000,31.526506,23000
2013-10-01,38.139999,38.520000,37.680000,38.160000,31.659256,5300
2013-10-02,37.779999,38.009998,35.299999,35.720001,29.634918,13600
2013-10-03,35.709999,35.709999,34.299999,34.540001,28.655933,21600
2013-10-04,34.520000,34.919998,34.419998,34.889999,28.946308,15500
2013-10-07,34.490002,35.150002,34.490002,34.849998,28.913122,19400
2013-10-08,35.000000,35.000000,34.500000,34.650002,28.747202,31600
2013-10-09,35.099998,35.220001,34.480000,34.529999,28.647633,32600
2013-10-10,34.369999,35.750000,34.369999,35.740002,29.651508,26100
2013-10-11,35.549999,35.599998,35.209999,35.400002,29.369432,15500
