Date,Open,High,Low,Close,Adj Close,Volume
2013-08-02,7.300000,7.420000,7.270000,7.330000,6.601510,4192100
2013-08-05,7.340000,7.430000,7.300000,7.430000,6.691571,4341000
2013-08-06,7.460000,7.490000,7.350000,7.430000,6.691571,6600400
2013-08-07,7.580000,7.890000,7.500000,7.800000,7.024800,11939700
2013-08-08,7.880000,8.000000,7.850000,7.870000,7.087842,8949700
2013-08-09,7.940000,8.000000,7.850000,7.910000,7.123867,5624100
2013-08-12,7.910000,8.000000,7.860000,7.980000,7.186910,6610300
2013-08-13,8.040000,8.050000,7.880000,7.890000,7.105855,13927900
2013-08-14,7.910000,7.920000,7.700000,7.810000,7.033806,7817500
2013-08-15,7.740000,7.760000,7.620000,7.710000,6.943744,5097000
2013-08-16,7.680000,7.900000,7.660000,7.780000,7.006788,3746600
2013-08-19,7.810000,7.860000,7.710000,7.770000,6.997781,4055200
2013-08-20,7.770000,7.990000,7.760000,7.930000,7.141880,6868900
2013-08-21,7.960000,7.970000,7.850000,7.870000,7.087842,3252500
2013-08-22,7.900000,7.960000,7.880000,7.920000,7.132874,2208600
2013-08-23,7.960000,7.960000,7.870000,7.950000,7.159892,3083200
2013-08-26,7.950000,8.080000,7.910000,7.980000,7.186910,11086200
2013-08-27,7.900000,7.910000,7.580000,7.590000,6.835670,8587100
2013-08-28,7.600000,7.710000,7.590000,7.670000,6.907721,3692600
2013-08-29,7.620000,7.750000,7.610000,7.630000,6.916785,2556300
2013-08-30,7.760000,7.760000,7.540000,7.560000,6.853328,4345200
2013-09-03,7.660000,7.770000,7.610000,7.690000,6.971177,7585000
2013-09-04,7.680000,7.780000,7.640000,7.770000,7.043697,7083900
2013-09-05,7.780000,7.930000,7.780000,7.860000,7.125285,4454300
2013-09-06,7.870000,7.910000,7.690000,7.840000,7.107154,3814300
2013-09-09,7.830000,7.960000,7.830000,7.950000,7.206873,3807800
2013-09-10,8.010000,8.220000,7.990000,8.190000,7.424438,6085200
2013-09-11,8.190000,8.270000,8.120000,8.250000,7.478830,3729900
2013-09-12,8.500000,8.710000,8.410000,8.620000,7.814246,15148800
2013-09-13,8.720000,8.720000,8.380000,8.580000,7.777984,9662200
2013-09-16,8.720000,8.750000,8.440000,8.470000,7.678265,9186700
2013-09-17,8.510000,8.540000,8.410000,8.540000,7.741723,9828100
2013-09-18,8.520000,8.600000,8.450000,8.480000,7.687330,5654700
2013-09-19,8.560000,8.600000,8.490000,8.500000,7.705463,9068700
2013-09-20,8.510000,8.530000,8.370000,8.410000,7.623875,4611900
2013-09-23,8.400000,8.400000,8.190000,8.260000,7.487895,6895500
2013-09-24,8.240000,8.440000,8.220000,8.340000,7.560418,4129200
