Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,5.630000,5.660000,5.600000,5.630000,5.630000,3600
2015-01-05,6.000000,6.000000,5.750000,5.750000,5.750000,800
2015-01-06,5.630000,5.630000,5.600000,5.600000,5.600000,2600
2015-01-07,5.600000,5.600000,5.600000,5.600000,5.600000,400
2015-01-08,5.600000,5.600000,5.500000,5.500000,5.500000,2500
2015-01-09,5.500000,5.600000,5.500000,5.600000,5.600000,1300
2015-01-12,5.600000,5.600000,5.600000,5.600000,5.600000,0
2015-01-13,5.600000,5.600000,5.600000,5.600000,5.600000,0
2015-01-14,5.600000,5.600000,5.600000,5.600000,5.600000,0
2015-01-15,5.600000,5.600000,5.600000,5.600000,5.600000,1700
2015-01-16,5.600000,5.600000,5.600000,5.600000,5.600000,0
2015-01-20,5.550000,5.750000,5.550000,5.600000,5.600000,2200
2015-01-21,5.600000,5.600000,5.600000,5.600000,5.600000,0
2015-01-22,5.650000,5.650000,5.590000,5.590000,5.590000,3400
2015-01-23,5.620000,5.620000,5.620000,5.620000,5.620000,1800
2015-01-26,5.550000,5.550000,5.550000,5.550000,5.550000,100
2015-01-27,5.550000,5.550000,5.550000,5.550000,5.550000,3000
2015-01-28,5.650000,5.780000,5.650000,5.730000,5.730000,800
2015-01-29,5.730000,5.730000,5.730000,5.730000,5.730000,0
2015-01-30,5.640000,5.640000,5.630000,5.640000,5.640000,1400
2015-02-02,5.560000,5.800000,5.540000,5.700000,5.700000,11800
2015-02-03,5.650000,5.730000,5.630000,5.640000,5.640000,5200
2015-02-04,5.750000,5.800000,5.600000,5.710000,5.710000,9200
2015-02-05,5.630000,5.720000,5.630000,5.630000,5.630000,3400
2015-02-06,5.640000,5.720000,5.600000,5.620000,5.620000,1000
2015-02-09,5.800000,5.800000,5.620000,5.680000,5.680000,5000
2015-02-10,5.700000,5.700000,5.570000,5.570000,5.570000,5200
2015-02-11,5.650000,5.750000,5.650000,5.720000,5.720000,2800
2015-02-12,5.570000,5.670000,5.570000,5.670000,5.670000,1200
2015-02-13,5.650000,5.790000,5.570000,5.790000,5.790000,4200
2015-02-17,5.500000,5.700000,5.500000,5.700000,5.700000,2200
2015-02-18,5.550000,5.550000,5.550000,5.550000,5.550000,100
2015-02-19,null,null,null,null,null,null
2015-02-20,5.780000,5.800000,5.650000,5.750000,5.750000,3700
2015-02-23,5.650000,5.750000,5.650000,5.740000,5.740000,1700
2015-02-24,5.650000,5.800000,5.650000,5.800000,5.800000,1100
2015-02-25,5.670000,5.810000,5.670000,5.700000,5.700000,3100
2015-02-26,5.670000,5.710000,5.670000,5.710000,5.710000,2100
2015-02-27,5.650000,5.700000,5.650000,5.700000,5.700000,1100
2015-03-02,5.660000,5.660000,5.650000,5.650000,5.650000,1400
